Label,URI,Parent URI,Sort Priority,Description,Local Notation
Derby,http://statistics.data.gov.uk/id/statistical-geography/E06000015,,0,,E06000015
Amber Valley,http://statistics.data.gov.uk/id/statistical-geography/E07000032,,1,,E07000032
Bolsover,http://statistics.data.gov.uk/id/statistical-geography/E07000033,,2,,E07000033
Chesterfield,http://statistics.data.gov.uk/id/statistical-geography/E07000034,,3,,E07000034
Derbyshire Dales,http://statistics.data.gov.uk/id/statistical-geography/E07000035,,4,,E07000035
Erewash,http://statistics.data.gov.uk/id/statistical-geography/E07000036,,5,,E07000036
High Peak,http://statistics.data.gov.uk/id/statistical-geography/E07000037,,6,,E07000037
North East Derbyshire,http://statistics.data.gov.uk/id/statistical-geography/E07000038,,7,,E07000038
South Derbyshire,http://statistics.data.gov.uk/id/statistical-geography/E07000039,,8,,E07000039
Leicester,http://statistics.data.gov.uk/id/statistical-geography/E06000016,,9,,E06000016
Blaby,http://statistics.data.gov.uk/id/statistical-geography/E07000129,,10,,E07000129
Charnwood,http://statistics.data.gov.uk/id/statistical-geography/E07000130,,11,,E07000130
Harborough,http://statistics.data.gov.uk/id/statistical-geography/E07000131,,12,,E07000131
Hinckley and Bosworth,http://statistics.data.gov.uk/id/statistical-geography/E07000132,,13,,E07000132
Melton,http://statistics.data.gov.uk/id/statistical-geography/E07000133,,14,,E07000133
North West Leicestershire,http://statistics.data.gov.uk/id/statistical-geography/E07000134,,15,,E07000134
Oadby and Wigston,http://statistics.data.gov.uk/id/statistical-geography/E07000135,,16,,E07000135
Boston,http://statistics.data.gov.uk/id/statistical-geography/E07000136,,17,,E07000136
East Lindsey,http://statistics.data.gov.uk/id/statistical-geography/E07000137,,18,,E07000137
Lincoln,http://statistics.data.gov.uk/id/statistical-geography/E07000138,,19,,E07000138
North Kesteven,http://statistics.data.gov.uk/id/statistical-geography/E07000139,,20,,E07000139
South Holland,http://statistics.data.gov.uk/id/statistical-geography/E07000140,,21,,E07000140
South Kesteven,http://statistics.data.gov.uk/id/statistical-geography/E07000141,,22,,E07000141
West Lindsey,http://statistics.data.gov.uk/id/statistical-geography/E07000142,,23,,E07000142
