Label,Notation,Parent Notation,Sort Priority,Description
acid-production,acid-production,,0,
acrylonitrile,acrylonitrile,,1,
active-aircraft,active-aircraft,,2,
adipic-acid-produced,adipic-acid-produced,,3,
agricultural-horses,agricultural-horses,,4,
ammonium-nitrate-application,ammonium-nitrate-application,,5,
ammonium-nitrate-residue,ammonium-nitrate-residue,,6,
ammonium-sulphate-and-diammonium-phosphate-application,ammonium-sulphate-and-diammonium-phosphate-application,,7,
ammonium-sulphate-and-diammonium-phosphate-residue,ammonium-sulphate-and-diammonium-phosphate-residue,,8,
anthracite,anthracite,,9,
aviation-spirit,aviation-spirit,,10,
aviation-turbine-fuel,aviation-turbine-fuel,,11,
barley-residue,barley-residue,,12,
bio-mtbe,bio-mtbe,,13,
biodiesel,biodiesel,,14,
biogas,biogas,,15,
biological-waste,biological-waste,,16,
biomass,biomass,,17,
blast-furnace-gas,blast-furnace-gas,,18,
bricks,bricks,,19,
burning-oil,burning-oil,,20,
calcium-ammonium-nitrate-application,calcium-ammonium-nitrate-application,,21,
calcium-ammonium-nitrate-residue,calcium-ammonium-nitrate-residue,,22,
carbon-black-capacity,carbon-black-capacity,,23,
charcoal,charcoal,,24,
chemical-waste,chemical-waste,,25,
clays-shales,clays-shales,,26,
clinical-waste,clinical-waste,,27,
clinker-production,clinker-production,,28,
coal,coal,,29,
coke,coke,,30,
coke-oven-gas,coke-oven-gas,,31,
colliery-methane,colliery-methane,,32,
dairy-dairy-cows,dairy-dairy-cows,,33,
deer,deer,,34,
derv,derv,,35,
dolomite,dolomite,,36,
domestic-horses,domestic-horses,,37,
ethylene,ethylene,,38,
ethylene-dichloride,ethylene-dichloride,,39,
ethylene-oxide,ethylene-oxide,,40,
fletton-bricks,fletton-bricks,,41,
fuel-oil,fuel-oil,,42,
gas-oil,gas-oil,,43,
glass-making-additives,glass-making-additives,,44,
goats,goats,,45,
grazing,grazing,,46,
halocarbon-bank-c4f10,halocarbon-bank-c4f10,,47,
halocarbon-bank-hfc-125,halocarbon-bank-hfc-125,,48,
halocarbon-bank-hfc-134a,halocarbon-bank-hfc-134a,,49,
halocarbon-bank-hfc-143a,halocarbon-bank-hfc-143a,,50,
halocarbon-bank-hfc-152a,halocarbon-bank-hfc-152a,,51,
halocarbon-bank-hfc-227ea,halocarbon-bank-hfc-227ea,,52,
halocarbon-bank-hfc-245fa,halocarbon-bank-hfc-245fa,,53,
halocarbon-bank-hfc-32,halocarbon-bank-hfc-32,,54,
halocarbon-bank-hfc-365mfc,halocarbon-bank-hfc-365mfc,,55,
halocarbon-bank-sf6,halocarbon-bank-sf6,,56,
halocarbon-in-products-at-disposal-c4f10,halocarbon-in-products-at-disposal-c4f10,,57,
halocarbon-in-products-at-disposal-hfc-125,halocarbon-in-products-at-disposal-hfc-125,,58,
halocarbon-in-products-at-disposal-hfc-134a,halocarbon-in-products-at-disposal-hfc-134a,,59,
halocarbon-in-products-at-disposal-hfc-143a,halocarbon-in-products-at-disposal-hfc-143a,,60,
halocarbon-in-products-at-disposal-hfc-152a,halocarbon-in-products-at-disposal-hfc-152a,,61,
halocarbon-in-products-at-disposal-hfc-227ea,halocarbon-in-products-at-disposal-hfc-227ea,,62,
halocarbon-in-products-at-disposal-hfc-245fa,halocarbon-in-products-at-disposal-hfc-245fa,,63,
halocarbon-in-products-at-disposal-hfc-32,halocarbon-in-products-at-disposal-hfc-32,,64,
halocarbon-in-products-at-disposal-hfc-365mfc,halocarbon-in-products-at-disposal-hfc-365mfc,,65,
halocarbon-use-hfc-43-10mee,halocarbon-use-hfc-43-10mee,,66,
halocarbon-use-sf6,halocarbon-use-sf6,,67,
halocarbon-used-for-manufacturing-c4f10,halocarbon-used-for-manufacturing-c4f10,,68,
halocarbon-used-for-manufacturing-hfc-125,halocarbon-used-for-manufacturing-hfc-125,,69,
halocarbon-used-for-manufacturing-hfc-134a,halocarbon-used-for-manufacturing-hfc-134a,,70,
halocarbon-used-for-manufacturing-hfc-143a,halocarbon-used-for-manufacturing-hfc-143a,,71,
halocarbon-used-for-manufacturing-hfc-152a,halocarbon-used-for-manufacturing-hfc-152a,,72,
halocarbon-used-for-manufacturing-hfc-227ea,halocarbon-used-for-manufacturing-hfc-227ea,,73,
halocarbon-used-for-manufacturing-hfc-245fa,halocarbon-used-for-manufacturing-hfc-245fa,,74,
halocarbon-used-for-manufacturing-hfc-32,halocarbon-used-for-manufacturing-hfc-32,,75,
halocarbon-used-for-manufacturing-hfc-365mfc,halocarbon-used-for-manufacturing-hfc-365mfc,,76,
housing,housing,,77,
land-area,land-area,,78,
limestone,limestone,,79,
linseed-residue,linseed-residue,,80,
lpg,lpg,,81,
lubricants,lubricants,,82,
mass-burnt,mass-burnt,,83,
methanol,methanol,,84,
mineralisation,mineralisation,,85,
mineralisation-indirect-leach,mineralisation-indirect-leach,,86,
msw,msw,,87,
natural-gas,natural-gas,,88,
no-nitrogen-fertiliser-applied,no-nitrogen-fertiliser-applied,,89,
no-nitrogen-fertiliser-applied-residue,no-nitrogen-fertiliser-applied-residue,,90,
non-fuel-combustion,non-fuel-combustion,,91,
non-fuel-domestic,non-fuel-domestic,,92,
oats-residue,oats-residue,,93,
opg,opg,,94,
other-cattle-beef-females-for-slaughter,other-cattle-beef-females-for-slaughter,,95,
other-cattle-bulls-for-breeding,other-cattle-bulls-for-breeding,,96,
other-cattle-cereal-fed-bull,other-cattle-cereal-fed-bull,,97,
other-cattle-cows,other-cattle-cows,,98,
other-cattle-dairy-calves-female,other-cattle-dairy-calves-female,,99,
other-cattle-dairy-in-calf-heifers,other-cattle-dairy-in-calf-heifers,,100,
other-cattle-dairy-replacements-female,other-cattle-dairy-replacements-female,,101,
other-cattle-heifers-for-breeding,other-cattle-heifers-for-breeding,,102,
other-cattle-steers,other-cattle-steers,,103,
other-nitrogen-including-compounds-application,other-nitrogen-including-compounds-application,,104,
other-nitrogen-including-compounds-residue,other-nitrogen-including-compounds-residue,,105,
peat,peat,,106,
petrol,petrol,,107,
petroleum-coke,petroleum-coke,,108,
petroleum-waxes,petroleum-waxes,,109,
pig-boar,pig-boar,,110,
pig-fattening-pig-20-kg,pig-fattening-pig-20-kg,,111,
pig-fattening-pig-20-to-80-kg,pig-fattening-pig-20-to-80-kg,,112,
