Year,Road Passenger Consumption (ktoe),Output (billion passenger kilometres),Energy consumption per unit of output (ktoe),Total Final Domestic Consumption (ktoe),No Households ('000s),Consumption per household (ktoe),Industrial Consumption (ktoe),Industrial Output,Consumption per unit of output (ktoe),"Services Consumption, excluding agriculture  (ktoe)",Services Output,Energy consumption per unit of output (ktoe).1,"Consumption per passenger km 
Index (2000 = 100)","Energy consumption per household 
Index (2000 = 100)","Industry - Consumption per unit of output
Index (2000 = 100) ","Services (excluding agriculture) - Consumption per unit of output
Index (2000 = 100)"
1970,"15,695.98",365.4,43,"36,885.00",18776,1.96,62333,69.1,902.1,"16697",44.4,376.2,"99","102.3","291.3","185"
1971,"16,433.63",381.3,43.1,"35,621.00",19015,1.87,60746,68.7,884.2,"15919.16",45.6,349,"99.3","97.5","285.5","171.7"
1972,"17,257.07",394.9,43.7,"36,261.00",19176,1.89,61307,69.9,877.1,"16056.52",47.4,338.4,"100.7","98.5","283.2","166.4"
1973,"18,422.94",413.7,44.5,"37,576.00",19338,1.94,65149,76.2,855,"16360.84",49.3,331.9,"102.6","101.2","276.1","163.2"
1974,"17,938.99",402.8,44.5,"38,002.00",19499,1.95,60058,74.7,804,"15609.56",49.5,315.6,"102.6","101.5","259.6","155.3"
1975,"17,559.90",401.4,43.7,"37,062.00",19660,1.89,55444,70.7,784.2,"15517.88",50,310.1,"100.8","98.2","253.2","152.5"
1976,"18,326.88",418,43.8,"36,634.00",19822,1.85,57584,73,788.8,"16405.6",51.2,320.1,"101.1","96.2","254.7","157.5"
1977,"18,795.43",425.1,44.2,"37,898.00",19983,1.9,57574,76.7,750.6,"17244.8",52,331.9,"101.9","98.8","242.4","163.3"
1978,"19,758.19",436.1,45.3,"38,690.00",20145,1.92,56673,78.9,718.3,"17368.36",53.6,324.1,"104.4","100","231.9","159.4"
1979,"20,179.08",432.6,46.6,"41,566.00",20306,2.05,58564,82,714.2,"18187.36",55.2,329.5,"107.5","106.6","230.6","162.1"
1980,"20,395.39",453.1,45,"39,841.00",20467,1.95,48291,76.6,630.4,"17224.12",55.1,312.6,"103.7","101.4","203.6","153.7"
1981,"19,804.39",457.4,43.3,"39,674.00",20629,1.92,45776,74.2,616.9,"17189.36",55.3,311,"99.8","100.1","199.2","153"
1982,"20,382.19",470.4,43.3,"39,217.00",20852,1.88,44007,75.6,582.1,"17058.84",56.3,302.9,"99.9","97.9","188","149"
