Year,Total ,Coal,Petroleum, Natural gas,Biogenergy and waste,Nuclear ,"Wind, Solar and hydro",Net Imports ,Fossil Fuels ,Low Carbon ,Renewables ,,,,,,,,,
1995,221.4 ,49.6 ,75.8 ,71.3 ,1.7 ,21.3 ,0.4 ,1.4 ,196.6,23.4 ,2.1 ,,,,,,,,,
1996,230.8 ,45.9 ,76.0 ,83.2 ,1.8 ,22.2 ,0.3 ,1.4 ,205.1,24.3 ,2.1 ,,,,,,,,,
1997,224.5 ,41.3 ,73.6 ,83.9 ,1.9 ,22.0 ,0.4 ,1.4 ,198.8,24.3 ,2.3 ,,,,,,,,,
1998,230.7 ,41.0 ,75.4 ,87.3 ,2.0 ,23.4 ,0.5 ,1.1 ,203.6,26.0 ,2.6 ,,,,,,,,,
1999,231.4 ,36.0 ,76.4 ,92.5 ,2.3 ,22.4 ,0.5 ,1.2 ,204.9,25.2 ,2.8 ,,,,,,,,,
2000,234.8 ,38.5 ,76.7 ,95.9 ,2.3 ,19.6 ,0.5 ,1.2 ,211.1,22.4 ,2.8 ,,,,,,,,,
2001,236.9 ,40.8 ,75.9 ,95.6 ,2.5 ,20.8 ,0.4 ,0.9 ,212.2,23.8 ,3.0 ,,,,,,,,,
2002,229.6 ,37.7 ,73.5 ,94.3 ,2.8 ,20.1 ,0.5 ,0.7 ,205.5,23.4 ,3.3 ,,,,,,,,,
2003,231.9 ,40.5 ,73.0 ,94.6 ,3.1 ,20.1 ,0.4 ,0.2 ,208.1,23.6 ,3.5 ,,,,,,,,,
2004,233.7 ,39.1 ,75.1 ,96.6 ,3.5 ,18.2 ,0.6 ,0.7 ,210.8,22.2 ,4.1 ,,,,,,,,,
2005,236.3 ,39.9 ,78.2 ,94.3 ,4.2 ,18.4 ,0.7 ,0.7 ,212.4,23.2 ,4.9 ,,,,,,,,,
2006,233.1 ,43.4 ,77.4 ,89.4 ,4.4 ,17.1 ,0.8 ,0.7 ,210.1,22.3 ,5.2 ,,,,,,,,,
2007,227.5 ,41.0 ,76.3 ,90.2 ,4.7 ,14.0 ,0.9 ,0.5 ,207.5,19.6 ,5.5 ,,,,,,,,,
2008,225.6 ,38.2 ,74.4 ,93.1 ,6.1 ,11.9 ,1.1 ,1.0 ,205.6,19.0 ,7.1 ,,,,,,,,,
2009,211.7 ,31.2 ,70.9 ,86.2 ,6.7 ,15.2 ,1.3 ,0.2 ,188.3,23.2 ,8.0 ,,,,,,,,,
2010,219.3 ,32.6 ,70.2 ,93.6 ,7.6 ,13.9 ,1.2 ,0.2 ,196.4,22.7 ,8.8 ,,,,,,,,,
2011,203.6 ,32.3 ,67.8 ,77.7 ,7.9 ,15.6 ,1.9 ,0.5 ,177.7,25.4 ,9.8 ,,,,,,,,,
2012,207.8 ,40.9 ,67.0 ,73.3 ,8.1 ,15.2 ,2.3 ,1.0 ,181.2,25.6 ,10.4 ,,,,,,,,,
2013,206.2 ,39.1 ,65.8 ,72.6 ,9.1 ,15.4 ,3.0 ,1.2 ,177.5,27.6 ,12.1 ,,,,,,,,,
2014,193.6 ,31.5 ,66.0 ,66.1 ,10.7 ,13.8 ,3.6 ,1.8 ,163.6,28.2 ,14.3 ,,,,,,,,,
2015,195.0 ,25.1 ,67.4 ,68.1 ,12.5 ,15.5 ,4.7 ,1.8 ,160.6,32.6 ,17.1 ,,,,,,,,,
2016,192.4 ,12.7 ,68.3 ,76.4 ,13.6 ,15.4 ,4.5 ,1.5 ,157.4,33.5 ,18.1 ,,,,,,,,,
2017,190.6 ,10.3 ,69.5 ,74.4 ,14.3 ,15.1 ,5.8 ,1.3 ,154.2,35.2 ,20.0 ,,,,,,,,,
2018,189.5 ,8.7 ,68.8 ,73.7 ,16.1 ,14.1 ,6.5 ,1.7 ,151.3,36.6 ,22.5 ,,,,,,,,,
2019,184.5 ,6.1 ,67.4 ,72.6 ,17.4 ,12.1 ,7.1 ,1.8 ,146.1,36.6 ,24.5 ,,,,,,,,,
2020,163.3 ,5.6 ,50.9 ,68.4 ,17.9 ,10.7 ,8.2 ,1.5 ,124.9,36.9 ,26.1 ,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
