Label,Notation,Parent Notation,Sort Priority
Rice,rice,,0
Bread,bread,,1
Other breads and cereals,other-breads-and-cereals,,2
Pasta products,pasta-products,,3
Buns crispbread and biscuits,buns-crispbread-and-biscuits,,4
Cakes and puddings,cakes-and-puddings,,5
Pastry savoury,pastry-savoury,,6
Beef fresh chilled or frozen,beef-fresh-chilled-or-frozen,,7
Pork fresh chilled or frozen,pork-fresh-chilled-or-frozen,,8
Lamb fresh chilled or frozen,lamb-fresh-chilled-or-frozen,,9
Poultry fresh chilled or frozen,poultry-fresh-chilled-or-frozen,,10
Bacon and ham,bacon-and-ham,,11
Sausages,sausages,,12
Offal pate etc,offal-pate-etc,,13
Other preserved or processed meat and meat preparations,other-preserved-or-processed-meat-and-meat-preparations,,14
Other fresh chilled or frozen edible meat,other-fresh-chilled-or-frozen-edible-meat,,15
Fish fresh chilled or frozen,fish-fresh-chilled-or-frozen,,16
Seafood dried smoked or salted fish,seafood-dried-smoked-or-salted-fish,,17
Other preserved or processed fish and seafood,other-preserved-or-processed-fish-and-seafood,,18
Whole milk,whole-milk,,19
Low fat milk,low-fat-milk,,20
Preserved milk,preserved-milk,,21
Cheese and curd,cheese-and-curd,,22
Eggs,eggs,,23
Other milk products,other-milk-products,,24
Yoghurt,yoghurt,,25
Butter,butter,,26
Margarine and other vegetable fats and peanut butter,margarine-and-other-vegetable-fats-and-peanut-butter,,27
Olive oil,olive-oil,,28
Edible oils and other animal fats,edible-oils-and-other-animal-fats,,29
Citrus fuits,citrus-fuits,,30
Bananas,bananas,,31
Apples,apples,,32
Pears,pears,,33
Stone fruits,stone-fruits,,34
Berries,berries,,35
Other fresh chilled or frozen fruits,other-fresh-chilled-or-frozen-fruits,,36
Dried fruit and nuts,dried-fruit-and-nuts,,37
Preserved fruit and fruit based products,preserved-fruit-and-fruit-based-products,,38
Leaf and stem vegetables,leaf-and-stem-vegetables,,39
Cabbages,cabbages,,40
Vegetables grown for their fruit,vegetables-grown-for-their-fruit,,41
Root crops non starchy bulbs and mushrooms,root-crops-non-starchy-bulbs-and-mushrooms,,42
Dried vegetables,dried-vegetables,,43
Other prepared or processed vegetables,other-prepared-or-processed-vegetables,,44
Potatoes,potatoes,,45
Other tubers and products of tuber vegetables,other-tubers-and-products-of-tuber-vegetables,,46
Sugar,sugar,,47
Other sugar products,other-sugar-products,,48
Jams and marmalades,jams-and-marmalades,,49
Chocolate,chocolate,,50
Confectionery products,confectionery-products,,51
Edible ices and ice cream,edible-ices-and-ice-cream,,52
Sauces condiments,sauces-condiments,,53
Bakers yeast dessert preparations soups,bakers-yeast-dessert-preparations-soups,,54
Salt spices herbs and other food products,salt-spices-herbs-and-other-food-products,,55
Coffee,coffee,,56
Tea,tea,,57
Cocoa and powdered chocolate,cocoa-and-powdered-chocolate,,58
Fruit and vegetable juices,fruit-and-vegetable-juices,,59
Mineral or spring waters,mineral-or-spring-waters,,60
Soft drinks,soft-drinks,,61
Spirits and liqueurs,spirits-and-liqueurs,,62
Wine from grape or other fruit,wine-from-grape-or-other-fruit,,63
Fortified wine,fortified-wine,,64
Champagne and sparkling wines,champagne-and-sparkling-wines,,65
Beer and lager,beer-and-lager,,66
Ciders and perry,ciders-and-perry,,67
Alcopops,alcopops,,68
Cigarettes,cigarettes,,69
Cigars,cigars,,70
Other tobacco,other-tobacco,,71
Mens outer garments,mens-outer-garments,,72
Mens under garments,mens-under-garments,,73
Womens outer garments,womens-outer-garments,,74
Womens under garments,womens-under-garments,,75
Boys outer garments,boys-outer-garments,,76
Girls outer garments,girls-outer-garments,,77
Infants outer garments,infants-outer-garments,,78
Childrens under garments,childrens-under-garments,,79
Mens accessories,mens-accessories,,80
Womens accessories,womens-accessories,,81
Childrens accessories,childrens-accessories,,82
Protective head gear,protective-head-gear,,83
Haberashery clothing materials and clothing hire,haberashery-clothing-materials-and-clothing-hire,,84
Dry cleaners and dyeing,dry-cleaners-and-dyeing,,85
Laundry laundrettes,laundry-laundrettes,,86
Footwear for men,footwear-for-men,,87
Footwear for women,footwear-for-women,,88
Footwear for children and infants,footwear-for-children-and-infants,,89
Repair and hire of footwear,repair-and-hire-of-footwear,,90
Actual rentals,actual-rentals,,91
Imputed rent,imputed-rent,,92
Central heating repairs,central-heating-repairs,,93
House maintenance,house-maintenance,,94
Paint wallpaper timber,paint-wallpaper-timber,,95
Equipment hire small materials,equipment-hire-small-materials,,96
Water charges,water-charges,,97
Other regular househing payments incl service charge for rent,other-regular-househing-payments-incl-service-charge-for-rent,,98
Refuse collection including skip hire,refuse-collection-including-skip-hire,,99
Electricity,electricity,,100
Gas,gas,,101
Coal and coke,coal-and-coke,,102
Oil for central heating,oil-for-central-heating,,103
Paraffin weed peat hot water etc,paraffin-weed-peat-hot-water-etc,,104
Furniture,furniture,,105
Fancy decorative goods,fancy-decorative-goods,,106
Garden furniture,garden-furniture,,107
Soft floor coverings,soft-floor-coverings,,108
Hard floor coverings,hard-floor-coverings,,109
Bedroom textiles including duvets and pillows,bedroom-textiles-including-duvets-and-pillows,,110
Other household textiles including cushions towells curtains,other-household-textiles-including-cushions-towells-curtains,,111
Gas cookers,gas-cookers,,112
Electric cookers combined gas electric cookers,electric-cookers-combined-gas-electric-cookers,,113
Clothes washing machines and clothes drying machines,clothes-washing-machines-and-clothes-drying-machines,,114
Refridgerators freezers and fridge freezers,refridgerators-freezers-and-fridge-freezers,,115
Other major electrical appliances e g dish washers microaves vacuum cleaners heaters,other-major-electrical-appliances-e-g-dish-washers-microaves-vacuum-cleaners-heaters,,116
Fire extinguishers,fire-extinguishers,,117
Small electric household appliances,small-electric-household-appliances,,118
Spare parts for appliances and repairs,spare-parts-for-appliances-and-repairs,,119
Rental hire of major hhold appliances,rental-hire-of-major-hhold-appliances,,120
Glassware china pottery cutlery and silverware,glassware-china-pottery-cutlery-and-silverware,,121
Kitchen and domestic utensils,kitchen-and-domestic-utensils,,122
Repair of glassware tableware and household utensils,repair-of-glassware-tableware-and-household-utensils,,123
Storage and other durable household articles,storage-and-other-durable-household-articles,,124
Electrical tools,electrical-tools,,125
Garden tools equipment and accessories,garden-tools-equipment-and-accessories,,126
Small tools,small-tools,,127
Door electrical and other fittings,door-electrical-and-other-fittings,,128
Electrical consumables,electrical-consumables,,129
Detergents washing up liquid washing powder,detergents-washing-up-liquid-washing-powder,,130
Disinfectants polishes other cleaning materials some pest controls,disinfectants-polishes-other-cleaning-materials-some-pest-controls,,131
Kitchen disposibles,kitchen-disposibles,,132
Household hardwear and appliances matches,household-hardwear-and-appliances-matches,,133
Kitchen gloves cloths etc,kitchen-gloves-cloths-etc,,134
Pins needles tape measures nails nuts and bolts,pins-needles-tape-measures-nails-nuts-and-bolts,,135
Domestic services including cleaners gardeners au pairs,domestic-services-including-cleaners-gardeners-au-pairs,,136
Carpet cleaning ironing service and window cleaner,carpet-cleaning-ironing-service-and-window-cleaner,,137
Hire repairof household furniture and furnishings,hire-repairof-household-furniture-and-furnishings,,138
Nhs prescription charges and payments,nhs-prescription-charges-and-payments,,139
Medicines and medical goods not nhs,medicines-and-medical-goods-not-nhs,,140
