,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1.1.1.1 Rice,125.1473317,126.6433831,120.989493,125.8076351,113.7991684,114.0373754,107.7740947,121.1184647,122.2930651,106.5387253,115.3314585,99.86333361,104.8851283,120.4344351,110.1260139,92.89777619,102.0358008,107.9392678
1.1.1.2 Bread,1160.60358,1148.423914,1081.02757,1174.692983,1026.942511,1012.888071,996.7597641,885.095581,880.2611093,745.4231341,824.1627659,711.22585,737.4399894,697.8794081,617.4928374,543.2248155,594.3224357,561.4109546
1.1.1.3 Other breads and cereals,964.8229521,962.2290693,889.3186053,915.370376,815.361782,782.8824061,725.3319885,640.8146555,669.590629,603.5950554,670.7267803,573.9790318,616.0517401,650.4926337,587.1455327,513.0360355,566.409551,536.7103492
1.1.2 Pasta products,203.1841736,188.0140503,168.4415829,178.1379189,145.6680807,137.4211354,136.155973,129.5640812,136.9566891,124.7764307,132.8828332,117.733255,115.0001042,113.250868,103.4004987,95.9239945,99.07396778,96.21426264
"1.1.3.1 Buns, crispbread and biscuits",2477.033412,2572.508685,2487.065199,2652.263885,2562.526025,2646.220453,2511.32768,2459.724816,2252.510369,2350.196042,2410.936946,2627.274335,2536.577954,2623.014998,2678.970549,2398.279551,2279.625529,2229.33006
1.1.3.2 Cakes and puddings,2326.645592,2198.842972,2204.896982,2271.472763,2230.631212,2213.865989,2116.047979,1902.877638,1687.791027,1680.00596,1654.922701,1881.359866,1666.310237,1750.920792,1708.439256,1680.08086,1543.330386,1541.507867
1.1.4 Pastry (savoury),2094.954723,1990.670384,1940.771583,2047.426358,2021.126969,1981.421642,1782.006539,1611.593149,1514.44204,1503.466779,1460.96434,1511.843403,1525.633553,1501.94182,1643.133622,1492.668839,1470.963381,1556.316117
"1.1.5 Beef (fresh, chilled or frozen)",7699.573881,7536.09017,7336.231027,8320.725027,8211.779697,8289.539773,7488.467968,6960.181113,7056.09955,6769.828685,6875.156835,7080.915921,7348.122102,7304.508335,7499.435153,7221.845172,7007.044013,6768.809673
"1.1.6 Pork (fresh, chilled or frozen)",3268.394268,3210.902839,2891.439913,3179.93229,2963.122667,2951.626058,2822.410733,2804.109751,2752.437899,2557.039774,2724.833985,2737.903055,2550.617724,2597.692679,2330.027049,2149.679386,2112.703755,1922.729313
"1.1.7 Lamb (fresh, chilled or frozen)",3252.882958,3268.548069,3226.93202,3310.103978,3704.971378,3433.819542,3169.767323,2812.026686,2706.746839,2784.157784,2648.494569,2636.690492,2513.217078,2455.388359,2657.60612,2128.604596,2152.614672,1890.434906
