Greenhouse Gas emissions - GHG - Ktonnes CO2e,,,,,,,,,,,,,,,,,
,,UK,Brazil,Russia,India,China,South Africa,USA,Japan,Rest of the EU,Rest of Europe,Rest of the OECD,Rest of Africa,Rest of America,Rest of Asia,Rest of Middle East,Total
,,UK,BRA,RUS,IND,CHN,ZAF,USA,JPN,REU,RER,ROD,RAF,RAM,RAS,RME,Total
,1990,620188.201,4223.044603,138104.6101,1683.869428,12411.73417,308.9447457,39424.64616,3877.637042,68862.95836,9488.386239,18519.97616,26845.82766,9647.879937,21901.1674,19310.73409,994799.6171
,1991,626603.7807,4245.270231,138604.6098,1699.881006,12506.91241,311.670133,39825.48509,3929.569175,69159.12087,9566.244679,18656.82273,26994.86345,9671.162844,21915.92163,19466.04051,1003157.355
,1992,608554.1487,3955.316178,129374.3443,1573.221035,11510.97943,287.0385453,36707.33975,3616.940806,63325.4687,8797.646661,17162.46936,24909.42444,8938.09251,20256.60465,17997.87415,956966.9093
,1993,585888.4771,3879.483511,127111.1886,1547.247665,11488.05296,284.5522235,36957.70975,3564.955556,61969.82348,8657.290343,16871.15568,24486.1145,8760.192263,19872.30938,17760.21674,929098.7697
,1994,562423.0303,3957.338146,125109.2113,1578.046328,11901.97203,291.3650108,38014.87543,3675.259781,64064.2448,8801.062297,17222.37556,24861.02828,8865.303483,20134.31756,18182.92063,909082.3509
,1995,545703.0879,3691.472467,114876.3633,1475.250189,11054.91944,269.6718182,35497.94533,3458.316276,59062.08945,8143.408557,15987.39172,22855.56836,8111.032516,18406.39144,16931.07092,865523.9796
,1996,559373.0463,2507.511842,40077.27378,5244.533395,19388.4857,5877.28196,45277.21043,4160.941214,60214.20584,22396.8756,13292.31073,32820.03913,13167.50219,30506.74095,22868.71383,877172.6729
,1997,560576.2583,2087.559543,80643.42133,7565.016167,22786.18277,5351.176158,54038.04592,5433.909361,79617.52935,21454.20422,11930.01424,37914.90657,12452.59694,27330.72615,24170.61883,953352.1659
,1998,569063.6054,2475.820214,54685.75453,9461.220594,24832.83452,6376.269045,67383.61425,6369.439535,85557.393,20777.4228,15485.56001,49621.23511,13951.90065,34965.22349,26135.64988,987142.943
,1999,554879.8347,3247.968927,80143.25619,9186.442284,24679.26083,5804.384766,70526.59036,5436.478673,90000.30107,22604.76137,20819.08211,44982.36803,14531.93716,31942.15401,26394.44054,1005179.261
,2000,556936.2441,3141.254841,69193.27225,10578.75296,27387.22707,6288.418247,59219.09408,5481.086815,87662.3005,22468.29438,13108.45841,45136.25764,13985.67823,33897.9656,26008.7715,980493.0766
