Year,Geography,Value
2002-2003,england,3152.44
2003-2004,england,3298.97
2004-2005,england,3365.29
2005-2006,england,3347.73
2006-2007,england,3279.15
2007-2008,england,3187.28
2008-2009,england,3102.77
2009-2010,england,3062.08
2010-2011,england,3087.77
2011-2012,england,3041.4
2012-2013,england,3001.25
2013-2014,england,2921.77
2014-2015,england,2919.82
2015-2016,england,2897.76
2016-2017,england,2898.91
2017-2018,england,2914.25
2018-2019,england,2945.37
2019-2020,england,2903.26
2020-2021,england,2857.18
