"Year","New Conifers","New Broadleaves",Total New
"1976","27.37","0.93",28.3
"1977","23.35","0.88",24.23
"1978","21.07","0.75",21.82
"1979","20.15","0.9",21.05
"1980","24.23","1.15",25.38
"1981","20.13","1.11",21.24
"1982","23.76","0.79",24.55
"1983","21.35","0.99",22.34
"1984","24.96","1.05",26.01
"1985","21.2","1.34",22.54
"1986","23.07","1.37",24.44
"1987","23.5","2.08",25.58
"1988","26.56","3.27",29.83
"1989","26.8","3.37",30.17
"1990","15.52","5.79",21.31
"1991","13.46","6.85",20.31
"1992","11.56","6.6",18.16
"1993","10.09","9.08",19.17
"1994","7.39","11.34",18.73
"1995","9.45","10.8",20.25
"1996","7.42","9.26",16.68
"1997","7.72","9.88",17.6
"1998","6.98","9.92",16.9
"1999","6.63","10.36",16.99
"2000","6.53","11.37",17.9
"2001","4.9","13.84",18.74
"2002","3.89","10.51",14.4
"2003","3.75","9.94",13.69
"2004","2.92","9.44",12.36
"2005","2.1","9.87",11.97
"2006","1.14","7.66",8.8
"2007","2.14","8.69",10.83
"2008","0.86","6.67",7.53
"2009","1.22","5.22",6.44
"2010","0.54","4.9",5.44
"2011","1.84","7.26",9.1
"2012","3.46","9.31",12.77
"2013","1.86","8.93",10.79
"2014","2.16","10.73",12.89
"2015","2.58","7.72",10.3
"2016","1.93","3.68",5.61
"2017","3.56","2.96",6.52
"2018","5.13","3.92",9.05
"2019","8.12","5.42",13.54
"2020","7.77","5.9",13.67
"2021","7.27","6.02",13.29
