Label,Notation,Parent Notation,Sort Priority,Description,Original Concept URI
2010,2010,,0,,http://reference.data.gov.uk/id/year/2010
2011,2011,,1,,http://reference.data.gov.uk/id/year/2011
2012,2012,,2,,http://reference.data.gov.uk/id/year/2012
2013,2013,,3,,http://reference.data.gov.uk/id/year/2013
2014,2014,,4,,http://reference.data.gov.uk/id/year/2014
2015,2015,,5,,http://reference.data.gov.uk/id/year/2015
2016,2016,,6,,http://reference.data.gov.uk/id/year/2016
2017,2017,,7,,http://reference.data.gov.uk/id/year/2017
2018,2018,,8,,http://reference.data.gov.uk/id/year/2018
2019,2019,,9,,http://reference.data.gov.uk/id/year/2019
2020,2020,,10,,http://reference.data.gov.uk/id/year/2020
2021 Estimated,2021-estimated,,11,,http://reference.data.gov.uk/id/year/2021%20Estimated
2022 Estimated,2022-estimated,,12,,http://reference.data.gov.uk/id/year/2022%20Estimated
