Year,A,B,C,D,E,F,G
2009,279,118245,587194,716848,394719,124068,39673
2010,45,82477,463417,576334,310959,97705,31641
2011,123,39413,385020,578783,253880,70725,20351
2012,1167,33636,391187,593744,218550,53945,14087
2013,1277,37150,487908,891601,361084,81274,20226
2014,1863,38695,494413,980553,415826,100583,29089
2015,2676,36445,384152,730009,314953,88762,28619
2016,745,18152,311060,570570,274515,74862,24402
2017,600,17385,299634,433837,164961,47086,16181
2018,558,22903,366599,511693,179352,39130,12194
2019,541,36570,470880,574289,196503,33745,10899
2020,588,37207,476809,552204,180714,32141,10802
