Year,UK,UK trend,England,England trend,Wales,Wales trend,Scotland,Scotland trend,Northern Ireland,Northern Ireland trend
1960,277.29376,274.7821939,293.36211,290.4899704,297.01327,293.864347,242.91107,240.386974,289.05269,291.3091552
1961,296.55427,275.0070154,308.94662,290.7712283,305.69346,294.0686064,273.88657,240.5138404,293.55459,291.5830544
1962,249.4367,275.1735671,263.84279,290.9999672,277.81763,294.3507402,212.20153,240.4909932,280.22296,292.0533589
1963,256.78993,275.4980668,267.7585,291.4008713,267.8978,294.7078217,233.60741,240.7007903,267.34692,292.2477062
1964,269.64178,275.951625,281.69308,291.9071773,292.61489,295.1917001,237.49651,241.0526621,301.73277,292.7185802
1965,275.65303,276.2041882,294.17317,292.2954729,301.54896,295.4364597,235.41212,241.1340716,288.51566,292.6540456
1966,279.1013,276.3547526,299.55948,292.5601672,297.6797,295.5484191,237.02322,241.1465116,295.09088,292.5505085
1967,292.89941,276.5551319,302.89442,292.8663779,302.77781,295.6744869,270.26969,241.2053812,310.93802,292.6442353
1968,289.04121,276.6626626,315.61491,293.0858407,308.40456,295.7016308,231.82412,241.1582283,331.19281,292.6682758
1969,269.29782,276.8321638,289.44516,293.298886,301.92795,295.7382582,223.70766,241.3345453,287.17964,292.5685782
1970,272.86243,277.0099616,304.81529,293.4862977,299.82006,295.6357562,213.60222,241.6359667,264.22062,292.3560518
1971,279.98657,277.1182264,283.50132,293.4171958,284.14877,295.4543376,264.10066,242.1204589,328.75428,292.4274423
1972,268.05959,277.0642078,282.54546,293.3485676,286.76546,295.2475088,244.14086,242.2182576,236.34268,291.8698418
1973,275.08774,276.8969435,289.34916,293.1934953,304.20736,294.9011953,236.05617,242.1012451,316.40941,291.570422
1974,296.28442,276.7986487,320.38357,293.117754,304.37665,294.3856464,251.50974,242.1719198,308.01412,290.9245947
1975,308.88794,276.6518916,329.62367,292.8918311,335.60827,293.896376,262.85734,242.3417241,331.71857,290.2467818
1976,304.91009,276.2885617,316.72733,292.4189986,324.70128,293.0999064,278.03141,242.3992512,314.89097,289.186387
1977,266.35213,275.7278878,283.87727,291.7803802,285.73303,292.014536,232.60716,242.2554105,262.01288,287.7910676
1978,262.63142,275.2064668,275.7311,291.2402522,280.17615,291.0780293,235.08098,241.9965809,268.15806,286.5772797
1979,221.19727,274.7436775,232.01855,290.768736,231.60798,290.1284565,200.53677,241.7978949,218.77799,285.4200476
1980,259.05852,274.8317038,271.09088,290.9294243,271.28992,289.8569824,231.59847,241.9480065,281.0761,284.9957505
1981,280.36973,275.1229954,292.84523,291.3390666,290.12923,289.893378,252.66894,242.1909617,303.37334,284.8106372
1982,272.00848,275.5097952,283.37614,291.8655606,280.51993,290.0400823,246.41466,242.5014869,295.2586,284.6590223
1983,312.92448,276.0707293,330.22641,292.5322948,321.26322,290.3726838,276.90573,243.0130741,339.45368,284.8368966
1984,264.80934,276.4888578,278.94961,293.066056,271.00282,290.6664427,240.1517,243.3228046,260.45712,284.9545943
1985,260.43815,277.1370155,270.22191,293.8972156,289.26901,291.307029,230.89886,243.6906997,290.58978,285.4623048
1986,266.66946,278.060341,299.35073,295.1331582,294.68242,292.1852335,207.58786,244.1686664,248.63867,286.0094449
1987,261.2022,279.0599169,281.79823,296.2477433,264.32925,292.9668486,227.74767,245.0339524,250.55305,287.0031323
1988,269.13933,280.2649047,287.60116,297.5375422,264.64328,294.105773,240.4554,246.1011178,261.32255,288.2699478
1989,304.37109,281.6443836,313.61415,298.9837182,317.65271,295.6277861,282.41258,247.2742692,319.77879,289.9657879
1990,291.75321,283.086482,310.33059,300.5937436,305.08343,297.2199334,257.54121,248.3382861,288.30353,291.7289008
1991,268.86352,284.6595294,287.20622,302.3098205,278.70644,298.9643382,236.86853,249.5382108,260.86931,293.7963551
1992,292.09947,286.5349802,326.07208,304.321882,327.14275,301.1080605,227.14026,251.0072579,284.64737,296.2676404
1993,281.66504,288.4689842,299.14135,306.2104114,289.51463,303.0898278,250.08688,252.8764439,281.69428,298.9229006
1994,296.68626,290.3491871,324.59003,308.0593435,323.17328,305.0832891,242.05647,254.6418775,300.73357,301.5840856
1995,288.19872,291.8313172,304.02326,309.3632107,310.30154,306.5334184,248.67464,256.288699,327.45288,303.8777246
1996,303.1275,292.9967519,312.4226,310.3026798,307.39824,307.5408882,283.51791,257.7526625,319.19296,305.7457834
1997,290.29775,294.0854117,295.41191,311.231216,300.08892,308.5938076,267.79859,258.9970672,353.71425,307.5353744
1998,304.6765,295.1601242,314.91897,312.2289265,325.38229,309.6582678,276.56957,260.1494835,334.17481,308.9259053
1999,312.07744,296.3807273,335.36871,313.4332963,318.11387,310.7959134,269.68277,261.3821339,321.48749,310.3732891
2000,309.92662,297.3726246,326.7047,314.3476665,332.18203,311.7449815,272.96162,262.510054,325.8306,311.4093643
2001,270.50868,298.1833302,287.89472,315.0981559,283.48347,312.5450893,238.22191,263.4362662,268.99619,312.1717059
2002,300.56249,299.1212672,320.47408,316.1006978,322.28763,313.5499398,256.77732,264.2682153,326.21725,313.0116929
2003,302.45142,299.8491116,321.03803,316.8628466,311.27416,314.2168775,268.70151,265.0043349,302.76621,313.4768867
2004,326.54717,300.2874722,343.71082,317.3701718,346.70897,314.6180025,288.76014,265.4006816,346.67986,313.5718224
2005,304.08198,300.4904103,314.89912,317.584511,308.81651,314.7201863,282.80434,265.6791882,313.36529,313.4010301
2006,300.85771,300.7044181,324.28163,317.8495058,322.55805,314.8675585,256.25817,265.9130432,297.70964,313.1365014
2007,331.02129,300.8564239,340.47219,317.9789811,332.1126,314.8207411,311.70464,266.2463341,348.6762,312.7954679
2008,288.59342,300.6786967,313.64218,317.8996268,301.48425,314.6469059,241.74848,266.0121789,296.56359,312.0148214
2009,282.60886,300.3903377,294.52193,317.6824796,292.48887,314.4048188,256.88845,265.72064,299.99129,311.0095923
2010,246.08245,300.2091809,254.96606,317.6458108,249.7148,314.3512258,224.60775,265.3958783,278.07413,310.0857141
2011,308.61094,300.4680631,329.54007,318.1746605,334.89338,314.8719596,264.96616,265.2804762,317.35731,309.509074
2012,305.44886,300.747179,323.01189,318.7019848,322.25462,315.3002068,268.48512,265.2682994,322.38138,308.8611435
2013,329.2539,300.9697916,346.10987,319.1223136,345.96806,315.6323413,294.28609,265.2849132,341.68784,308.208435
2014,307.88674,301.0831714,326.5379,319.4040163,322.79497,315.8729835,275.64952,265.2227869,289.97344,307.5223352
2015,318.64697,301.2043415,346.31432,319.7092958,341.57901,316.0904192,269.64011,265.1022999,299.48134,307.1203332
2016,302.97496,301.2421499,333.15051,319.8528692,318.35161,316.2363767,247.64677,264.9758021,306.82394,306.9148877
2017,292.65194,300.8828081,305.06149,319.4478193,304.21563,315.9223121,264.24531,264.7050204,317.55298,306.413542
2018,270.62965,300.5139884,297.13959,319.0644274,298.09719,315.6364487,220.49874,264.3683504,260.9018,305.8726521
2019,295.75318,300.3664378,307.88565,318.8605956,308.50345,315.4242031,268.59365,264.3403583,313.79211,305.6763232
2020,318.90145,300.5124965,330.86515,318.9608158,322.71699,315.4866894,298.02088,264.5935994,317.33638,305.7812024
