Year,UK,UK trend,England,England trend,Wales,Wales trend,Scotland,Scotland trend,Northern Ireland,Northern Ireland trend
1960,-12.19356533,-14.70780613,-12.973715,-15.8458546,-5.703683333,-8.852606356,-12.576082,-15.100178,-12.49951933,-10.24305409
1961,7.066944667,-14.48298462,2.610795,-15.56459673,2.976506667,-8.648346889,18.399418,-14.9733116,-7.997619333,-9.969154933
1962,-40.05062533,-14.31643293,-42.493035,-15.33585776,-24.89932333,-8.366213111,-43.285622,-14.9961588,-21.32924933,-9.498850444
1963,-32.69739533,-13.99193316,-38.577325,-14.93495367,-34.81915333,-8.009131644,-21.879742,-14.78636173,-34.20528933,-9.304503111
1964,-19.84554533,-13.53837502,-24.642745,-14.42864771,-10.10206333,-7.5252532,-17.990642,-14.43448991,0.180560667,-8.833629111
1965,-13.83429533,-13.28581182,-12.162655,-14.04035207,-1.167993333,-7.2804936,-20.075032,-14.35308044,-13.03654933,-8.898163689
1966,-10.38602533,-13.13524738,-6.776345,-13.77565776,-5.037253333,-7.168534222,-18.463932,-14.34064036,-6.461329333,-9.001700844
1967,3.412084667,-12.93486809,-3.441405,-13.46944709,0.060856667,-7.042466444,14.782538,-14.28177084,9.385810667,-8.907974044
1968,-0.446115333,-12.82733738,9.279085,-13.24998433,5.687606667,-7.015322578,-23.663032,-14.32892369,29.64060067,-8.883933556
1969,-20.18950533,-12.65783618,-16.890665,-13.03693904,-0.789003333,-6.978695156,-31.779492,-14.15260671,-14.37256933,-8.983631111
1970,-16.62489533,-12.4800384,-1.520535,-12.84952727,-2.896893333,-7.081197156,-41.884932,-13.85118529,-37.33158933,-9.196157556
1971,-9.500755333,-12.37177364,-22.834505,-12.91862922,-18.56818333,-7.262615689,8.613508,-13.36669307,27.20207067,-9.124767067
1972,-21.42773533,-12.42579222,-23.790365,-12.98725744,-15.95149333,-7.469444533,-11.346292,-13.2688944,-65.20952933,-9.682367556
1973,-14.39958533,-12.59305649,-16.986665,-13.14232967,1.490406667,-7.815758,-19.430982,-13.38590693,14.85720067,-9.981787378
1974,6.797094667,-12.69135133,14.047745,-13.21807096,1.659696667,-8.331306933,-3.977412,-13.31523222,6.461910667,-10.62761467
1975,19.40061467,-12.83810836,23.287845,-13.44399393,32.89131667,-8.820577289,7.370188,-13.14542787,30.16636067,-11.30542756
1976,15.42276467,-13.20143831,10.391505,-13.91682642,21.98432667,-9.617046933,22.544258,-13.08790084,13.33876067,-12.36582231
1977,-23.13519533,-13.76211222,-22.458555,-14.55544478,-16.98392333,-10.70241729,-22.879992,-13.23174147,-39.53932933,-13.76114169
1978,-26.85590533,-14.2835332,-30.604725,-15.09557278,-22.54080333,-11.638924,-20.406172,-13.49057111,-33.39414933,-14.97492964
1979,-68.29005533,-14.74632249,-74.317275,-15.567089,-71.10897333,-12.5884968,-54.950382,-13.68925707,-82.77421933,-16.13216169
1980,-30.42880533,-14.65829622,-35.244945,-15.40640073,-31.42703333,-12.85997089,-23.888682,-13.53914551,-20.47610933,-16.5564588
1981,-9.117595333,-14.36700458,-13.490595,-14.99675838,-12.58772333,-12.82357538,-2.818212,-13.29619031,1.821130667,-16.74157218
1982,-17.47884533,-13.98020476,-22.959685,-14.47026438,-22.19702333,-12.67687107,-9.072492,-12.98566511,-6.293609333,-16.89318707
1983,23.43715467,-13.41927071,23.890585,-13.80353016,18.54626667,-12.34426956,21.418578,-12.47407787,37.90147067,-16.71531276
1984,-24.67798533,-13.00114222,-27.386215,-13.269769,-31.71413333,-12.05051067,-15.335452,-12.16434738,-41.09508933,-16.59761507
1985,-29.04917533,-12.35298449,-36.113915,-12.4386094,-13.44794333,-11.40992431,-24.588292,-11.79645231,-10.96242933,-16.08990453
1986,-22.81786533,-11.42965898,-6.985095,-11.20266682,-8.034533333,-10.53171987,-47.899292,-11.3184856,-52.91353933,-15.5427644
1987,-28.28512533,-10.43008311,-24.537595,-10.08808167,-38.38770333,-9.750104756,-27.739482,-10.45319956,-50.99915933,-14.54907702
1988,-20.34799533,-9.225095333,-18.734665,-8.798282822,-38.07367333,-8.611180356,-15.031752,-9.386034222,-40.22965933,-13.28226151
1989,14.88376467,-7.845616444,7.278325,-7.352106778,14.93575667,-7.089167244,26.925428,-8.212882756,18.22658067,-11.58642147
1990,2.265884667,-6.403517956,3.994765,-5.742081444,2.366476667,-5.497019911,2.054058,-7.148865867,-13.24867933,-9.823308533
1991,-20.62380533,-4.830470578,-19.129605,-4.026004511,-24.01051333,-3.752615156,-18.618622,-5.948941156,-40.68289933,-7.755854267
1992,2.612144667,-2.955019822,19.736255,-2.013943044,24.42579667,-1.608892844,-28.346892,-4.479894133,-16.90483933,-5.284568933
1993,-7.822285333,-1.021015822,-7.194475,-0.125413578,-13.20232333,0.372874489,-5.400272,-2.610708089,-19.85792933,-2.629308756
1994,7.198934667,0.859187111,18.254205,1.723518467,20.45632667,2.366335778,-13.430682,-0.845274489,-0.818639333,0.031876267
1995,-1.288605333,2.3413172,-2.312565,3.027385711,7.584586667,3.816465022,-6.812512,0.801547022,25.90067067,2.325515244
1996,13.64017467,3.506751867,6.086775,3.966854822,4.681286667,4.823934889,28.030758,2.265510489,17.64075067,4.193574089
1997,0.810424667,4.595411733,-10.923915,4.895391044,-2.628033333,5.876854222,12.311438,3.5099152,52.16204067,5.983165067
1998,15.18917467,5.670124222,8.583145,5.893101533,22.66533667,6.941314489,21.082418,4.662331467,32.62260067,7.373695956
1999,22.59011467,6.890727289,29.032885,7.097471311,15.39691667,8.078960089,14.195618,5.894981867,19.93528067,8.821079733
2000,20.43929467,7.882624578,20.368875,8.011841489,29.46507667,9.028028133,17.474468,7.022901956,24.27839067,9.857154978
2001,-18.97864533,8.693330222,-18.441105,8.762330911,-19.23348333,9.828136,-17.265242,7.949114178,-32.55601933,10.61949653
2002,11.07516467,9.631267244,14.138255,9.764872778,19.57067667,10.83298649,1.290168,8.781063333,24.66504067,11.45948356
2003,12.96409467,10.35911164,14.702205,10.52702158,8.557206667,11.49992418,13.214358,9.517182889,1.214000667,11.92467738
2004,37.05984467,10.79747222,37.374995,11.03434678,43.99201667,11.9010492,33.272988,9.913529644,45.12765067,12.01961311
2005,14.59465467,11.00041027,8.563295,11.24868602,6.099556667,12.00323298,27.317188,10.19203618,11.81308067,11.84882076
2006,11.37038467,11.21441809,17.945805,11.51368082,19.84109667,12.1506052,0.771018,10.4258912,-3.842569333,11.58429209
2007,41.53396467,11.36642391,34.136365,11.64315611,29.39564667,12.10378778,56.217488,10.75918209,47.12399067,11.24325858
2008,-0.893905333,11.18869671,7.306355,11.56380184,-1.232703333,11.92995258,-13.738672,10.52502689,-4.988619333,10.46261209
2009,-6.878465333,10.90033773,-11.813895,11.3466546,-10.22808333,11.68786547,1.401298,10.23348796,-1.560919333,9.457382933
2010,-43.40487533,10.71918089,-51.369765,11.30998584,-53.00215333,11.63427244,-30.879402,9.908726267,-23.47807933,8.533504756
2011,19.12361467,10.97806307,23.204245,11.83883553,32.17642667,12.15500631,9.479008,9.793324178,15.80510067,7.956864622
2012,15.96153467,11.25717898,16.676065,12.3661598,19.53766667,12.58325347,12.997968,9.781147422,20.82917067,7.308934178
2013,39.76657467,11.47979164,39.774045,12.78648864,43.25110667,12.91538796,38.798938,9.7977612,40.13563067,6.656225644
2014,18.39941467,11.59317142,20.202075,13.06819127,20.07801667,13.15603013,20.162368,9.735634889,-11.57876933,5.970125867
2015,29.15964467,11.71434151,39.978495,13.37347078,38.86205667,13.37346587,14.152958,9.615147911,-2.070869333,5.568123822
2016,13.48763467,11.75214991,26.814685,13.5170442,15.63465667,13.51942333,-7.840382,9.488650089,5.271730667,5.362678356
2017,3.164614667,11.39280813,-1.274335,13.11199433,1.498676667,13.2053588,8.758158,9.217868356,16.00077067,4.861332622
2018,-18.85767533,11.02398844,-9.196235,12.72860238,-4.619763333,12.91949533,-34.988412,8.8811984,-40.65040933,4.3204428
2019,6.265854667,10.87643782,1.549825,12.52477056,5.786496667,12.70724978,13.106498,8.853206267,12.23990067,4.124113867
2020,29.41412467,11.02249653,24.529325,12.62499078,20.00003667,12.76973609,42.533728,9.106447378,15.78417067,4.228993111
