Year,UK,UK trend,England,England trend,Wales,Wales trend,Scotland,Scotland trend,Northern Ireland,Northern Ireland trend
1862,1117.30,1059.04,854.28,817.49,1281.52,1328.99,1506.28,1388.06,1151.54,1073.17
1863,1059.50,1060.25,766.87,818.68,1352.35,1331.76,1473.28,1388.95,1040.39,1073.98
1864,905.79,1061.67,639.97,821.12,1037.79,1334.86,1315.78,1388.31,893.22,1074.85
1865,991.57,1064.29,846.93,825.17,1283.80,1340.80,1147.02,1387.78,1039.69,1076.91
1866,1162.14,1067.30,948.22,829.15,1460.36,1346.76,1443.42,1388.74,1140.26,1078.07
1867,1019.60,1071.25,813.72,833.83,1314.55,1354.47,1261.49,1390.82,1155.34,1080.22
1868,1150.75,1076.27,830.79,839.40,1373.75,1363.83,1637.54,1394.36,1084.12,1081.96
1869,1076.86,1079.96,847.04,844.43,1444.85,1372.65,1356.99,1394.83,1112.98,1083.69
1870,863.62,1083.47,660.49,848.84,1214.52,1380.89,1085.07,1395.88,1003.50,1085.45
1871,1007.22,1088.95,796.83,854.69,1289.80,1390.33,1286.66,1400.37,992.38,1087.19
1872,1469.44,1095.02,1175.47,861.22,2018.40,1401.25,1816.73,1404.89,1452.61,1090.46
1873,1010.02,1096.85,753.33,864.23,1205.33,1405.15,1406.09,1404.69,907.19,1089.57
1874,1053.05,1098.61,764.81,867.85,1374.33,1409.67,1461.07,1402.86,989.89,1090.00
1875,1101.88,1099.25,928.80,870.89,1433.16,1411.53,1310.01,1399.19,1063.84,1090.40
1876,1160.67,1099.38,959.55,872.36,1451.09,1411.90,1415.10,1396.99,1186.91,1090.76
1877,1346.08,1099.15,1017.22,873.13,1735.40,1411.46,1798.60,1395.12,1298.90,1090.41
1878,1062.90,1096.36,885.29,872.06,1345.28,1406.12,1290.85,1389.99,1029.90,1088.37
1879,1030.90,1093.09,878.64,869.57,1341.69,1399.72,1196.10,1386.06,1063.91,1086.00
1880,1059.79,1089.67,922.98,866.05,1364.58,1392.14,1223.88,1383.83,969.95,1082.94
1881,1067.06,1085.61,880.11,861.57,1297.50,1383.22,1319.38,1381.48,1051.66,1080.40
1882,1272.22,1081.73,1031.13,856.86,1711.38,1374.60,1566.29,1379.89,1224.96,1078.38
1883,1139.53,1075.78,878.58,850.24,1409.42,1362.75,1499.63,1375.99,1162.16,1075.92
1884,1033.45,1069.39,706.97,842.63,1314.25,1350.01,1488.35,1372.76,1121.32,1072.65
1885,1022.28,1063.20,815.36,835.90,1326.20,1337.42,1305.54,1368.61,915.89,1069.44
1886,1127.62,1056.98,932.77,828.80,1599.63,1324.68,1318.25,1364.73,1175.99,1068.16
1887,821.24,1049.46,608.35,820.09,995.58,1308.76,1130.12,1360.50,827.42,1065.75
1888,1014.07,1045.17,799.12,814.23,1266.09,1297.69,1295.43,1359.62,1072.31,1067.11
1889,947.92,1042.52,759.85,809.33,1112.79,1288.59,1194.57,1361.62,1081.39,1068.93
1890,1031.22,1040.54,735.80,804.33,1176.60,1280.99,1476.91,1365.54,1076.83,1070.36
1891,1120.43,1038.52,908.82,799.99,1441.77,1274.20,1398.35,1368.13,1062.08,1071.39
1892,999.59,1036.61,764.76,795.47,1084.86,1267.00,1356.57,1371.32,1065.81,1073.26
1893,958.17,1036.57,685.56,792.32,1100.70,1263.83,1378.11,1376.73,945.05,1076.40
1894,1122.64,1037.20,884.69,790.25,1379.66,1262.70,1459.11,1381.70,1080.44,1080.71
1895,985.76,1037.16,784.00,788.03,1143.61,1261.13,1275.45,1384.94,1017.87,1084.81
1896,1009.61,1038.15,758.50,787.03,1201.54,1262.43,1365.36,1388.60,1078.85,1089.13
1897,1059.46,1039.44,820.12,786.63,1380.82,1264.69,1349.62,1392.00,1194.58,1092.82
1898,1030.93,1042.44,704.44,788.03,1246.38,1269.23,1514.17,1397.09,1059.90,1096.74
1899,1033.02,1045.88,764.37,790.57,1217.83,1275.26,1412.17,1401.16,1143.13,1101.11
1900,1176.68,1049.68,885.30,793.39,1402.61,1282.69,1587.47,1405.59,1261.88,1105.10
1901,953.17,1052.31,708.00,795.98,1195.04,1289.60,1270.20,1407.36,1104.60,1106.54
1902,902.19,1056.80,682.76,800.61,1063.93,1299.21,1197.95,1410.68,1052.16,1108.65
1903,1385.34,1061.53,1060.43,805.43,1770.19,1309.42,1833.36,1414.39,1339.79,1110.27
1904,992.82,1063.50,732.14,808.23,1189.04,1316.30,1359.82,1414.06,1084.26,1110.06
1905,952.35,1065.43,689.24,811.66,1101.36,1323.30,1343.72,1412.54,1000.75,1109.79
1906,1106.72,1068.55,821.53,816.03,1340.94,1333.03,1516.96,1412.16,1127.52,1110.94
1907,1070.74,1070.81,817.75,819.65,1339.98,1342.05,1413.01,1410.70,1116.43,1111.24
1908,1007.60,1072.65,729.85,823.19,1316.87,1349.81,1368.43,1408.48,1124.18,1111.08
1909,1060.64,1075.19,858.10,827.31,1317.26,1357.77,1331.91,1407.39,1049.46,1110.99
1910,1145.88,1078.51,917.38,832.01,1569.19,1367.24,1419.81,1407.20,1116.86,1111.85
1911,1017.21,1080.78,772.32,835.87,1319.64,1374.03,1355.60,1405.99,963.07,1112.03
1912,1233.53,1083.36,1016.14,839.88,1565.80,1380.30,1512.00,1405.44,1216.05,1113.19
1913,1019.55,1085.10,785.02,842.90,1417.72,1385.89,1298.74,1404.22,1058.44,1113.51
1914,1114.08,1087.94,884.40,846.17,1436.71,1391.87,1418.47,1405.68,1078.89,1115.23
1915,1068.96,1090.19,905.06,848.56,1361.06,1397.00,1270.33,1406.92,1036.57,1117.42
1916,1195.78,1093.42,941.09,851.05,1397.93,1403.36,1569.38,1410.41,1182.05,1121.16
1917,1038.75,1095.20,798.74,852.29,1268.09,1409.10,1355.31,1411.71,1166.64,1124.54
1918,1134.78,1096.67,869.71,853.16,1524.39,1414.53,1461.24,1412.91,1196.53,1126.82
1919,1029.33,1097.91,845.54,853.93,1292.43,1418.77,1258.07,1414.12,1073.09,1127.89
1920,1140.08,1099.12,853.16,853.83,1641.73,1422.61,1466.86,1416.75,1243.80,1129.16
1921,900.37,1099.51,565.78,853.26,1077.41,1423.15,1392.60,1418.85,1002.36,1128.48
1922,1046.70,1101.54,852.35,855.19,1314.04,1426.37,1296.64,1420.96,1063.31,1128.96
1923,1214.39,1103.54,905.02,857.10,1577.68,1429.29,1615.75,1423.06,1317.74,1129.60
