period-start,variable,value
1862-01-01,east scotland,153.13891
1862-02-01,east scotland,51.9433
1862-03-01,east scotland,87.82945
1862-04-01,east scotland,72.09841999999999
1862-05-01,east scotland,105.28182
1862-06-01,east scotland,104.06905
1862-07-01,east scotland,100.95888000000001
1862-08-01,east scotland,96.22729
1862-09-01,east scotland,56.179469999999995
1862-10-01,east scotland,164.12005
1862-11-01,east scotland,53.91158000000001
1862-12-01,east scotland,143.57398
1863-01-01,east scotland,169.54135
1863-02-01,east scotland,62.60304
1863-03-01,east scotland,42.7694
1863-04-01,east scotland,87.67803
1863-05-01,east scotland,52.22305
1863-06-01,east scotland,83.31531
1863-07-01,east scotland,17.306079999999998
1863-08-01,east scotland,126.06955
1863-09-01,east scotland,122.8491
1863-10-01,east scotland,102.3239
1863-11-01,east scotland,87.31495
1863-12-01,east scotland,122.15251
1864-01-01,east scotland,73.30815
1864-02-01,east scotland,101.9712
1864-03-01,east scotland,99.65398
1864-04-01,east scotland,41.67714
1864-05-01,east scotland,48.00464
1864-06-01,east scotland,78.11948000000001
1864-07-01,east scotland,64.17593000000001
1864-08-01,east scotland,43.15862
1864-09-01,east scotland,126.00306
1864-10-01,east scotland,158.60303000000002
1864-11-01,east scotland,110.52238
1864-12-01,east scotland,112.14573
1865-01-01,east scotland,82.19382
1865-02-01,east scotland,80.15039
1865-03-01,east scotland,50.57309
1865-04-01,east scotland,26.03301
1865-05-01,east scotland,81.84148
1865-06-01,east scotland,17.54607
1865-07-01,east scotland,98.57866999999999
1865-08-01,east scotland,119.90261000000001
1865-09-01,east scotland,23.84119
1865-10-01,east scotland,135.26168
1865-11-01,east scotland,100.14249000000001
1865-12-01,east scotland,102.97268000000001
1866-01-01,east scotland,128.31218
1866-02-01,east scotland,127.33106000000001
1866-03-01,east scotland,99.98746
1866-04-01,east scotland,61.44602
1866-05-01,east scotland,41.85951
1866-06-01,east scotland,51.2416
1866-07-01,east scotland,96.84823
1866-08-01,east scotland,116.7249
1866-09-01,east scotland,120.14595
1866-10-01,east scotland,78.85764
1866-11-01,east scotland,95.93901
1866-12-01,east scotland,127.9875
1867-01-01,east scotland,124.66753
1867-02-01,east scotland,75.26965
1867-03-01,east scotland,66.17289
1867-04-01,east scotland,118.54659
1867-05-01,east scotland,84.52205
1867-06-01,east scotland,54.066590000000005
1867-07-01,east scotland,155.12458
1867-08-01,east scotland,87.90484000000001
1867-09-01,east scotland,78.03452
1867-10-01,east scotland,94.76696
1867-11-01,east scotland,23.50186
1867-12-01,east scotland,69.63101999999999
1868-01-01,east scotland,148.48995
1868-02-01,east scotland,117.79438999999999
1868-03-01,east scotland,99.24622
1868-04-01,east scotland,107.70098999999999
1868-05-01,east scotland,65.39394
1868-06-01,east scotland,28.55003
1868-07-01,east scotland,17.92445
1868-08-01,east scotland,164.53462
1868-09-01,east scotland,118.48026999999999
1868-10-01,east scotland,91.29643
1868-11-01,east scotland,74.65656
1868-12-01,east scotland,187.99815
1869-01-01,east scotland,144.62438
1869-02-01,east scotland,100.36006
1869-03-01,east scotland,39.79064
1869-04-01,east scotland,57.7283
1869-05-01,east scotland,40.23279
1869-06-01,east scotland,66.76855
1869-07-01,east scotland,37.81926
1869-08-01,east scotland,33.633990000000004
1869-09-01,east scotland,160.52283
1869-10-01,east scotland,105.84711000000001
1869-11-01,east scotland,84.33638
1869-12-01,east scotland,113.25663
1870-01-01,east scotland,69.26431
1870-02-01,east scotland,117.05788999999999
1870-03-01,east scotland,24.753439999999998
1870-04-01,east scotland,37.73109
1870-05-01,east scotland,67.55464
1870-06-01,east scotland,45.281940000000006
1870-07-01,east scotland,49.51109
1870-08-01,east scotland,50.35561
1870-09-01,east scotland,86.72603000000001
1870-10-01,east scotland,124.27358999999998
1870-11-01,east scotland,66.15511
1870-12-01,east scotland,105.18798000000001
1871-01-01,east scotland,69.77038
1871-02-01,east scotland,127.60585
1871-03-01,east scotland,59.424319999999994
1871-04-01,east scotland,127.04476000000001
1871-05-01,east scotland,29.8776
1871-06-01,east scotland,61.615790000000004
1871-07-01,east scotland,121.28298000000001
1871-08-01,east scotland,84.08321
1871-09-01,east scotland,80.82666
1871-10-01,east scotland,119.01006000000001
1871-11-01,east scotland,87.27233000000001
1871-12-01,east scotland,90.03578
1872-01-01,east scotland,157.36052
1872-02-01,east scotland,166.35355
1872-03-01,east scotland,91.76668000000001
1872-04-01,east scotland,70.03211999999999
1872-05-01,east scotland,108.32248
1872-06-01,east scotland,157.15202
1872-07-01,east scotland,95.52031
1872-08-01,east scotland,124.11958
1872-09-01,east scotland,174.14481999999998
1872-10-01,east scotland,148.62903
1872-11-01,east scotland,202.97475
1872-12-01,east scotland,172.49069
1873-01-01,east scotland,152.34502
1873-02-01,east scotland,40.28417
1873-03-01,east scotland,61.77993000000001
1873-04-01,east scotland,24.93805
1873-05-01,east scotland,95.18828
1873-06-01,east scotland,51.35246
1873-07-01,east scotland,141.00686000000002
1873-08-01,east scotland,109.39386
1873-09-01,east scotland,128.27488
1873-10-01,east scotland,137.62911
1873-11-01,east scotland,98.62913
1873-12-01,east scotland,86.62708
1874-01-01,east scotland,97.18898
1874-02-01,east scotland,49.51146
1874-03-01,east scotland,82.87119
1874-04-01,east scotland,59.908359999999995
1874-05-01,east scotland,53.34946
1874-06-01,east scotland,43.4196
1874-07-01,east scotland,98.33369
1874-08-01,east scotland,155.21416000000002
1874-09-01,east scotland,107.60087
1874-10-01,east scotland,153.15427
1874-11-01,east scotland,121.86877
1874-12-01,east scotland,74.57625999999999
1875-01-01,east scotland,151.54671000000002
1875-02-01,east scotland,44.17003
1875-03-01,east scotland,53.83968
1875-04-01,east scotland,40.37453
1875-05-01,east scotland,54.21131999999999
1875-06-01,east scotland,78.63945
1875-07-01,east scotland,90.92036999999999
1875-08-01,east scotland,87.39259
1875-09-01,east scotland,125.72238999999999
1875-10-01,east scotland,157.29701
1875-11-01,east scotland,138.32166
1875-12-01,east scotland,118.09548000000001
1876-01-01,east scotland,72.69813
1876-02-01,east scotland,129.60284
1876-03-01,east scotland,140.71055
1876-04-01,east scotland,92.47394
1876-05-01,east scotland,27.768629999999998
1876-06-01,east scotland,86.4508
1876-07-01,east scotland,57.808
1876-08-01,east scotland,93.29347
1876-09-01,east scotland,107.31863
1876-10-01,east scotland,133.52802
1876-11-01,east scotland,114.92365
1876-12-01,east scotland,255.54746
1877-01-01,east scotland,175.01325
1877-02-01,east scotland,104.65426
1877-03-01,east scotland,73.25788
1877-04-01,east scotland,97.53563
1877-05-01,east scotland,75.81794000000001
1877-06-01,east scotland,121.46988999999999
1877-07-01,east scotland,114.99768999999999
1877-08-01,east scotland,195.05621000000002
1877-09-01,east scotland,71.89475999999999
1877-10-01,east scotland,155.18399
1877-11-01,east scotland,163.77373
1877-12-01,east scotland,110.83391
1878-01-01,east scotland,89.74410999999999
1878-02-01,east scotland,50.40062
1878-03-01,east scotland,60.996680000000005
1878-04-01,east scotland,48.76893
1878-05-01,east scotland,97.47958
1878-06-01,east scotland,80.07106
1878-07-01,east scotland,23.26624
1878-08-01,east scotland,157.90313999999998
1878-09-01,east scotland,120.04261000000001
1878-10-01,east scotland,130.87642
1878-11-01,east scotland,109.38548999999999
1878-12-01,east scotland,89.86184
1879-01-01,east scotland,50.31456
