,period_start,east scotland,north scotland,west scotland,northern ireland,east midlands,east of england,london,north east england,north west england,south east england,south west england,wales,west midlands,yorkshire and humber,daycount
0,1862-01-01,153-13891,180-65813,219-32553,148-94566,42-02082,35-42503,48-36752,94-65429,118-27044,67-35781,87-84227,115-64021000000001,53-03115,58.94035,31
1,1862-02-01,51-9433,64-10465,66-31298000000001,38-63077,17-29661,10-4519,9-586739999999999,48-601440000000004,40-3263,13-56926,24-79223,20-235,9-01679,34.1738,28
2,1862-03-01,87-82945,88-89273,119-38431000000001,97-48285,90-02105,91-60214,106-52037,91-97086999999999,94-31765,129-7574,126-97543,113-67358,78-1667,95.70953,31
3,1862-04-01,72-09841999999999,112-47353999999999,133-34687,93-13464,44-229009999999995,45-27856,63-94565,69-79869000000001,115-58277,62-260940000000005,76-82621,109-03809,54-72399,54.832640000000005,30
4,1862-05-01,105-28182,107-98591,127-19532,103-97593,79-21621999999999,73-654,89-00487,79-26026,102-76664,102-7346,72-79355,102-76524,89-04607,76.80752,31
5,1862-06-01,104-06905,134-44685,122-61271,85-40728,54-38742,55-883269999999996,63-047540000000005,91-9594,131-68733999999998,66-62653,78-57689,109-62403,53-349230000000006,75.84208000000001,30
6,1862-07-01,100-95888000000001,132-32142,182-00884,122-28858000000001,58-13195,56-71115,62-68705,89-80381,133-50651000000002,63-61533000000001,69-44288,117-65823999999999,62-591640000000005,86.92778,31
7,1862-08-01,96-22729,112-11561999999999,110-84096000000001,71-484,54-82874,73-8504,69-13246,86-28163,104-23007,57-40727,55-012119999999996,96-21266999999999,63-37485,59.52871,31
8,1862-09-01,56-179469999999995,66-26684,76-20551,55-09364,86-69205,53-15294,61-43565,69-1025,98-93741,58-529959999999996,75-99725,95-71431,77-45185,94.58131,30
9,1862-10-01,164-12005,242-49836000000002,276-96823,151-49819,72-80554000000001,62-99344,89-29306,118-73143,227-19997,128-37763,146-79984,201-56441,85-39215,94.71741,31
10,1862-11-01,53-91158000000001,127-37257,84-74418,64-49318000000001,24-99909,30-931179999999998,26-781809999999997,37-166740000000004,43-6021,26-924770000000002,33-586090000000006,50-92673,22-034570000000002,31.81093,30
11,1862-12-01,143-57398,209-58485,246-67252000000002,118-59803000000001,40-16984,41-11658,45-07808,98-38303,169-61493000000002,59-18618000000001,74-27904000000001,145-17638,48-489309999999996,68.11820999999999,31
12,1863-01-01,169-54135,263-28477999999996,236-57521,107-33843999999999,84-55001999999999,65-16657,69-11215,114-81321000000001,164-41155,92-32025,111-98141000000001,171-84615,82-73732,114.31671000000001,31
13,1863-02-01,62-60304,135-91767,117-75818999999998,36-935320000000004,12-98671,15-28559,18-773429999999998,24-52329,45-87287,23-4823,30-040609999999997,48-24657,16-93311,22.66171,28
14,1863-03-01,42-7694,72-87459,74-90531,54-14431999999999,20-639789999999998,24-08361,20-79126,43-48469,41-01019,24-37789,53-9643,68-68643,26-16605,31.614409999999996,31
15,1863-04-01,87-67803,150-68264,122-04486000000001,61-8387,29-341559999999998,17-185779999999998,9-05781,36-5435,58-42181,18-680670000000003,49-55388,62-588469999999994,29-82589,31.484859999999998,30
16,1863-05-01,52-22305,64-17161999999999,81-57775,66-22815,23-71026,26-12575,37-2621,44-66758,58-650209999999994,42-60344,52-52661,59-40051999999999,29-33398,34.85739,31
17,1863-06-01,83-31531,98-00646,126-66333,131-20096999999998,81-71858,73-33419,117-46314,104-00818000000001,119-65097,106-80785,114-66913999999998,140-50817,100-39492,67.87324,30
18,1863-07-01,17-306079999999998,15-03956,24-2163,11-617989999999999,32-98605,22-4356,21-54458,24-92687,41-37274,17-99598,29-570159999999998,29-898740000000004,27-96237,49.96393,31
19,1863-08-01,126-06955,183-51452,136-47437,109-48066999999999,68-08758,43-19127,37-65726,87-64789,124-1916,53-84036999999999,96-42473000000001,139-00248,73-09841,99.74807,31
20,1863-09-01,122-8491,226-16912000000002,174-76279,126-9765,69-30877,73-7259,79-83951,71-83671,138-87933,78-27553,110-10059,164-013,87-69348000000001,84.94729,30
21,1863-10-01,102-3239,134-49799,153-309,151-38503,80-8351,64-47946,49-38327,108-45922,171-7963,69-99336,148-08669,213-82861,94-69189,110.99001000000001,31
22,1863-11-01,87-31495,142-95084,141-40929,99-56393,62-82635,74-54326999999999,48-34326,88-54755,105-54614,58-689640000000004,87-01623000000001,150-46944,61-195969999999996,76.85996,30
23,1863-12-01,122-15251,223-9592,167-92537,82-29717,38-37427,34-45945,31-9921,65-81073,94-68704,48-69635,79-37727,100-61521,35-34539,65.88155,31
24,1864-01-01,73-30815,112-06438,118-9676,59-77188,23-0889,21-7654,26-732840000000003,46-56535,79-10488000000001,34-42391,63-74895,90-78618,28-3856,38.50507,31
25,1864-02-01,101-9712,173-14672,103-18782,55-06183000000001,46-41205,31-684929999999998,20-12663,78-92813000000001,91-97134,32-636379999999996,50-54692,79-29552,45-605979999999995,56.80641,29
26,1864-03-01,99-65398,154-60294,132-58503000000002,87-26848000000001,63-82323,78-42178,69-86299,100-41573000000001,88-20987,81-84206999999999,77-08912,95-47985,58-53154,60.17589,31
27,1864-04-01,41-67714,75-74725,73-41243,67-65677,37-7115,13-865310000000001,22-47976,47-459540000000004,37-38467,34-85472,48-10375,46-25002,35-86934,43.07933,30
28,1864-05-01,48-00464,71-9727,48-17228,62-63012,58-45265,56-57884,41-98239,60-828140000000005,57-58709,45-51594,34-42892,44-38775,48-32158,62.30525,31
29,1864-06-01,78-11948000000001,125-60428,101-82214,84-89919,35-876740000000005,27-785359999999997,46-45292,62-85326,97-83621,32-21456,44-068870000000004,71-29671,41-54138,50.8745,30
30,1864-07-01,64-17593000000001,82-45358,74-02618000000001,49-35382,14-81525,13-114529999999998,16-30969,34-968540000000004,61-532540000000004,13-91766,24-73536,52-7703,20-88261,23.060879999999997,31
31,1864-08-01,43-15862,76-63393,62-791880000000006,65-30731999999999,26-54174,20-51931,32-579390000000004,40-93712,80-69069,29-06298,27-553379999999997,57-96496,29-83448,39.698370000000004,31
32,1864-09-01,126-00306,187-35452,179-95208,96-43411,54-67049,45-336909999999996,66-26436,77-15255,140-10418,66-62021,81-02101,152-40748,62-289559999999994,76.85549,30
33,1864-10-01,158-60303000000002,170-60837,104-28754,61-97015,48-92468,23-86467,30-14915,127-53005,72-16167,41-60471,57-525690000000004,85-60681,51-29629,76.58859,31
34,1864-11-01,110-52238,130-62845,129-51268000000002,145-45796,64-08003000000001,74-64823,55-94655,79-37298,113-53141000000001,95-87935999999999,96-38268000000001,156-20873999999998,62-25456,80.68248,30
35,1864-12-01,112-14573,179-96413,127-03084,55-96275,43-51088,23-250970000000002,15-23337,92-01005,124-87543000000001,29-34463,90-02994,102-95948,51-74023,71.52036,31
36,1865-01-01,82-19382,176-47193000000001,127-2971,115-51732,57-638830000000006,75-7466,91-01451,61-56802,104-85015,104-54594,133-427,149-86821,69-78755,59.57989,31
37,1865-02-01,80-15039,109-03485,109-26758000000001,120-63368999999999,51-876490000000004,61-96595,58-170719999999996,55-39176,81-24399,71-90854,95-57481999999999,98-37512,52-608959999999996,54.2972,28
38,1865-03-01,50-57309,100-29075999999999,66-64309,81-3444,31-290440000000004,48-378840000000004,26-71653,44-61725,50-09851,34-09429,53-01801,59-23385,27-5329,38.82008,31
39,1865-04-01,26-03301,53-64721,29-149520000000003,32-440940000000005,20-24145,10-367360000000001,9-887139999999999,40-3309,31-60998,16-93691,26-18194,37-31661,23-16793,38.78938,30
40,1865-05-01,81-84148,80-00258000000001,109-24193000000001,105-0259,65-67236,60-018269999999994,85-76733,105-73975,118-53242,69-56691,84-51375,138-03681,73-36936999999999,70.47965,31
41,1865-06-01,17-54607,32-24191,30-21998,17-17253,48-393229999999996,34-35042,39-354820000000004,16-40466,17-10855,54-17363,43-48045,41-557629999999996,51-49857,25.97096,30
42,1865-07-01,98-57866999999999,120-34381,82-80784,52-04505,82-88504,101-29623000000001,53-5432,58-281040000000004,73-50905,76-21439000000001,97-58343,116-1064,67-41666,53.51105,31
43,1865-08-01,119-90261000000001,129-09911,148-84207,133-88735,91-23944,98-80949,116-0916,94-2108,130-28065,106-50764,153-66125,174-5505,114-81317,113.26122,31
44,1865-09-01,23-84119,81-08792,40-62155,16-20656,7-76918,7-26128,13-33136,21-0113,44-28499,5-76508,1-86163,9-36554,4-89853,14.23073,30
45,1865-10-01,135-26168,150-13609,150-6636,153-90175,138-40036,177-05518,165-23565,163-64549,133-59756000000002,201-33514,202-91794,208-71993,117-8117,134.37776000000002,31
46,1865-11-01,100-14249000000001,121-84315,119-41476999999999,113-71862,58-74055,48-98685,49-986259999999994,81-34321,106-9039,82-99239,135-17281,157-34808999999998,66-88292,80.73496999999999,30
47,1865-12-01,102-97268000000001,162-13996,127-60968000000001,96-11883,25-792070000000002,25-54775,30-829790000000003,49-97773,59-8047,60-52953,103-82751,90-56364,34-7244,28.92512,31
48,1866-01-01,128-31218,197-43152,250-44471000000001,157-96946,46-99882,63-865809999999996,93-84961,99-04276999999999,173-28781999999998,117-1996,155-18091,207-73946999999998,68-76985,78.96522,31
49,1866-02-01,127-33106000000001,186-75488,167-38197,100-53786,64-52728,83-78628,92-28743,82-40124,129-43074,111-9372,124-4382,141-28931,65-93056,85.1705,28
50,1866-03-01,99-98746,102-13184,95-46992,86-99243,37-38877,34-29883,41-02494,75-19698000000001,89-32925999999999,56-03139,89-99495,114-3413,50-68287,55.56847,31
51,1866-04-01,61-44602,64-85752,56-742940000000004,43-4484,33-21803,48-95049,47-176629999999996,70-63504,39-66149,55-179230000000004,62-22023000000001,52-73124,31-86125,40.97632,30
52,1866-05-01,41-85951,51-1492,45-49416,41-96767,38-79992,43-21627,43-51324,34-79029,47-70149,37-59714,52-66972,42-97865,34-75529,31.87675,31
