period-start,east scotland,north scotland,west scotland,northern ireland,east midlands,east of england,ondon,north east england,north west england,south east england,south west england,wales,west midlands,yorkshire and humber,daycount
1862-01-01,153.13891,180.65813,219.32553,148.94566,42.02082,35.42503,48.36752,94.65429,118.27044,67.35781,87.84227,115.64021,53.03115,58.94035,31
1862-02-01,51.9433,64.10465,66.31298,38.63077,17.29661,10.4519,9.58674,48.60144,40.3263,13.56926,24.79223,20.235,9.01679,34.1738,28
1862-03-01,87.82945,88.89273,119.38431,97.48285,90.02105,91.60214,106.52037,91.97087,94.31765,129.7574,126.97543,113.67358,78.1667,95.70953,31
1862-04-01,72.09842,112.47354,133.34687,93.13464,44.22901,45.27856,63.94565,69.79869,115.58277,62.26094,76.82621,109.03809,54.72399,54.83264,30
1862-05-01,105.28182,107.98591,127.19532,103.97593,79.21622,73.654,89.00487,79.26026,102.76664,102.7346,72.79355,102.76524,89.04607,76.80752,31
1862-06-01,104.06905,134.44685,122.61271,85.40728,54.38742,55.88327,63.04754,91.9594,131.68734,66.62653,78.57689,109.62403,53.34923,75.84208,30
1862-07-01,100.95888,132.32142,182.00884,122.28858,58.13195,56.71115,62.68705,89.80381,133.50651,63.61533,69.44288,117.65824,62.59164,86.92778,31
1862-08-01,96.22729,112.11562,110.84096,71.484,54.82874,73.8504,69.13246,86.28163,104.23007,57.40727,55.01212,96.21267,63.37485,59.52871,31
1862-09-01,56.17947,66.26684,76.20551,55.09364,86.69205,53.15294,61.43565,69.1025,98.93741,58.52996,75.99725,95.71431,77.45185,94.58131,30
1862-10-01,164.12005,242.49836,276.96823,151.49819,72.80554,62.99344,89.29306,118.73143,227.19997,128.37763,146.79984,201.56441,85.39215,94.71741,31
1862-11-01,53.91158,127.37257,84.74418,64.49318,24.99909,30.93118,26.78181,37.16674,43.6021,26.92477,33.58609,50.92673,22.03457,31.81093,30
1862-12-01,143.57398,209.58485,246.67252,118.59803,40.16984,41.11658,45.07808,98.38303,169.61493,59.18618,74.27904,145.17638,48.48931,68.11821,31
1863-01-01,169.54135,263.28478,236.57521,107.33844,84.55002,65.16657,69.11215,114.81321,164.41155,92.32025,111.98141,171.84615,82.73732,114.31671,31
1863-02-01,62.60304,135.91767,117.75819,36.93532,12.98671,15.28559,18.77343,24.52329,45.87287,23.4823,30.04061,48.24657,16.93311,22.66171,28
1863-03-01,42.7694,72.87459,74.90531,54.14432,20.63979,24.08361,20.79126,43.48469,41.01019,24.37789,53.9643,68.68643,26.16605,31.61441,31
1863-04-01,87.67803,150.68264,122.04486,61.8387,29.34156,17.18578,9.05781,36.5435,58.42181,18.68067,49.55388,62.58847,29.82589,31.48486,30
1863-05-01,52.22305,64.17162,81.57775,66.22815,23.71026,26.12575,37.2621,44.66758,58.65021,42.60344,52.52661,59.40052,29.33398,34.85739,31
1863-06-01,83.31531,98.00646,126.66333,131.20097,81.71858,73.33419,117.46314,104.00818,119.65097,106.80785,114.66914,140.50817,100.39492,67.87324,30
1863-07-01,17.30608,15.03956,24.2163,11.61799,32.98605,22.4356,21.54458,24.92687,41.37274,17.99598,29.57016,29.89874,27.96237,49.96393,31
1863-08-01,126.06955,183.51452,136.47437,109.48067,68.08758,43.19127,37.65726,87.64789,124.1916,53.84037,96.42473,139.00248,73.09841,99.74807,31
1863-09-01,122.8491,226.16912,174.76279,126.9765,69.30877,73.7259,79.83951,71.83671,138.87933,78.27553,110.10059,164.013,87.69348,84.94729,30
1863-10-01,102.3239,134.49799,153.309,151.38503,80.8351,64.47946,49.38327,108.45922,171.7963,69.99336,148.08669,213.82861,94.69189,110.99001,31
1863-11-01,87.31495,142.95084,141.40929,99.56393,62.82635,74.54327,48.34326,88.54755,105.54614,58.68964,87.01623,150.46944,61.19597,76.85996,30
1863-12-01,122.15251,223.9592,167.92537,82.29717,38.37427,34.45945,31.9921,65.81073,94.68704,48.69635,79.37727,100.61521,35.34539,65.88155,31
1864-01-01,73.30815,112.06438,118.9676,59.77188,23.0889,21.7654,26.73284,46.56535,79.10488,34.42391,63.74895,90.78618,28.3856,38.50507,31
1864-02-01,101.9712,173.14672,103.18782,55.06183,46.41205,31.68493,20.12663,78.92813,91.97134,32.63638,50.54692,79.29552,45.60598,56.80641,29
1864-03-01,99.65398,154.60294,132.58503,87.26848,63.82323,78.42178,69.86299,100.41573,88.20987,81.84207,77.08912,95.47985,58.53154,60.17589,31
1864-04-01,41.67714,75.74725,73.41243,67.65677,37.7115,13.86531,22.47976,47.45954,37.38467,34.85472,48.10375,46.25002,35.86934,43.07933,30
1864-05-01,48.00464,71.9727,48.17228,62.63012,58.45265,56.57884,41.98239,60.82814,57.58709,45.51594,34.42892,44.38775,48.32158,62.30525,31
1864-06-01,78.11948,125.60428,101.82214,84.89919,35.87674,27.78536,46.45292,62.85326,97.83621,32.21456,44.06887,71.29671,41.54138,50.8745,30
1864-07-01,64.17593,82.45358,74.02618,49.35382,14.81525,13.11453,16.30969,34.96854,61.53254,13.91766,24.73536,52.7703,20.88261,23.06088,31
1864-08-01,43.15862,76.63393,62.79188,65.30732,26.54174,20.51931,32.57939,40.93712,80.69069,29.06298,27.55338,57.96496,29.83448,39.69837,31
1864-09-01,126.00306,187.35452,179.95208,96.43411,54.67049,45.33691,66.26436,77.15255,140.10418,66.62021,81.02101,152.40748,62.28956,76.85549,30
1864-10-01,158.60303,170.60837,104.28754,61.97015,48.92468,23.86467,30.14915,127.53005,72.16167,41.60471,57.52569,85.60681,51.29629,76.58859,31
1864-11-01,110.52238,130.62845,129.51268,145.45796,64.08003,74.64823,55.94655,79.37298,113.53141,95.87936,96.38268,156.20874,62.25456,80.68248,30
1864-12-01,112.14573,179.96413,127.03084,55.96275,43.51088,23.25097,15.23337,92.01005,124.87543,29.34463,90.02994,102.95948,51.74023,71.52036,31
1865-01-01,82.19382,176.47193,127.2971,115.51732,57.63883,75.7466,91.01451,61.56802,104.85015,104.54594,133.427,149.86821,69.78755,59.57989,31
1865-02-01,80.15039,109.03485,109.26758,120.63369,51.87649,61.96595,58.17072,55.39176,81.24399,71.90854,95.57482,98.37512,52.60896,54.2972,28
1865-03-01,50.57309,100.29076,66.64309,81.3444,31.29044,48.37884,26.71653,44.61725,50.09851,34.09429,53.01801,59.23385,27.5329,38.82008,31
1865-04-01,26.03301,53.64721,29.14952,32.44094,20.24145,10.36736,9.88714,40.3309,31.60998,16.93691,26.18194,37.31661,23.16793,38.78938,30
1865-05-01,81.84148,80.00258,109.24193,105.0259,65.67236,60.01827,85.76733,105.73975,118.53242,69.56691,84.51375,138.03681,73.36937,70.47965,31
1865-06-01,17.54607,32.24191,30.21998,17.17253,48.39323,34.35042,39.35482,16.40466,17.10855,54.17363,43.48045,41.55763,51.49857,25.97096,30
1865-07-01,98.57867,120.34381,82.80784,52.04505,82.88504,101.29623,53.5432,58.28104,73.50905,76.21439,97.58343,116.1064,67.41666,53.51105,31
1865-08-01,119.90261,129.09911,148.84207,133.88735,91.23944,98.80949,116.0916,94.2108,130.28065,106.50764,153.66125,174.5505,114.81317,113.26122,31
1865-09-01,23.84119,81.08792,40.62155,16.20656,7.76918,7.26128,13.33136,21.0113,44.28499,5.76508,1.86163,9.36554,4.89853,14.23073,30
1865-10-01,135.26168,150.13609,150.6636,153.90175,138.40036,177.05518,165.23565,163.64549,133.59756,201.33514,202.91794,208.71993,117.8117,134.37776,31
1865-11-01,100.14249,121.84315,119.41477,113.71862,58.74055,48.98685,49.98626,81.34321,106.9039,82.99239,135.17281,157.34809,66.88292,80.73497,30
1865-12-01,102.97268,162.13996,127.60968,96.11883,25.79207,25.54775,30.82979,49.97773,59.8047,60.52953,103.82751,90.56364,34.7244,28.92512,31
1866-01-01,128.31218,197.43152,250.44471,157.96946,46.99882,63.86581,93.84961,99.04277,173.28782,117.1996,155.18091,207.73947,68.76985,78.96522,31
1866-02-01,127.33106,186.75488,167.38197,100.53786,64.52728,83.78628,92.28743,82.40124,129.43074,111.9372,124.4382,141.28931,65.93056,85.1705,28
1866-03-01,99.98746,102.13184,95.46992,86.99243,37.38877,34.29883,41.02494,75.19698,89.32926,56.03139,89.99495,114.3413,50.68287,55.56847,31
1866-04-01,61.44602,64.85752,56.74294,43.4484,33.21803,48.95049,47.17663,70.63504,39.66149,55.17923,62.22023,52.73124,31.86125,40.97632,30
1866-05-01,41.85951,51.1492,45.49416,41.96767,38.79992,43.21627,43.51324,34.79029,47.70149,37.59714,52.66972,42.97865,34.75529,31.87675,31
1866-06-01,51.2416,54.20417,75.38048,62.23903,72.3297,70.13095,95.23965,51.81009,92.97838,69.48588,64.85169,115.43199,79.95748,74.96765,30
1866-07-01,96.84823,82.59812,105.0249,70.95397,80.19722,63.53236,40.32646,96.78201,117.97169,52.85917,50.93043,58.74041,52.33616,99.50409,31
1866-08-01,116.7249,129.02845,162.3778,121.23602,98.19866,65.21733,62.1517,87.96659,134.62342,72.54485,98.28146,129.99771,102.81365,89.47854,31
1866-09-01,120.14595,147.2588,198.94464,117.52577,111.45422,81.81695,99.59498,121.63273,200.08908,141.71654,207.28099,255.63973,152.38742,127.45511,30
1866-10-01,78.85764,110.71523,106.0061,66.30487,55.62763,30.04783,50.11243,44.52349,77.33675,48.23045,65.80057,82.39301,62.14906,61.10496,31
1866-11-01,95.93901,178.61591,167.82363,135.09052,66.70603,60.30733,39.7838,84.54561,165.78703,47.41847,70.34238,125.9514,61.20911,101.29348,30
1866-12-01,127.9875,234.94276,206.28148,134.79281,53.73192,59.12207,55.89223,91.16131,153.41161,58.5063,102.56966,129.70791,49.54427,91.05898,31
1867-01-01,124.66753,149.7921,126.8272,143.31765,77.01718,77.76963,67.05846,91.66041,113.02435,92.40814,147.17581,184.68047,89.79488,87.89639,31
1867-02-01,75.26965,132.97644,127.12713,94.75463,39.66638,34.23841,36.88433,46.19087,103.08036,49.33394,79.92657,112.68097,49.68328,58.9949,28
1867-03-01,66.17289,61.41067,59.47385,65.37471,54.65797,45.37891,57.17665,48.12334,53.64331,73.95052,129.48318,117.95111,82.82514,52.32931,31
1867-04-01,118.54659,163.7865,182.05536,127.53172,73.20132,62.41989,53.74987,88.59877,132.65069,55.69356,85.80225,160.97347,71.79149,99.68998,30
1867-05-01,84.52205,63.12248,80.03726,94.457,63.83876,73.1947,57.31032,63.23821,55.5432,56.78485,91.1939,94.05378,60.14971,49.19572,31
1867-06-01,54.06659,89.35235,72.29272,39.6424,44.37676,23.83014,31.81651,43.08622,48.11524,38.93326,43.34102,27.79745,38.41765,50.50842,30
1867-07-01,155.12458,88.47016,144.08566,173.52532,66.81167,91.93628,103.57833,110.24244,114.28195,107.25959,113.00019,130.08847,73.76494,86.60563,31
1867-08-01,87.90484,90.76673,117.90844,78.13937,67.94802,47.95998,59.88049,67.84373,87.64352,55.91947,51.55674,66.08101,56.76605,78.82397,31
1867-09-01,78.03452,114.17842,128.00252,52.4359,56.63048,59.02256,58.41199,60.71388,104.31595,53.89989,59.59095,90.05637,56.18623,67.29301,30
1867-10-01,94.76696,190.01739,166.93183,172.36608,64.09855,54.67545,48.25031,42.73562,115.97167,76.10068,126.74942,185.60777,82.36132,61.87963,31
1867-11-01,23.50186,62.0999,43.03734,40.09808,21.38306,21.9624,20.70499,22.99829,37.57962,24.34205,37.7808,36.93493,28.24123,34.78716,30
1867-12-01,69.63102,159.74569,115.17806,71.75588,56.61623,62.28379,41.38246,58.62971,101.71085,49.17952,62.86336,104.7941,50.3679,61.70912,31
1868-01-01,148.48995,293.69667,197.7505,126.9487,57.144,66.11738,93.41572,100.33322,110.68941,107.70129,146.2695,175.54544,65.65614,83.02001,31
1868-02-01,117.79439,307.13933,215.07709,96.56261,45.72663,34.88424,30.41281,61.93253,90.87078,34.52658,51.65764,102.34474,53.33256,50.29304,29
1868-03-01,99.24622,170.95226,191.23406,125.6391,48.62159,43.77654,32.46905,73.20839,152.9472,47.43315,66.99602,138.51532,53.1768,66.75898,31
1868-04-01,107.70099,101.11025,110.61578,66.2574,42.93066,40.71685,41.36806,87.69336,69.39468,55.84851,71.22856,71.88324,45.40159,61.30211,30
1868-05-01,65.39394,88.87213,106.39555,58.41995,21.38062,18.55342,32.15964,43.23196,57.58696,31.46535,45.2032,59.38454,42.20914,35.43449,31
1868-06-01,28.55003,97.58303,46.10401,25.29359,11.22297,18.03451,14.99184,23.30545,24.56963,14.60938,20.39575,18.4038,8.28565,18.22173,30
1868-07-01,17.92445,35.33872,34.03232,25.7765,9.64323,9.74546,24.16115,13.40452,19.24739,35.14256,23.25481,37.59674,17.49721,13.9518,31
1868-08-01,164.53462,228.40378,195.89685,136.29805,77.54448,73.09388,68.07342,87.50672,116.93945,100.28357,137.80297,134.13796,105.1671,82.18571,31
1868-09-01,118.48027,89.64878,72.65519,52.74843,58.80227,51.54985,51.14904,90.65758,60.84181,84.77021,121.15337,105.56322,69.42504,82.54578,30
1868-10-01,91.29643,192.24258,171.37431,77.5711,72.85183,63.94181,61.56316,70.43587,135.6806,70.9641,106.76469,130.50011,60.28662,92.97437,31
1868-11-01,74.65656,110.81101,114.19284,129.19776,37.67902,38.34196,26.65848,64.2768,82.12517,44.12477,85.03337,87.53596,42.46893,64.78353,30
1868-12-01,187.99815,187.18767,243.20429,163.72606,151.39213,112.80879,136.74135,142.95494,211.53599,163.86475,199.37803,308.92312,160.52208,188.0051,31
1869-01-01,144.62438,177.65966,188.07428,102.25093,72.42881,55.50763,69.88142,91.27814,131.32774,92.93576,145.06171,200.853,98.83732,88.7882,31
1869-02-01,100.36006,213.98811,187.61987,146.1001,56.63595,56.20905,62.52085,82.99769,120.75761,73.29303,95.29644,162.32538,68.39454,83.30269,28
1869-03-01,39.79064,80.33751,41.94069,64.99442,56.59402,56.4769,42.49496,39.54085,37.60662,54.29517,55.19576,64.21756,42.28882,48.9178,31
1869-04-01,57.7283,97.30064,69.97703,83.18307,51.96753,37.44781,35.692,44.38304,71.24255,35.72317,34.88221,87.33197,42.5193,54.021,30
1869-05-01,40.23279,50.4107,37.03365,69.91393,114.15987,79.30699,81.81325,67.69817,73.46967,98.16061,153.16997,137.01459,123.05378,107.99505,31
1869-06-01,66.76855,69.91678,55.7634,41.30252,36.76282,33.5088,26.23056,34.98384,40.22678,34.67836,25.02201,25.24872,29.59176,32.35743,30
1869-07-01,37.81926,68.90008,76.98099,63.44159,16.25154,13.20498,17.54845,18.23844,46.4163,17.02777,20.10085,37.30543,19.44635,21.32687,31
1869-08-01,33.63399,67.84002,40.24739,52.94521,38.68499,41.47243,31.80642,46.41629,61.21666,33.79065,25.38509,63.87632,37.72994,50.47853,31
