period-start,uk,england,wales,scotland,northern ireland,england and wales,england n,england s
01/01/1960,277.29376,293.36211,297.01327,242.91107,289.05269,293.86056,276.68579,302.18419
01/01/1961,296.55427,308.94662,305.69346,273.88657,293.55459,308.50251,296.02757,315.78104
01/01/1962,249.4367,263.84279,277.81763,212.20153,280.22296,265.75059,229.84617,281.82763
01/01/1963,256.78993,267.7585,267.8978,233.60741,267.34692,267.77752,258.78918,272.50343
01/01/1964,269.64178,281.69308,292.61489,237.49651,301.73277,283.18409,261.41354,292.42132
01/01/1965,275.65303,294.17317,301.54896,235.41212,288.51566,295.18009,264.19504,310.03216
01/01/1966,279.1013,299.55948,297.6797,237.02322,295.09088,299.30285,277.26087,311.35585
01/01/1967,292.89941,302.89442,302.77781,270.26969,310.93802,302.8785,285.19589,312.25726
01/01/1968,289.04121,315.61491,308.40456,231.82412,331.19281,314.63058,297.5312,325.18153
01/01/1969,269.29782,289.44516,301.92795,223.70766,287.17964,291.14927,261.59508,304.17836
01/01/1970,272.86243,304.81529,299.82006,213.60222,264.22062,304.13336,252.98723,332.23329
01/01/1971,279.98657,283.50132,284.14877,264.10066,328.75428,283.58971,247.35409,302.62387
01/01/1972,268.05959,282.54546,286.76546,244.14086,236.34268,283.12156,253.0076,298.17152
01/01/1973,275.08774,289.34916,304.20736,236.05617,316.40941,291.37755,275.00087,296.93967
01/01/1974,296.28442,320.38357,304.37665,251.50974,308.01412,318.19836,273.36076,345.2595
01/01/1975,308.88794,329.62367,335.60827,262.85734,331.71857,330.44067,320.31303,334.54916
01/01/1976,304.91009,316.72733,324.70128,278.03141,314.89097,317.81591,299.77688,325.69443
01/01/1977,266.35213,283.87727,285.73303,232.60716,262.01288,284.13062,260.09091,296.4607
01/01/1978,262.63142,275.7311,280.17615,235.08098,268.15806,276.33792,264.94772,281.4357
01/01/1979,221.19727,232.01855,231.60798,200.53677,218.77799,231.9625,217.65566,239.61678
01/01/1980,259.05852,271.09088,271.28992,231.59847,281.0761,271.11805,263.56471,275.07236
01/01/1981,280.36973,292.84523,290.12923,252.66894,303.37334,292.47445,286.09922,296.41399
01/01/1982,272.00848,283.37614,280.51993,246.41466,295.2586,282.98622,266.01571,292.56013
01/01/1983,312.92448,330.22641,321.26322,276.90573,339.45368,329.00279,304.58586,343.79074
01/01/1984,264.80934,278.94961,271.00282,240.1517,260.45712,277.86474,248.31541,295.15567
01/01/1985,260.43815,270.22191,289.26901,230.89886,290.58978,272.82216,256.58848,277.43425
01/01/1986,266.66946,299.35073,294.68242,207.58786,248.63867,298.71343,251.40879,324.7129
01/01/1987,261.2022,281.79823,264.32925,227.74767,250.55305,279.41343,255.12175,295.91058
01/01/1988,269.13933,287.60116,264.64328,240.4554,261.32255,284.46703,247.02222,309.06817
01/01/1989,304.37109,313.61415,317.65271,282.41258,319.77879,314.16548,304.65788,318.35218
01/01/1990,291.75321,310.33059,305.08343,257.54121,288.30353,309.61426,294.05939,318.93836
01/01/1991,268.86352,287.20622,278.70644,236.86853,260.86931,286.04586,261.25467,300.93506
01/01/1992,292.09947,326.07208,327.14275,227.14026,284.64737,326.21824,283.92377,348.36931
01/01/1993,281.66504,299.14135,289.51463,250.08688,281.69428,297.82714,272.443,313.26527
01/01/1994,296.68626,324.59003,323.17328,242.05647,300.73357,324.39662,302.89192,336.06873
01/01/1995,288.19872,304.02326,310.30154,248.67464,327.45288,304.88035,284.27276,314.47164
01/01/1996,303.1275,312.4226,307.39824,283.51791,319.19296,311.73669,301.62051,318.1371
01/01/1997,290.29775,295.41191,300.08892,267.79859,353.71425,296.0504,296.99705,294.57334
01/01/1998,304.6765,314.91897,325.38229,276.56957,334.17481,316.34738,307.87823,318.64365
01/01/1999,312.07744,335.36871,318.11387,269.68277,321.48749,333.01314,314.76839,346.26665
01/01/2000,309.92662,326.7047,332.18203,272.96162,325.8306,327.45245,306.80925,337.22976
01/01/2001,270.50868,287.89472,283.48347,238.22191,268.99619,287.29251,260.97725,302.13456
01/01/2002,300.56249,320.47408,322.28763,256.77732,326.21725,320.72166,312.70772,324.58262
01/01/2003,302.45142,321.03803,311.27416,268.70151,302.76621,319.7051,300.02391,332.15489
01/01/2004,326.54717,343.71082,346.70897,288.76014,346.67986,344.12012,334.27382,348.70316
01/01/2005,304.08198,314.89912,308.81651,282.80434,313.36529,314.06874,305.97716,319.619
01/01/2006,300.85771,324.28163,322.55805,256.25817,297.70964,324.04634,300.90667,336.64742
01/01/2007,331.02129,340.47219,332.1126,311.70464,348.6762,339.33097,333.85632,343.97211
01/01/2008,288.59342,313.64218,301.48425,241.74848,296.56359,311.98242,295.88381,323.03668
01/01/2009,282.60886,294.52193,292.48887,256.88845,299.99129,294.24438,283.65006,300.27334
01/01/2010,246.08245,254.96606,249.7148,224.60775,278.07413,254.24918,246.23445,259.58525
01/01/2011,308.61094,329.54007,334.89338,264.96616,317.35731,330.27089,308.07931,340.89321
