period-start,uk,england,wales,scotland,northern ireland,england and wales,england n,england s
01/01/1960,1.90803,2.21364,2.07813,1.35537,1.94468,2.19514,1.59043,2.54332
01/01/1961,1.15067,0.84959,0.65733,1.68749,1.69077,0.82335,1.03492,0.75155
01/01/1962,1.80279,1.23246,1.61615,2.72558,2.30177,1.28484,1.56799,1.05496
01/01/1963,0.9492,0.76715,0.63822,1.12165,2.15981,0.74955,1.00909,0.63916
01/01/1964,1.2152,1.07941,1.35643,1.36435,1.45083,1.11723,1.64646,0.77943
01/01/1965,1.43125,1.27144,2.0124,1.58999,1.20628,1.37259,1.28653,1.26346
01/01/1966,1.79364,1.47275,1.37456,2.46186,1.65586,1.45934,1.66286,1.37217
01/01/1967,1.84005,1.812,2.85356,1.608,1.97029,1.95419,2.8078,1.2852
01/01/1968,2.09569,2.06752,2.01172,1.95271,3.26021,2.0599,2.47822,1.85025
01/01/1969,1.58338,1.83604,2.20644,1.07362,1.13559,1.88661,1.5448,1.99012
01/01/1970,1.34085,0.95876,1.11635,2.00943,1.54669,0.98027,0.85301,1.0147
01/01/1971,1.80951,1.70056,2.37908,1.64251,2.91051,1.79319,1.83542,1.62921
01/01/1972,0.89215,0.94073,1.54308,0.68154,0.64203,1.02296,0.87361,0.97624
01/01/1973,1.72753,1.74807,2.24251,1.56673,1.70862,1.81557,1.60339,1.82461
01/01/1974,1.13082,1.15822,1.26707,1.17439,0.43985,1.17308,0.49503,1.50905
01/01/1975,1.18649,1.17288,1.02037,1.35489,0.58642,1.15206,1.26434,1.1245
01/01/1976,1.67303,1.62324,1.52402,1.61911,2.59505,1.60969,1.7817,1.53941
01/01/1977,1.4155,1.11585,1.87276,1.85349,1.03044,1.21918,0.81047,1.2774
01/01/1978,1.46425,1.27962,0.50919,1.83735,2.4329,1.17444,1.48464,1.17116
01/01/1979,1.57956,1.53811,2.06257,1.52351,1.58664,1.60971,1.48581,1.56577
01/01/1980,1.75189,1.64093,1.91827,1.94134,1.48127,1.67879,1.91182,1.49763
01/01/1981,2.39338,1.8523,3.08046,2.98642,3.14247,2.01997,2.13748,1.70144
01/01/1982,1.82373,1.52994,1.99791,2.40253,1.02349,1.59383,1.76375,1.40626
01/01/1983,1.40278,1.13982,2.13361,1.76227,0.7665,1.27549,1.64198,0.87417
01/01/1984,1.46924,1.04762,0.99903,2.35068,1.18484,1.04099,1.32559,0.90057
01/01/1985,1.70934,1.23456,1.48075,2.40056,2.67986,1.26817,1.35527,1.1707
01/01/1986,1.83358,1.68404,2.46368,1.74333,2.84114,1.79047,1.72116,1.6644
01/01/1987,1.4632,1.32614,1.70123,1.50102,2.14664,1.37735,1.13201,1.42884
01/01/1988,1.17591,0.82542,0.76011,1.69563,2.17906,0.8165,0.94481,0.76226
01/01/1989,1.75644,1.22968,1.90913,2.68254,1.28779,1.32243,0.84535,1.433
01/01/1990,1.82646,0.79696,1.736,3.45168,2.55232,0.92515,1.15674,0.60662
01/01/1991,1.77173,1.28692,1.74558,2.48156,2.41526,1.34954,1.04155,1.41673
01/01/1992,2.15994,1.85059,1.91618,2.75634,2.14137,1.85955,1.47015,2.05185
01/01/1993,1.94581,1.81022,1.45532,2.31395,1.89814,1.76177,1.99811,1.71083
01/01/1994,1.20892,1.04219,1.49538,1.5022,0.69552,1.10406,0.89698,1.11901
01/01/1995,1.6292,1.0484,0.95036,2.71013,2.00739,1.03502,1.24972,0.9419
01/01/1996,0.99542,0.73646,0.64955,1.41796,1.53051,0.7246,0.97536,0.61008
01/01/1997,1.68234,1.09636,1.31194,2.74296,1.81648,1.12579,1.26149,1.009
01/01/1998,2.18668,1.52634,3.08401,3.21886,1.29358,1.73899,1.76186,1.40174
01/01/1999,2.35399,1.75396,2.37481,3.09005,3.8947,1.83871,1.78176,1.73925
01/01/2000,2.91519,3.0445,3.26109,2.77036,2.01939,3.07407,3.13623,2.99597
01/01/2001,1.23123,1.14914,1.4347,1.44296,0.48785,1.18812,0.84602,1.30949
01/01/2002,2.65126,2.4039,2.82152,2.79089,3.91329,2.46092,2.9399,2.12035
01/01/2003,0.81386,0.69954,1.16312,0.87648,1.05342,0.76283,0.71356,0.69213
01/01/2004,2.08779,1.69053,2.40558,2.77295,1.48566,1.78814,2.17893,1.43215
01/01/2005,2.0572,1.16397,1.94312,3.462,2.67884,1.27034,1.56473,0.95197
01/01/2006,1.8021,0.96753,1.10978,3.23472,2.63259,0.98695,0.91884,0.99329
01/01/2007,2.17587,2.34762,1.64814,2.191,1.29994,2.25213,2.27675,2.3851
01/01/2008,2.40393,2.15197,3.17445,2.59569,2.57303,2.29155,2.74451,1.8385
01/01/2009,1.81016,1.25142,1.62529,2.71723,2.23182,1.30246,1.70023,1.014
01/01/2010,1.35545,1.01353,1.19861,1.50212,4.02444,1.0388,0.66388,1.1985
01/01/2011,1.53369,0.57509,0.63142,3.03008,3.50285,0.58278,0.98094,0.36039
01/01/2012,2.53765,2.47149,1.8221,2.87609,2.20774,2.38283,2.82222,2.28594
01/01/2013,1.65954,1.64007,1.74708,1.70578,1.31099,1.65468,1.29639,1.82188
01/01/2014,1.93056,1.12495,0.94608,3.26828,3.47095,1.10054,0.8487,1.2711
01/01/2015,2.01288,1.28315,1.18796,3.12232,3.86221,1.27016,2.1046,0.8486
01/01/2016,1.60835,1.42899,1.13672,2.25097,0.37231,1.38909,1.14803,1.57763
01/01/2017,1.20674,1.25556,0.85764,1.12699,1.70555,1.20124,1.54889,1.10038
01/01/2018,1.31967,0.89522,2.35706,1.68694,1.68828,1.09479,1.2079,0.72981
01/01/2019,2.1171,1.98827,2.40884,2.19537,2.47571,2.04568,2.65017,1.63811
01/01/2020,3.09439,2.74049,3.4541,3.73318,2.37538,2.83791,2.70581,2.75884
