period-start,uk,england,wales,scotland,northern ireland,england and wales,england n,england s
01/01/1960,245.30572,246.21175,380.72076,208.163,239.2248,264.57447,225.39447,257.22448
01/01/1961,183.17672,126.81211,180.05546,271.55738,218.03426,134.08071,154.54452,112.14116
01/01/1962,213.80809,134.27744,239.02687,338.51209,224.40089,148.57748,177.25156,111.54334
01/01/1963,153.56593,118.46114,153.65512,195.22762,247.15272,123.26571,150.34106,101.59608
01/01/1964,159.50428,110.03796,203.14761,226.27412,181.40519,122.74897,152.35936,87.64917
01/01/1965,215.78804,172.81327,354.23971,250.77914,216.76475,197.58099,211.86148,152.15604
01/01/1966,231.86826,180.11065,241.99523,309.71516,261.56164,188.55892,224.30723,156.72985
01/01/1967,241.29425,206.73805,368.50906,274.93707,188.20918,228.82248,270.82854,172.833
01/01/1968,244.09046,220.18848,316.5841,258.55156,272.94364,233.34808,259.68546,199.29385
01/01/1969,193.10066,187.82439,287.94417,184.36889,150.39633,201.4924,199.51644,181.63907
01/01/1970,194.24088,128.576,230.51367,291.84881,207.5991,142.49219,139.4903,122.80214
01/01/1971,198.20838,174.66246,270.5119,217.21247,200.85206,187.74749,177.58157,173.11819
01/01/1972,156.32487,128.86715,283.80585,165.17005,172.38471,150.01886,142.02796,121.90484
01/01/1973,194.63601,153.10096,265.44122,246.35284,187.94821,168.43727,167.07628,145.70776
01/01/1974,194.74611,164.42615,278.19938,230.1515,156.64499,179.95808,121.66292,187.04868
01/01/1975,161.64312,133.6259,181.31855,213.44919,99.3002,140.13674,139.82372,130.34714
01/01/1976,197.08105,164.55992,203.0428,240.65538,244.31948,169.81347,175.9777,158.5197
01/01/1977,212.64717,165.58828,273.12052,281.69235,169.31337,180.26822,172.35982,162.00602
01/01/1978,198.28386,147.99084,191.43415,273.68089,251.96695,153.92157,194.35898,123.46124
01/01/1979,223.98094,177.66192,302.76751,283.53071,208.3004,194.74091,188.32101,172.02306
01/01/1980,235.74187,189.21185,313.00121,304.08688,170.60443,206.11115,244.31492,160.06132
01/01/1981,277.86305,209.41489,396.99166,359.28776,284.43823,235.02223,251.26591,187.27494
01/01/1982,270.89375,194.42851,387.43288,378.78303,203.40525,220.77681,221.92749,179.88105
01/01/1983,210.22021,151.11297,318.11652,299.36363,102.34558,173.91172,201.42885,124.49494
01/01/1984,227.61315,160.26813,258.63374,339.70249,185.26243,173.69667,183.72766,147.8576
01/01/1985,222.25503,150.79372,269.72997,327.84319,227.56398,167.03049,183.65896,133.40741
01/01/1986,262.84973,194.68094,379.36483,346.10252,263.62457,219.89335,235.52473,173.07382
01/01/1987,224.73355,185.37477,291.24646,270.33419,234.92172,199.82801,216.48046,168.91929
01/01/1988,206.27727,137.2065,251.49925,296.90013,277.29148,152.80935,166.41372,121.75534
01/01/1989,239.53107,169.30001,332.70251,346.88478,158.65976,191.60716,150.31786,179.34192
01/01/1990,265.30389,125.66435,281.59447,497.36124,253.03745,146.9514,158.70466,108.18542
01/01/1991,237.46549,155.20263,305.41101,358.44325,230.83648,175.70857,183.06269,140.46415
01/01/1992,269.33383,192.29179,320.83902,393.26054,223.38328,209.84062,191.32147,192.80511
01/01/1993,268.48327,218.04418,285.46088,350.26923,257.2098,227.24768,241.01465,205.89238
01/01/1994,208.66914,152.21616,305.58636,287.50327,152.70996,173.15374,161.74055,147.17758
01/01/1995,233.91975,154.10241,225.50759,363.48702,267.962,163.8504,159.05826,151.48067
01/01/1996,169.81344,114.52686,183.17911,248.7362,223.90017,123.89903,123.58499,109.73494
01/01/1997,225.5307,148.11054,249.6241,352.02861,207.76927,161.96883,169.04833,137.03407
01/01/1998,286.08467,194.58675,406.4698,419.2352,220.71728,223.5123,224.85212,178.57581
01/01/1999,299.83287,204.22337,367.89688,443.40433,295.58369,226.56752,229.4406,190.88299
01/01/2000,347.63723,310.80747,465.70263,397.04967,239.59781,331.95323,338.45657,296.18059
01/01/2001,184.85658,146.14957,260.82409,244.08085,99.99855,161.80455,148.05891,145.1395
01/01/2002,300.11325,244.34648,400.90538,355.0821,360.35484,265.71936,284.45002,223.13096
01/01/2003,139.58199,110.79074,180.31464,172.69161,165.71058,120.28191,113.9497,109.11959
01/01/2004,274.63046,195.6822,374.95899,388.67098,226.62565,220.15646,243.18793,170.55079
01/01/2005,249.96905,145.32295,285.73152,415.24747,248.68326,164.49105,185.51398,124.06116
01/01/2006,254.29034,150.08598,268.88728,431.98491,212.25443,166.30433,181.84783,133.28337
01/01/2007,266.2013,230.65656,312.76082,324.89412,202.66045,241.86516,248.39565,221.27226
01/01/2008,313.55038,241.1103,418.76965,411.76532,285.16742,265.36375,292.96235,213.67961
01/01/2009,255.05327,172.11529,298.06371,378.10918,276.19337,189.30934,211.24245,151.4163
01/01/2010,178.05858,125.22871,188.70303,239.92392,308.61771,133.89401,141.77702,116.47435
01/01/2011,223.45603,97.41418,144.62959,445.66231,278.94206,103.85986,142.18932,73.7273
01/01/2012,325.58996,300.44532,339.74235,376.11024,249.29221,305.81001,373.50466,261.79558
01/01/2013,231.06101,176.25354,282.6854,307.19707,235.05779,190.78326,179.1688,174.71131
01/01/2014,268.72654,169.69518,226.97952,435.09375,322.18935,177.51545,148.82379,180.73654
01/01/2015,278.61035,166.24039,246.03255,466.96799,322.03833,177.13335,274.36507,109.04045
01/01/2016,213.78308,164.37312,227.45083,306.7239,133.1871,172.98428,153.8897,169.91904
01/01/2017,183.13472,155.78554,196.85988,215.99119,229.54631,161.39287,195.98666,134.51841
01/01/2018,194.63444,136.49897,281.29306,263.62915,221.28035,156.26577,153.1573,127.68641
01/01/2019,281.64749,234.39758,355.26261,341.67973,277.92367,250.89766,305.68817,196.68355
01/01/2020,341.64307,256.82798,441.8679,466.21207,293.42481,282.089,309.2217,229.11075
