period-start,uk,england,wales,scotland,northern ireland,england and wales,england n,england s
01/01/1960,15.83646,14.45203,13.31097,19.05466,14.80192,14.29626,15.94339,13.66307
01/02/1960,16.5941,14.25843,15.87267,20.2333,19.21162,14.4788,17.09969,12.75535
01/03/1960,5.42838,3.49991,4.59826,9.32285,2.98829,3.64985,4.6703,2.88075
01/04/1960,2.71934,2.72965,2.368,3.04959,1.37026,2.68028,2.69445,2.74827
01/05/1960,0.58278,0.18425,0.42386,1.38627,0.05861,0.21696,0.4011,0.06953
01/06/1960,0.00283,0.00036,0,0.0082,0,0.00031,0.00104,0
01/07/1960,0.00865,0.00148,0,0.02448,0,0.00128,0.00287,0.00075
01/08/1960,0.01884,0.00022,0,0.05837,0,0.00019,0,0.00033
01/09/1960,0.29162,0.00489,0.00914,0.8982,0,0.00547,0.01204,0.0011
01/10/1960,0.66205,0.77615,0.7164,0.55706,0.11942,0.76799,0.64129,0.84749
01/11/1960,5.22782,3.50698,4.06053,8.78659,3.27104,3.58255,4.22381,3.12776
01/12/1960,14.37192,12.00495,12.95328,18.52212,15.65557,12.13441,14.92197,10.46179
01/01/1961,14.52266,12.68866,12.99329,18.57516,11.52042,12.73025,15.88363,10.99846
01/02/1961,3.76736,1.61387,1.57896,8.07445,3.10449,1.6091,3.66386,0.52938
01/03/1961,4.20279,4.77642,4.47977,3.80805,0.74001,4.73592,2.88578,5.7766
01/04/1961,2.49019,0.82972,0.68427,5.58502,3.452,0.80986,2.06045,0.17864
01/05/1961,1.16094,0.62866,1.04385,2.27254,0.11335,0.68534,0.46229,0.71668
01/06/1961,0.14516,0.00377,0.00899,0.44326,0.00249,0.00449,0.00247,0.00447
01/07/1961,0.01143,0.0005,0,0.0348,0,0.00043,0,0.00076
01/08/1961,0.00956,0.00105,0,0.02803,0,0.0009,0.00302,0
01/09/1961,0.00483,0.00041,0.02737,0.00714,0,0.00409,0.00089,0.00015
01/10/1961,0.65583,0.71797,0.44098,0.72709,0.00761,0.68015,0.10213,1.04376
01/11/1961,7.62385,6.39839,3.8223,11.17429,5.06644,6.04671,6.67512,6.252
01/12/1961,19.68321,19.11913,18.41881,21.10135,19.07603,19.02352,21.3967,17.91425
01/01/1962,10.48408,8.8821,7.065,13.8678,11.80104,8.63404,9.96208,8.31078
01/02/1962,11.41909,10.5865,9.21708,14.20823,7.03725,10.39955,10.40754,10.68117
01/03/1962,20.89179,21.0885,22.20192,20.68492,18.4741,21.2405,22.13403,20.5354
01/04/1962,5.55106,2.64774,3.11542,10.9161,6.45024,2.71159,4.56033,1.63595
01/05/1962,1.06104,0.93226,0.56778,1.55448,0.2586,0.8825,0.47522,1.17404
01/06/1962,0.52763,0.63668,0.24645,0.43883,0.43963,0.58341,0.55951,0.67751
01/07/1962,0.01937,0.00094,0,0.05879,0,0.00081,0.00269,0.00001
01/08/1962,0.0463,0.00173,0,0.14121,0.0011,0.00149,0.00498,0.00001
01/09/1962,0.07455,0.0115,0.11771,0.18203,0,0.026,0.01326,0.01057
01/10/1962,1.62754,1.3382,0.92211,2.51332,0.42097,1.2814,1.94117,1.01922
01/11/1962,9.3877,9.02869,7.61703,11.30089,4.78516,8.83597,9.68639,8.68075
01/12/1962,18.0486,20.24987,16.41934,16.32178,9.77528,19.72694,21.28013,19.70484
01/01/1963,27.43773,28.33632,28.83484,25.67799,27.039,28.40438,26.90704,29.09244
01/02/1963,26.10206,26.71015,26.31452,25.65371,22.6732,26.65614,27.73367,26.16869
01/03/1963,8.68248,8.02246,7.25408,10.19488,8.65886,7.91756,9.19006,7.40478
01/04/1963,3.32366,1.72149,1.38346,6.64996,2.64767,1.67534,2.24656,1.44371
01/05/1963,0.78176,0.15003,0.23512,2.09332,0.17262,0.16165,0.24003,0.10242
01/06/1963,0.00711,0,0,0.02216,0,0,0,0
01/07/1963,0.00423,0,0,0.0132,0,0,0,0
01/08/1963,0.0082,0.00011,0,0.02536,0,0.00009,0.00031,0
01/09/1963,0.1091,0.00487,0,0.32057,0.06447,0.0042,0.0126,0.00078
01/10/1963,0.30749,0.01819,0.00005,0.9232,0.02664,0.01571,0.0505,0.00109
01/11/1963,5.09327,2.62684,1.73303,10.00291,5.71886,2.50482,4.11337,1.84044
01/12/1963,15.02651,15.38735,16.1284,14.8329,11.35065,15.48851,13.06463,16.61611
01/01/1964,11.60499,12.97291,11.56816,10.70532,4.1421,12.78114,13.269,12.81628
01/02/1964,10.83454,10.27035,10.67799,12.0287,9.79731,10.326,11.64977,9.54061
01/03/1964,11.07119,10.42809,11.92503,12.55317,7.7313,10.63244,11.8104,9.69682
01/04/1964,2.97649,2.20473,3.96091,4.12429,2.39785,2.44448,1.98663,2.32011
01/05/1964,0.01791,0.00327,0.00705,0.04846,0.00015,0.00378,0.00122,0.00435
01/06/1964,0.3286,0.00233,0.00156,1.0197,0.00022,0.00222,0.00673,0
01/07/1964,0.00849,0,0.00015,0.02642,0,0.00002,0,0
01/08/1964,0.07826,0.0042,0.00433,0.22978,0.03395,0.00422,0.00731,0.00256
01/09/1964,0.28431,0.11764,0.00024,0.68937,0.0008,0.10161,0.3167,0.01233
01/10/1964,2.7419,2.36464,1.7272,3.92076,1.2474,2.27762,2.63418,2.22205
01/11/1964,5.70345,4.51132,4.77825,8.01705,5.44636,4.54776,5.89252,3.78064
01/12/1964,16.66248,16.56805,14.7552,18.3054,11.4591,16.32057,17.36247,16.1478
01/01/1965,16.73566,15.51015,13.92075,19.69983,15.9457,15.29317,16.56971,14.94963
01/02/1965,13.63736,13.31858,14.20425,14.408,11.59952,13.43949,12.10469,13.96076
01/03/1965,13.89103,12.6159,11.36294,17.63919,8.7144,12.44485,14.87736,11.41955
01/04/1965,4.53516,2.92093,4.12189,7.89517,1.47702,3.08488,4.05508,2.32095
01/05/1965,1.36091,0.8115,1.2887,2.2417,1.7324,0.87665,1.36027,0.52119
01/06/1965,0.03389,0.00107,0.00331,0.10295,0,0.00137,0.00029,0.00148
01/07/1965,0.02993,0.005,0.01138,0.08193,0,0.00587,0.0128,0.00087
01/08/1965,0.02567,0.0004,0.0001,0.0793,0,0.00036,0.00116,0
01/09/1965,0.03743,0.00166,0.01429,0.10567,0.02517,0.00339,0.00449,0.00016
01/10/1965,0.73454,0.27305,0.01677,1.76681,0.3527,0.23807,0.12193,0.353
01/11/1965,14.03298,13.39324,11.89182,16.08908,11.93824,13.18827,15.81356,12.11284
01/12/1965,12.03317,9.48687,7.40757,18.03639,9.28721,9.20302,11.7919,8.26748
01/01/1966,16.06047,15.55693,13.86853,18.0729,12.90758,15.32644,16.36887,15.1274
01/02/1966,9.74312,7.23005,7.04074,15.35086,5.93327,7.20421,11.06767,5.19988
01/03/1966,6.67482,5.68245,4.4911,9.44178,3.83624,5.51981,6.15303,5.4335
01/04/1966,7.2068,3.9851,5.59899,13.17547,6.38248,4.20543,6.65209,2.57422
01/05/1966,0.62751,0.13177,0.05329,1.72062,0.00549,0.12106,0.34945,0.01662
01/06/1966,0.00146,0.0007,0,0.00338,0,0.0006,0.00033,0.00089
01/07/1966,0.01704,0.00012,0,0.0529,0,0.0001,0.00033,0
01/08/1966,0.04629,0.00003,0.00083,0.14385,0.0008,0.00014,0.00009,0
01/09/1966,0.00177,0.00121,0.00107,0.00321,0,0.00119,0.0034,0.00006
01/10/1966,1.8532,0.96639,1.52941,3.48193,1.57149,1.04326,1.46762,0.70124
01/11/1966,8.24816,5.95968,4.64265,13.0364,8.46246,5.77988,6.82744,5.50061
01/12/1966,9.20366,7.10194,3.27898,14.97117,5.51142,6.58004,9.37975,5.89694
01/01/1967,10.98814,10.74871,8.55032,12.62355,7.85658,10.44859,11.59754,10.29966
01/02/1967,8.14206,7.99656,7.34986,9.00936,5.9768,7.90827,7.30166,8.36417
01/03/1967,5.06919,2.5842,3.16433,9.87762,4.32292,2.6634,3.35234,2.17785
01/04/1967,4.5623,2.73081,2.3892,8.37651,3.65747,2.68418,3.21155,2.47649
01/05/1967,2.54221,1.76883,1.7924,4.06109,2.41746,1.77205,2.26633,1.50564
01/06/1967,0.01592,0.00437,0.01094,0.03936,0.00037,0.00527,0.00798,0.00247
01/07/1967,0.00058,0,0,0.00181,0,0,0,0
01/08/1967,0.02045,0,0.00015,0.06371,0,0.00002,0,0
01/09/1967,0.01536,0.00049,0.0035,0.04611,0,0.0009,0.0008,0.00033
01/10/1967,1.10342,0.11085,0.02728,3.21352,0.18828,0.09944,0.29693,0.01241
01/11/1967,7.96701,7.90456,8.03155,8.49788,5.69033,7.9219,10.15843,6.71223
01/12/1967,12.70636,12.79537,10.39853,13.80181,9.26635,12.46816,13.81138,12.25789
