period-start,uk,england,wales,scotland,northern ireland,england and wales,england n,england s
1884-01-01,7.30226,8.16962,7.92508,5.50682,8.23849,8.13624,7.19863,8.68329
1884-02-01,6.82238,7.60404,6.73972,5.367,7.7292,7.48604,6.53817,8.1679
1884-03-01,8.47799,9.55429,8.13643,6.71051,8.76773,9.36073,8.40201,10.16387
1884-04-01,10.09076,10.67702,9.67522,9.08961,10.80286,10.54026,9.86065,11.10889
1884-05-01,14.45715,15.89937,14.16409,12.18245,14.08606,15.66247,14.51835,16.62995
1884-06-01,17.1192,18.41923,16.92364,15.04043,16.79712,18.21506,17.30664,19.00781
1884-07-01,18.82154,20.26338,17.87787,16.79379,18.03188,19.93772,19.04332,20.90881
1884-08-01,20.19996,22.15891,19.77874,17.36279,18.30007,21.83397,20.59467,22.98642
1884-09-01,17.02574,18.39046,16.87498,14.85187,16.55221,18.18357,17.15917,19.04183
1884-10-01,11.75905,12.60842,11.77238,10.25415,12.15552,12.49428,11.47476,13.20815
1884-11-01,7.52591,8.15129,8.00226,6.18656,8.39004,8.13094,7.46714,8.51321
1884-12-01,5.78613,6.43563,6.37571,4.37677,6.65369,6.42745,5.38452,6.99168
1885-01-01,4.33674,4.58652,4.79333,3.41222,6.46784,4.61475,3.93218,4.93268
1885-02-01,7.28308,8.37527,7.70285,5.14336,8.36863,8.28347,7.06033,9.07089
1885-03-01,7.24104,8.01644,7.17974,5.81495,8.01295,7.90222,6.7179,8.7034
1885-04-01,10.77646,11.73906,10.40811,9.26353,10.77457,11.55736,10.44349,12.42443
1885-05-01,11.75003,12.80027,11.53099,10.01205,11.91688,12.62699,11.58184,13.44484
1885-06-01,17.04422,18.48308,17.03661,14.74478,16.4089,18.28561,17.05262,19.23981
1885-07-01,19.42351,21.01244,19.21386,16.88207,19.03618,20.7669,19.25194,21.94377
1885-08-01,16.79885,17.9571,17.27403,14.65922,17.17623,17.86385,16.07055,18.95512
1885-09-01,14.97872,16.29594,15.09454,12.78232,14.71156,16.13192,15.005,16.97886
1885-10-01,9.30901,10.28555,9.75945,7.44959,9.83561,10.21373,9.00201,10.96457
1885-11-01,7.48636,8.05035,7.62813,6.24817,8.88098,7.99271,7.13535,8.5344
1885-12-01,5.85737,6.05377,5.90012,5.27178,7.20073,6.03279,5.64635,6.2693
1886-01-01,3.74073,4.26849,4.12823,2.52125,4.99103,4.24934,3.34032,4.75951
1886-02-01,3.39772,3.41498,3.81711,2.82397,5.79054,3.46988,2.91694,3.67845
1886-03-01,6.08018,6.84387,5.87084,4.65333,7.21131,6.71104,5.72227,7.43722
1886-04-01,10.45217,11.33381,11.04027,8.75215,10.8002,11.29374,9.6954,12.20057
1886-05-01,13.11299,14.35552,13.84494,10.87157,12.91918,14.28582,12.30394,15.44084
1886-06-01,16.38339,17.53645,16.78428,14.39389,16.08448,17.43376,15.87634,18.41467
1886-07-01,18.70818,20.17268,18.73905,16.40729,17.79323,19.97696,18.46162,21.07786
1886-08-01,18.45598,20.08773,18.6455,15.76304,17.94605,19.89084,18.4655,20.94592
1886-09-01,15.9819,17.51418,16.06578,13.43949,15.68639,17.31645,15.82988,18.40521
1886-10-01,12.93211,13.97108,12.9306,11.19368,12.87847,13.82904,12.60204,14.69533
1886-11-01,8.59533,9.02525,8.85665,7.62247,9.58012,9.00223,8.0927,9.51859
1886-12-01,4.12665,4.87013,5.30197,2.41505,4.89828,4.92908,3.53047,5.57883
1887-01-01,4.84405,4.64543,5.26992,4.7353,6.6629,4.73068,4.03849,4.96651
1887-02-01,6.87004,7.08239,6.54254,6.32851,8.40625,7.00869,6.58914,7.34333
1887-03-01,6.74821,6.99966,6.42808,6.09728,8.50847,6.92163,6.21862,7.41284
1887-04-01,9.91452,10.69786,9.7613,8.44328,11.0288,10.57001,9.56893,11.29509
1887-05-01,12.97407,13.1484,12.42415,12.54629,14.55286,13.04953,11.98588,13.76339
1887-06-01,19.84982,20.63289,20.43585,18.10541,21.412,20.60599,19.45303,21.25705
1887-07-01,20.68474,22.58995,20.62041,17.68009,19.69971,22.32108,20.88726,23.49071
1887-08-01,19.07422,20.80377,19.55749,16.34965,17.3307,20.63363,18.87465,21.82431
1887-09-01,14.48367,15.35976,14.50766,12.93975,14.82438,15.24344,14.04576,16.05489
1887-10-01,10.02731,10.60384,10.36776,8.89673,10.38649,10.57161,9.39182,11.24502
1887-11-01,6.6094,7.06075,6.60376,5.71574,7.33328,6.99837,6.21604,7.50762
1887-12-01,4.93481,5.32652,5.57552,3.88851,6.11198,5.36051,4.47092,5.77915
1888-01-01,5.4937,5.5101,5.2062,5.16949,7.56932,5.46861,5.16504,5.69263
1888-02-01,3.71559,3.85107,3.48684,3.2194,5.53203,3.80134,3.51503,4.02884
1888-03-01,5.15671,5.79192,5.44736,3.80852,6.27907,5.74489,4.54063,6.45388
1888-04-01,8.99249,9.53591,8.84686,7.96663,9.83764,9.44184,8.56891,10.04747
1888-05-01,14.0747,15.17138,14.44851,12.07388,14.40925,15.0727,14.01981,15.78058
1888-06-01,16.28431,17.24986,16.59991,14.50747,16.6721,17.16113,15.63917,18.10194
1888-07-01,15.99667,16.95768,16.14485,14.31665,16.14611,16.84672,15.58871,17.68189
1888-08-01,16.86058,18.05789,16.95745,14.8114,16.93825,17.90766,16.61032,18.82368
1888-09-01,15.38396,16.34198,15.73132,13.72384,15.15111,16.25861,14.79834,17.15859
1888-10-01,11.44108,12.05223,11.89786,10.17422,12.10408,12.03116,10.92991,12.64596
1888-11-01,8.92766,9.77518,9.30856,7.24347,9.79207,9.71148,8.69748,10.34531
1888-12-01,7.12566,7.37925,7.53191,6.42749,8.00013,7.40009,6.54218,7.82208
1889-01-01,5.77902,5.4657,5.69548,6.04248,7.33139,5.49707,5.34256,5.53084
1889-02-01,5.17828,5.59115,5.52169,4.11419,6.71046,5.58166,4.80123,6.00902
1889-03-01,7.29774,7.94923,7.04491,6.02856,8.64554,7.82577,6.67593,8.62282
1889-04-01,9.35516,10.32513,9.39233,7.67516,9.57223,10.19779,9.015,11.01822
1889-05-01,15.8062,16.6143,15.29308,14.70731,15.14005,16.43393,15.77741,17.05703
