period-start,uk,england,wales,scotland,northern ireland,england and wales,england n,england s
1884-01-01,5.00563,5.70994,5.76802,3.50594,5.59309,5.71787,4.85566,6.16187
1884-02-01,4.15181,4.76453,4.31484,2.99173,4.60221,4.70314,3.86233,5.24181
1884-03-01,5.0943,5.77659,5.147,3.83402,5.63184,5.69064,4.93158,6.22361
1884-04-01,6.15853,6.50298,6.04698,5.50238,6.74623,6.44073,5.95152,6.79471
1884-05-01,9.66079,10.72153,9.68051,7.8851,9.59067,10.57942,9.72263,11.24998
1884-06-01,12.4779,13.39418,12.34966,10.97372,12.4634,13.25159,12.59727,13.81577
1884-07-01,14.50385,15.66278,14.26818,12.65748,14.28429,15.47239,14.70395,16.17002
1884-08-01,15.29886,16.55516,15.17503,13.37023,14.4787,16.36675,15.48866,17.11935
1884-09-01,12.97738,14.05054,13.33255,11.15292,12.53833,13.95252,12.98267,14.61545
1884-10-01,8.26918,8.76213,8.78968,7.21389,8.7274,8.76589,8.04069,9.14379
1884-11-01,4.62704,5.0916,5.3605,3.44939,5.71991,5.12831,4.5639,5.37077
1884-12-01,3.27842,3.91766,4.13527,1.87344,3.79818,3.94737,2.90467,4.45355
1885-01-01,1.99274,2.27883,2.63184,1.01327,3.7881,2.32702,1.75364,2.55666
1885-02-01,4.24219,5.28784,4.93417,2.20814,4.73653,5.23956,4.07865,5.92752
1885-03-01,3.54577,4.08058,3.73123,2.49853,4.07173,4.03289,3.19786,4.54755
1885-04-01,6.6485,7.22584,6.34614,5.72341,6.84595,7.10574,6.34757,7.69046
1885-05-01,7.59798,8.37719,7.51881,6.29179,7.67755,8.26001,7.45287,8.86617
1885-06-01,12.34106,13.50622,12.41879,10.47838,11.7085,13.35776,12.36114,14.11198
1885-07-01,14.46914,15.66213,14.43975,12.51246,14.24611,15.49526,14.47996,16.28752
1885-08-01,12.44496,13.44679,12.66208,10.62564,12.87997,13.33967,12.16637,14.12417
1885-09-01,10.90192,11.82906,11.15831,9.29738,10.75839,11.73749,10.71866,12.41648
1885-10-01,6.15448,7.02182,6.60233,4.49596,6.57352,6.96455,6.14019,7.48822
1885-11-01,4.8332,5.4301,5.26088,3.52546,5.85076,5.407,4.59263,5.87314
1885-12-01,3.03276,3.09518,3.008,2.68772,4.37531,3.08328,2.69821,3.30519
1886-01-01,1.13224,1.53481,1.41227,0.20697,2.0577,1.51808,0.79432,1.92655
1886-02-01,0.79429,0.84409,1.13339,0.24581,2.83492,0.88358,0.49879,1.02675
1886-03-01,2.92992,3.51102,2.72351,1.81835,3.97505,3.40351,2.62101,3.98185
1886-04-01,6.30155,7.11025,6.86405,4.77789,6.35175,7.07664,5.8832,7.75937
1886-05-01,8.819,9.86014,9.35014,6.96129,8.65227,9.79051,8.37919,10.64359
