period-start,uk,england,wales,scotland,northern ireland,england and wales,england n,england s
01/01/1960,0,0,0,0,0,0,0,0
01/02/1960,0,0,0,0,0,0,0,0
01/03/1960,0,0,0,0,0,0,0,0
01/04/1960,0,0,0,0,0,0,0,0
01/05/1960,0,0,0,0.00001,0,0,0,0
01/06/1960,0,0,0,0.00001,0,0,0,0
01/07/1960,0,0,0,0.00001,0,0,0,0
01/08/1960,0,0,0,0,0,0,0,0
01/09/1960,0.00003,0,0,0.0001,0,0,0,0
01/10/1960,0,0,0,0,0,0,0,0
01/11/1960,0.00003,0,0,0.00009,0,0,0,0
01/12/1960,0.00001,0,0,0.00003,0,0,0,0
01/01/1961,0,0,0,0,0,0,0,0
01/02/1961,0,0,0,0,0,0,0,0
01/03/1961,0,0,0,0,0,0,0,0
01/04/1961,0,0,0,0,0,0,0,0
01/05/1961,0,0,0,0,0,0,0,0
01/06/1961,0.00003,0,0,0.0001,0,0,0,0
01/07/1961,0.00006,0.00011,0,0,0,0.00009,0,0.00016
01/08/1961,0,0,0,0,0,0,0,0
01/09/1961,0,0,0,0,0,0,0,0
01/10/1961,0,0,0,0.00001,0,0,0,0
01/11/1961,0,0,0,0,0,0,0,0
01/12/1961,0,0,0,0,0,0,0,0
01/01/1962,0,0,0,0,0,0,0,0
01/02/1962,0,0,0,0,0,0,0,0
01/03/1962,0,0,0,0,0,0,0,0
01/04/1962,0,0,0,0,0,0,0,0
01/05/1962,0,0,0,0,0,0,0,0
01/06/1962,0,0,0,0,0,0,0,0
01/07/1962,0,0,0,0,0,0,0,0
01/08/1962,0,0,0,0,0,0,0,0
01/09/1962,0,0,0,0,0,0,0,0
01/10/1962,0.00003,0,0,0.00009,0,0,0,0
01/11/1962,0,0,0,0,0,0,0,0
01/12/1962,0,0,0,0.00001,0,0,0,0
01/01/1963,0,0,0,0,0,0,0,0
01/02/1963,0,0,0,0,0,0,0,0
01/03/1963,0,0,0,0,0,0,0,0
01/04/1963,0,0,0,0,0,0,0,0
01/05/1963,0,0,0,0,0,0,0,0
01/06/1963,0,0,0,0,0,0,0,0
01/07/1963,0.00002,0,0,0.00005,0,0,0,0
01/08/1963,0,0,0,0,0,0,0,0
01/09/1963,0.00004,0,0,0.00013,0,0,0,0
01/10/1963,0,0,0,0,0,0,0,0
01/11/1963,0,0,0,0,0,0,0,0
01/12/1963,0,0,0,0,0,0,0,0
01/01/1964,0,0,0,0,0,0,0,0
01/02/1964,0,0,0,0,0,0,0,0
01/03/1964,0,0,0,0,0,0,0,0
01/04/1964,0,0,0,0,0,0,0,0
01/05/1964,0,0,0,0,0,0,0,0
01/06/1964,0,0,0,0,0,0,0,0
01/07/1964,0,0,0,0,0,0,0,0
01/08/1964,0,0,0,0,0,0,0,0
01/09/1964,0,0,0,0,0,0,0,0
01/10/1964,0.00007,0,0,0.00021,0,0,0,0
01/11/1964,0.0001,0,0,0.00031,0,0,0,0
01/12/1964,0,0,0,0,0,0,0,0
01/01/1965,0,0,0,0,0,0,0,0
01/02/1965,0,0,0,0,0,0,0,0
01/03/1965,0,0,0,0,0,0,0,0
01/04/1965,0,0,0,0,0,0,0,0
01/05/1965,0,0,0,0,0,0,0,0
01/06/1965,0,0,0,0,0,0,0,0
01/07/1965,0,0,0,0,0,0,0,0
01/08/1965,0,0,0,0,0,0,0,0
01/09/1965,0.00007,0,0,0.00021,0,0,0,0
01/10/1965,0.00007,0,0,0.00021,0,0,0,0
01/11/1965,0,0,0,0,0,0,0,0
01/12/1965,0,0,0,0,0,0,0,0
01/01/1966,0,0,0,0,0,0,0,0
01/02/1966,0,0,0,0,0,0,0,0
01/03/1966,0,0,0,0,0,0,0,0
01/04/1966,0,0,0,0,0,0,0,0
01/05/1966,0,0,0,0,0,0,0,0
01/06/1966,0,0,0,0,0,0,0,0
01/07/1966,0.00003,0,0,0.0001,0,0,0,0
01/08/1966,0.00002,0,0,0.00008,0,0,0,0
01/09/1966,0,0,0,0,0,0,0,0
01/10/1966,0,0,0,0,0,0,0,0
01/11/1966,0,0,0,0,0,0,0,0
01/12/1966,0,0,0,0,0,0,0,0
01/01/1967,0,0,0,0,0,0,0,0
01/02/1967,0,0,0,0,0,0,0,0
01/03/1967,0,0,0,0,0,0,0,0
01/04/1967,0,0,0,0,0,0,0,0
01/05/1967,0,0,0,0,0,0,0,0
01/06/1967,0,0,0,0,0,0,0,0
01/07/1967,0,0,0,0,0,0,0,0
01/08/1967,0.00003,0,0,0.0001,0,0,0,0
01/09/1967,0,0,0,0,0,0,0,0
01/10/1967,0,0,0,0,0,0,0,0
01/11/1967,0.00001,0,0,0.00004,0,0,0,0
01/12/1967,0,0,0,0,0,0,0,0
01/01/1968,0,0,0,0,0,0,0,0
01/02/1968,0,0,0,0,0,0,0,0
01/03/1968,0,0,0,0,0,0,0,0
01/04/1968,0,0,0,0,0,0,0,0
01/05/1968,0,0,0,0,0,0,0,0
01/06/1968,0,0,0,0,0,0,0,0
01/07/1968,0.00088,0.00164,0,0,0,0.00141,0,0.0025
01/08/1968,0,0,0,0,0,0,0,0
01/09/1968,0,0,0,0,0,0,0,0
01/10/1968,0,0,0,0,0,0,0,0
01/11/1968,0,0,0,0,0,0,0,0
01/12/1968,0,0,0,0,0,0,0,0
01/01/1969,0,0,0,0,0,0,0,0
01/02/1969,0,0,0,0,0,0,0,0
01/03/1969,0,0,0,0,0,0,0,0
01/04/1969,0,0,0,0,0,0,0,0
01/05/1969,0,0,0,0,0,0,0,0
01/06/1969,0,0,0,0,0,0,0,0
01/07/1969,0,0,0,0,0,0,0,0
01/08/1969,0.00005,0.00002,0,0.0001,0,0.00002,0,0.00004
01/09/1969,0,0,0,0.00001,0,0,0,0
01/10/1969,0.00003,0,0,0.0001,0,0,0,0
