period-start,uk,england,wales,scotland,northern ireland,england and wales,england n,england s
01/01/1960,0.70508,0.58804,0.3046,1.13406,0.00563,0.54935,0.58719,0.58849
01/02/1960,1.71673,0.41936,0.8681,4.38886,0.17503,0.48062,1.13175,0.04249
01/03/1960,0.13587,0.06344,0.03719,0.30678,0.00351,0.05986,0.18151,0.00098
01/04/1960,0.00189,0,0,0.0059,0,0,0,0
01/05/1960,0,0,0,0,0,0,0,0
01/06/1960,0,0,0,0,0,0,0,0
01/07/1960,0,0,0,0,0,0,0,0
01/08/1960,0,0,0,0,0,0,0,0
01/09/1960,0,0,0,0,0,0,0,0
01/10/1960,0.00042,0,0,0.00131,0,0,0,0
01/11/1960,0.01553,0.00002,0.00005,0.04837,0,0.00002,0.00004,0
01/12/1960,0.51358,0.01458,0.02596,1.56021,0.05181,0.01614,0.04055,0.00085
01/01/1961,0.48863,0.13868,0.5016,1.15697,0.00805,0.18823,0.31828,0.04367
01/02/1961,0.10612,0.00222,0.00053,0.32686,0,0.00199,0.00642,0
01/03/1961,0.00765,0,0.00015,0.02381,0,0.00002,0,0
01/04/1961,0.02385,0.00008,0.00005,0.07423,0,0.00007,0.00022,0
01/05/1961,0.00043,0,0,0.00135,0,0,0,0
01/06/1961,0.00004,0,0,0.00013,0,0,0,0
01/07/1961,0,0,0,0,0,0,0,0
01/08/1961,0,0,0,0,0,0,0,0
01/09/1961,0,0,0,0,0,0,0,0
01/10/1961,0.00102,0,0,0.00317,0,0,0,0
01/11/1961,0.13356,0.00032,0.00029,0.41561,0,0.00031,0.00091,0
01/12/1961,4.20199,3.20895,4.17002,6.45194,1.0071,3.34016,4.06536,2.7559
01/01/1962,0.73355,0.99035,0.67688,0.45227,0.00629,0.94755,0.55398,1.22119
01/02/1962,0.7867,0.68894,1.31,0.9474,0.03725,0.77372,0.74351,0.66007
01/03/1962,0.82016,0.25087,0.36897,2.03025,0.05173,0.26699,0.70116,0.01266
01/04/1962,0.06986,0.00305,0.00583,0.21106,0,0.00343,0.00882,0
01/05/1962,0.00149,0,0,0.00463,0,0,0,0
01/06/1962,0.00013,0,0,0.00041,0,0,0,0
01/07/1962,0,0,0,0,0,0,0,0
01/08/1962,0,0,0,0,0,0,0,0
01/09/1962,0.00007,0,0,0.00022,0,0,0,0
01/10/1962,0.00706,0.00006,0.00015,0.02185,0,0.00007,0.00018,0
01/11/1962,0.61373,0.18667,0.1673,1.55461,0.0112,0.18403,0.53327,0.00331
01/12/1962,3.64063,4.26856,4.99489,2.85029,0.26218,4.36771,3.83982,4.49537
01/01/1963,11.30959,13.22808,15.33683,8.76799,1.78253,13.51596,9.82502,15.02836
01/02/1963,5.63206,5.8779,7.13769,5.7237,0.64123,6.04988,6.70336,5.44121
01/03/1963,0.02727,0.00756,0.00097,0.07207,0.00015,0.00666,0.02184,0
01/04/1963,0.03941,0.00278,0.00569,0.11664,0.00007,0.00318,0.00804,0
01/05/1963,0.00131,0,0,0.00409,0,0,0,0
01/06/1963,0,0,0,0,0,0,0,0
01/07/1963,0,0,0,0,0,0,0,0
01/08/1963,0,0,0,0,0,0,0,0
01/09/1963,0,0,0,0,0,0,0,0
01/10/1963,0.00001,0,0,0.00003,0,0,0,0
01/11/1963,0.07404,0.00015,0.00005,0.23047,0,0.00014,0.00044,0
01/12/1963,0.79146,0.45974,0.53418,1.54581,0.06534,0.4699,0.78379,0.28832
01/01/1964,0.27093,0.20667,0.49319,0.36898,0.00007,0.24579,0.11759,0.2538
01/02/1964,0.5715,0.29449,1.17483,0.96872,0.0499,0.41467,0.71887,0.06999
01/03/1964,0.39555,0.21859,0.43111,0.74389,0.04998,0.2476,0.5905,0.02184
01/04/1964,0.00771,0.00119,0.00681,0.02023,0.00007,0.00196,0.00324,0.00011
01/05/1964,0.00008,0,0,0.00026,0,0,0,0
01/06/1964,0.00004,0,0,0.00012,0,0,0,0
01/07/1964,0,0,0,0,0,0,0,0
01/08/1964,0,0,0,0,0,0,0,0
01/09/1964,0,0,0,0,0,0,0,0
01/10/1964,0.01249,0,0.0001,0.03889,0,0.00001,0,0
01/11/1964,0.08259,0.01862,0.00768,0.22426,0,0.01713,0.05356,0.00014
01/12/1964,1.16268,0.70521,0.52946,2.28553,0.11152,0.68122,1.56175,0.25208
01/01/1965,1.46749,0.43193,1.15354,3.51137,0.19011,0.53044,1.0804,0.08888
01/02/1965,0.4333,0.08295,0.28335,1.13622,0.00541,0.11031,0.20735,0.01714
01/03/1965,1.37954,0.85636,1.79196,2.33454,0.30711,0.98408,1.52363,0.50336
01/04/1965,0.01418,0.0002,0.00034,0.04377,0,0.00022,0.00058,0
01/05/1965,0.00184,0,0.00005,0.00572,0,0.00001,0,0
01/06/1965,0,0,0,0,0,0,0,0
01/07/1965,0,0,0,0,0,0,0,0
01/08/1965,0,0,0,0,0,0,0,0
01/09/1965,0,0,0,0,0,0,0,0
01/10/1965,0.00004,0,0,0.00012,0,0,0,0
01/11/1965,1.08341,0.35434,0.52922,2.62897,0.08752,0.37821,0.70256,0.17013
01/12/1965,0.9894,0.48491,0.1637,2.19241,0.21147,0.44106,0.65273,0.39614
01/01/1966,3.47223,3.15801,5.16565,4.10963,0.38424,3.43208,2.95059,3.26774
01/02/1966,2.20941,1.00247,1.53588,4.73828,0.35197,1.07529,2.6346,0.13904
01/03/1966,0.13005,0.0036,0.01264,0.39498,0.00644,0.00483,0.01038,0.00001
01/04/1966,0.33823,0.12512,0.30557,0.75492,0.04873,0.14976,0.33978,0.01157
01/05/1966,0.00032,0,0,0.001,0,0,0,0
01/06/1966,0,0,0,0,0,0,0,0
01/07/1966,0,0,0,0,0,0,0,0
01/08/1966,0,0,0,0,0,0,0,0
01/09/1966,0,0,0,0,0,0,0,0
01/10/1966,0.00298,0,0.00005,0.00927,0,0.00001,0,0
01/11/1966,0.2109,0.01085,0.00569,0.63721,0.00227,0.01015,0.03137,0
01/12/1966,0.43667,0.04974,0.01429,1.27276,0.00695,0.0449,0.14365,0.00006
01/01/1967,0.84436,0.68171,0.71067,1.30211,0.01515,0.68566,0.64746,0.69983
01/02/1967,0.12729,0.03199,0.03637,0.33346,0.00059,0.03259,0.08927,0.00169
01/03/1967,0.12464,0.00558,0.00919,0.37664,0.00022,0.00607,0.01613,0
01/04/1967,0.02189,0.00079,0.00797,0.06478,0,0.00177,0.00229,0
01/05/1967,0.00665,0.00018,0.0016,0.02,0,0.00037,0.00051,0
01/06/1967,0.00002,0,0,0.00006,0,0,0,0
01/07/1967,0,0,0,0.00001,0,0,0,0
01/08/1967,0,0,0,0,0,0,0,0
01/09/1967,0,0,0,0,0,0,0,0
01/10/1967,0.00577,0.00002,0,0.01797,0,0.00001,0.00004,0
01/11/1967,0.01423,0.00068,0.00068,0.04303,0,0.00068,0.00196,0
01/12/1967,1.35698,0.83652,0.86654,2.55371,0.26884,0.84062,1.1395,0.67624
01/01/1968,1.0975,0.56984,0.69365,2.2756,0.05144,0.58674,1.05416,0.31362
01/02/1968,1.19454,0.34219,0.38788,3.03964,0.05291,0.34843,0.81973,0.08956
01/03/1968,0.16851,0.05252,0.1249,0.40438,0.00044,0.0624,0.1203,0.01665
01/04/1968,0.23738,0.02112,0.0582,0.6887,0.00344,0.02618,0.05943,0.00085
01/05/1968,0.02585,0.00032,0.00049,0.07988,0.00007,0.00035,0.00093,0
01/06/1968,0,0,0,0,0,0,0,0
01/07/1968,0.00001,0,0,0.00003,0,0,0,0
