period-start,uk,england,wales,scotland,northern ireland,england and wales,england n,england s
1862-01-01,113.53101,68.05472,115.95873,182.20019,148.77995,74.59441,81.01826,61.19677
1862-02-01,35.77,22.74144,20.28779,60.94444,38.71054,22.40648,36.9916,15.20284
1862-03-01,101.66205,103.14767,113.98306,96.64561,97.60881,104.62688,94.36536,107.79367
1862-04-01,83.36027,64.99173,109.28517,105.27841,93.36512,71.03852,75.08571,59.65182
1862-05-01,95.84698,84.10852,103.01048,112.31519,103.667,86.68895,85.49423,83.37545
1862-06-01,93.25671,74.2295,109.86452,121.99952,85.17705,79.09427,93.6681,63.94612
1862-07-01,100.83808,74.98206,117.92565,135.50574,122.32151,80.84457,98.90333,62.32727
1862-08-01,82.68753,67.05642,96.45774,106.91177,71.46312,71.07019,78.0165,61.25834
1862-09-01,72.94716,75.62925,95.95891,65.73291,55.24169,78.40458,90.87195,67.56558
1862-10-01,161.43154,116.87589,202.12246,226.95382,151.73352,128.51346,138.98155,105.1816
1862-11-01,54.64698,31.06372,51.06246,93.21054,64.73954,33.79388,35.92034,28.49448
1862-12-01,121.32624,71.40253,145.60608,198.58569,118.73521,81.53255,102.10148,55.16223
1863-01-01,148.37218,101.72619,172.31014,227.20847,107.35962,111.36207,128.23915,87.70035
1863-02-01,53.85516,23.91908,48.37372,108.22585,37.00432,27.25754,29.3377,21.05253
1863-03-01,47.46109,33.34498,68.8462,63.99565,54.03345,38.19149,35.96575,31.95854
1863-04-01,66.50084,33.40443,62.74447,123.59805,62.03834,37.40984,40.04043,29.89387
1863-05-01,50.85956,39.33387,59.52624,65.05894,66.34188,42.09047,43.99071,36.87032
1863-06-01,103.6582,96.52211,140.76339,100.97009,131.59167,102.56178,93.07374,98.34636
1863-07-01,25.33724,30.3814,29.96689,18.15669,11.65906,30.32481,41.54311,24.47665
1863-08-01,109.72565,78.83291,139.29911,153.4046,109.7308,87.08755,102.05525,66.54787
1863-09-01,127.67605,90.31464,164.40384,180.58213,127.26351,100.42904,98.04617,86.22452
1863-10-01,125.1676,105.47894,214.36735,129.35107,151.26558,120.34402,127.02671,94.07978
1863-11-01,99.61976,76.02771,150.84366,125.16463,99.57834,86.24133,86.93344,70.25839
1863-12-01,101.26301,57.58518,100.90273,177.56712,82.52051,63.49875,72.49615,49.69701
1864-01-01,66.39406,42.0049,90.96541,101.61917,59.71488,48.68882,50.83821,37.33191
1864-02-01,79.88085,50.94051,79.50662,132.81293,55.29044,54.84026,71.33103,40.15355
1864-03-01,96.15766,75.25053,95.7224,131.78765,87.36406,78.04528,77.23759,74.19933
1864-04-01,48.18006,36.60421,46.34189,64.45017,67.97991,37.93357,41.18191,34.18253
1864-05-01,53.58605,51.24924,44.45388,58.27483,62.80954,50.32156,61.2134,45.97801
1864-06-01,69.50388,46.6462,71.43023,104.54237,85.25882,50.02963,66.10139,36.35405
1864-07-01,44.2953,24.25603,52.85213,74.5372,49.48511,28.15987,36.73601,17.65389
1864-08-01,47.53048,35.0038,58.11018,62.51691,65.31316,38.1582,52.51036,25.7425
1864-09-01,111.83215,74.18623,152.82549,166.23404,96.69814,84.9218,94.72937,63.31854
