period-start,east scotland,north scotland,west scotland,northern ireland,east midlands,east of england,london,north east england,north west england,south east england,south west england,wales,west midlands,yorkshire and humber
1960,227.74845,243.26894,262.15539,289.22257,287.17792,290.96391,312.28769,260.47642,284.32066,308.69783,312.80285,297.19054,296.10318,276.45507
1961,270.61165,269.83034,284.94232,293.63259,310.0408,312.74164,319.29209,284.89593,296.74702,314.49063,323.36986,305.83563,309.79302,297.14192
1962,204.25579,211.51552,224.42076,280.21467,233.84887,268.14795,303.81972,212.81289,246.56736,285.53323,311.17481,278.2007,269.6121,225.39996
1963,224.76488,233.94863,244.55057,267.48509,265.12542,274.16548,275.44535,249.20755,261.34574,274.08215,274.87986,267.95947,266.65677,260.31211
1964,212.32949,245.01015,257.61319,302.08248,280.47538,271.63578,301.41269,223.34832,272.80982,289.73137,312.2869,292.90194,297.97278,263.97744
1965,216.69603,236.08898,258.50389,288.63151,257.59664,287.1855,338.88379,230.18618,281.99513,324.18161,342.05533,301.85611,297.05697,269.43361
1966,234.63668,229.41454,253.57669,295.48682,298.81044,309.93299,339.86244,242.84739,282.95344,321.52098,315.65969,298.00824,294.40843,283.5072
1967,262.5033,261.59346,295.31787,311.02019,298.93355,313.5309,322.63065,279.24379,285.08513,315.02663,317.02855,302.98954,302.44295,285.25765
1968,216.65323,226.67569,260.64847,331.26151,319.45491,324.29674,323.77324,260.09024,303.59477,323.53903,330.87479,308.61324,319.53229,305.9963
1969,193.15298,236.81667,240.51059,287.2567,296.74162,303.13789,308.28769,212.43078,272.22176,304.01355,310.62687,302.07845,298.22121,264.23898
1970,199.08047,209.2316,240.39816,264.95107,296.79061,322.57272,344.97425,222.50058,267.39251,339.08304,342.63928,300.07941,325.14785,249.74942
1971,240.53359,275.69456,274.87265,328.84604,256.08557,303.40735,320.88819,237.5079,264.19823,311.8682,320.79468,284.49277,276.90343,240.08266
1972,234.51353,247.65483,251.73776,237.19154,259.44142,278.73611,333.04899,236.64623,270.28718,304.6768,323.85798,287.09879,290.40043,245.94256
1973,222.5556,227.58432,268.09042,316.68539,285.08173,264.14691,305.85364,267.34634,281.74892,286.54003,328.70757,304.44193,304.27626,273.11022
1974,231.97138,248.36234,282.49146,308.45068,313.07093,350.34988,355.22236,244.99419,283.54765,352.99833,357.19677,304.68976,315.55797,270.58986
1975,258.61927,243.04274,302.32149,331.90567,326.23772,329.73528,343.86621,306.21603,329.91989,335.20976,340.29537,335.75361,333.03714,318.38868
1976,260.52996,274.79467,305.5787,314.9796,318.76752,330.22947,334.13128,279.11498,303.04557,326.63321,330.95041,324.7767,311.77172,300.13194
1977,225.87755,231.51084,244.22633,262.33594,274.41494,295.9054,306.95729,242.67607,265.69361,301.78752,303.17686,285.92266,284.45825,264.02833
1978,230.86944,230.45203,248.59005,268.42094,274.24578,275.00527,275.50942,252.99884,265.25306,275.33764,298.23865,280.45976,274.30793,267.85665
1979,198.64226,196.72605,209.40863,219.19096,217.71003,228.8011,279.11432,207.8158,225.53592,247.64494,258.79518,231.95894,219.51507,216.28624
1980,223.82044,222.8681,257.21361,281.06322,274.09408,275.23531,273.16709,250.14495,265.21957,272.48713,278.24758,271.52564,273.67584,265.44729
1981,237.15282,250.91018,275.84794,303.46972,285.05257,282.95098,319.3549,267.19907,285.55585,298.28087,313.27722,290.34623,294.28664,292.75272
1982,238.09596,238.40532,271.18739,295.49565,267.39902,289.64412,305.05276,256.7619,274.97605,293.97761,307.54156,280.78576,281.00538,264.66481
1983,254.94167,277.5374,303.96521,339.57518,333.70683,339.12615,342.79146,261.30012,305.95217,343.33979,353.86125,321.5545,337.78764,316.72212
1984,229.4563,238.78882,256.88175,261.04541,251.26337,268.16203,328.45226,239.36713,255.71155,319.24785,324.33599,271.45143,270.39074,246.94016
1985,214.4691,229.79807,253.82308,290.94461,262.10732,248.58023,285,235.53798,259.97139,285.9718,293.82209,289.39206,287.75665,262.15035
1986,188.65343,213.5974,223.14604,249.16309,287.978,331.19567,342.73807,212.84657,265.98693,326.23027,337.91482,295.01532,300.6773,252.81924
