period-start,east scotland,north scotland,west scotland,northern ireland,east midlands,east of england,london,north east england,north west england,south east england,south west england,wales,west midlands,yorkshire and humber
01/01/1960,1.85227,0.76381,1.71364,1.95179,1.76695,1.42915,1.08857,1.41649,1.66733,2.30871,3.24112,2.07758,3.73543,1.70086
01/01/1961,1.78555,1.11477,2.50912,1.67253,0.19007,0.8702,0.68028,1.33298,1.58502,0.84015,1.03077,0.65902,0.32108,0.75823
01/01/1962,2.56746,2.33583,3.53403,2.2771,0.75313,0.75499,0.75754,1.8993,2.14793,1.00565,1.33586,1.6131,1.36537,1.15074
01/01/1963,1.19277,0.8267,1.51152,2.14469,0.81754,0.80501,0.15075,1.16841,0.81816,0.66508,0.68485,0.6371,0.23704,1.16442
01/01/1964,1.16024,1.47108,1.43794,1.4491,0.93419,1.01346,0.58229,1.064,2.48252,1.30991,0.40402,1.35385,0.41881,1.39568
01/01/1965,1.48671,1.56779,1.7562,1.21417,1.41181,1.20287,0.96985,1.32369,1.40495,1.17465,1.22368,2.00655,1.48101,1.10801
01/01/1966,2.35293,2.85661,1.93419,1.68798,1.32969,1.35249,1.54209,1.72102,2.10844,1.36019,1.50572,1.37298,1.06151,1.48133
01/01/1967,1.21026,2.36938,0.83253,1.96041,1.30481,0.78441,1.06721,3.53229,3.05136,1.11176,1.78013,2.84826,1.48777,2.7736
01/01/1968,1.42956,2.06173,2.39899,3.25648,2.41737,2.33565,2.02575,2.441,3.11756,1.62908,1.48262,2.01147,1.73258,1.93737
01/01/1969,0.74511,1.57988,0.64969,1.13456,1.92856,1.62117,2.29962,0.99048,1.62141,1.54939,2.1398,2.20933,3.06151,1.4871
01/01/1970,1.50452,2.58029,1.68893,1.53962,1.29541,1.00579,0.98555,0.61103,0.81236,0.76601,0.94098,1.11849,1.49085,0.69256
01/01/1971,1.52837,1.97737,1.23157,2.8992,0.9097,0.94196,2.13442,2.19768,1.94285,1.97096,1.71553,2.38045,2.52722,1.83104
01/01/1972,0.48259,0.53543,1.16635,0.63115,1.27117,0.58415,0.05276,0.25981,1.27036,0.41356,1.37963,1.54404,1.4817,0.72945
01/01/1973,0.80385,2.34858,1.21904,1.70623,2.83314,2.034,2.28455,0.8007,1.05404,1.87453,1.39384,2.24036,1.52337,1.98574
01/01/1974,1.07129,1.29828,1.0911,0.45269,0.70408,0.82222,1.62814,0.18072,0.68308,2.48488,2.09432,1.26479,0.50384,0.42434
01/01/1975,1.47342,1.52277,0.94041,0.59803,0.91034,1.02816,2.21043,1.22544,1.57082,1.50795,1.31184,1.01687,0.45494,1.10069
01/01/1976,1.85105,1.87102,0.92142,2.59918,1.16251,1.12031,0.31533,2.39744,0.86132,0.70814,2.28497,1.5265,2.34476,2.61553
01/01/1977,1.64642,1.49305,2.69372,1.04066,0.89409,0.64756,1.47613,0.64855,1.32978,1.48122,1.70794,1.87187,1.38759,0.34187
01/01/1978,2.52511,1.45579,1.63261,2.4205,1.65503,1.09001,1.88693,1.82311,0.76694,1.09,1.52878,0.51051,0.57604,1.68342
01/01/1979,1.16142,1.68047,1.72181,1.58524,1.38085,0.91385,1.10113,1.44913,1.68838,1.45385,2.00788,2.06043,1.94933,1.4539
01/01/1980,0.91383,2.57761,2.14012,1.48437,1.89933,1.45314,1.3191,1.21858,2.4443,1.68878,1.41207,1.91591,1.31539,1.72018
01/01/1981,2.09987,3.5131,3.189,3.13255,1.73107,1.59145,1.03643,2.59605,2.0669,1.55541,2.1305,3.07421,1.26234,2.1947
