period-start,east scotland,north scotland,west scotland,northern ireland,east midlands,east of england,london,north east england,north west england,south east england,south west england,wales,west midlands,yorkshire and humber
01/01/1960,267.74537,155.57517,220.49568,239.82049,234.99153,169.64255,187.68507,182.49765,248.7003,239.37517,342.04657,379.62302,273.37708,227.93549
01/01/1961,222.0011,252.82,361.02609,216.82782,58.77628,121.24303,124.59145,149.91784,229.18561,125.08347,134.6429,179.70029,74.18273,130.58376
01/01/1962,274.45011,335.9012,417.04317,223.33269,90.12321,64.73146,111.81143,159.61914,265.46778,118.02864,144.14958,238.22788,133.49481,137.59463
01/01/1963,193.34425,163.19955,248.17426,247.40951,96.09054,94.97115,79.87805,160.79564,193.96568,114.66996,120.19319,153.22425,68.45644,125.28611
01/01/1964,161.50225,257.84548,252.09182,182.09497,63.03489,86.1165,128.10122,129.16252,250.87888,115.75497,97.30263,202.36831,55.25435,104.54987
01/01/1965,193.52433,268.96473,288.71174,216.85306,161.76406,121.82328,106.19875,202.60913,269.59726,143.62436,195.78488,352.77483,148.33411,169.99012
01/01/1966,277.10767,331.15174,311.89378,263.13109,149.96904,110.43275,150.06187,194.6245,293.07236,161.6855,199.85305,241.46169,151.90163,204.44301
01/01/1967,203.22768,365.90132,210.97216,188.09839,139.34281,96.14489,142.53319,273.66353,359.62965,188.82675,240.82201,367.58582,162.46903,247.19164
01/01/1968,212.8639,271.45486,290.85412,272.95796,212.62772,178.4362,173.50867,242.74101,330.3331,192.95065,211.09323,315.87226,209.40737,226.20098
01/01/1969,153.4989,233.68952,140.30378,150.24759,171.43362,139.57638,135.68873,197.11657,197.00329,149.7273,248.4284,287.35134,196.98528,202.10756
01/01/1970,232.18272,334.48192,292.12393,206.90292,116.05531,96.8976,84.28549,102.99871,193.2527,119.61208,145.25088,229.83459,139.74863,115.19026
01/01/1971,185.97203,258.82046,185.19192,200.57599,128.56903,117.12557,200.40438,182.98941,212.45037,188.16516,203.73032,270.02339,201.12152,165.63969
01/01/1972,124.35535,160.33968,221.6087,172.53585,114.30326,70.1267,34.65652,78.99338,221.5544,81.00959,202.72106,283.08168,127.03261,114.69464
01/01/1973,139.04652,344.56268,214.35808,188.53074,193.16274,120.66036,148.3262,116.86929,163.10492,131.05975,168.4207,264.66603,142.56402,176.55134
01/01/1974,194.4043,268.73355,208.55956,156.83133,103.65084,137.41401,183.004,90.84226,172.79782,243.90975,262.84399,277.14212,93.53668,99.02128
01/01/1975,155.03105,252.81791,219.11584,100.03323,81.69839,109.71234,182.72004,128.68203,208.88151,176.14745,161.39006,180.70738,62.24542,109.59858
01/01/1976,225.6834,267.97333,212.78103,245.16553,108.93775,127.02517,102.5763,208.52155,150.57722,142.50239,216.00128,202.78127,166.51715,207.69376
01/01/1977,238.62648,261.57092,364.52756,169.81482,134.6338,91.05422,168.70954,163.81793,232.8749,177.62177,213.40894,272.6222,169.75485,134.28821
01/01/1978,299.10621,264.82272,256.16487,251.6656,148.32843,108.35169,134.258,213.80944,207.45948,112.31751,159.22031,190.80622,98.71343,175.12003
01/01/1979,216.3766,322.92802,299.52738,208.27929,182.98897,132.77142,167.90287,166.3314,180.93586,153.97893,210.03595,301.84632,178.10383,210.10893
01/01/1980,179.71515,392.05345,308.25364,169.90071,199.37724,129.98935,104.63117,179.83128,314.77445,153.27117,188.05674,312.08429,158.69836,222.31214
01/01/1981,231.67823,436.14218,385.67475,284.37483,199.23371,143.16593,133.44702,208.152,318.82436,154.13773,257.57723,395.831,185.61071,222.89828
01/01/1982,371.28042,346.88798,437.04494,204.27721,170.47694,155.94919,152.78793,195.61574,293.82132,157.96488,221.64552,386.25892,179.37771,193.17667
01/01/1983,207.74142,411.94783,223.10967,101.60623,148.84761,88.4875,93.50854,186.2929,231.37759,105.32421,162.83207,316.86727,142.3947,188.81635
01/01/1984,360.12958,341.92957,310.29591,184.82392,117.77279,144.88265,147.87536,181.39399,213.57416,134.07358,189.90966,258.08435,130.23294,174.12413
01/01/1985,302.89702,303.86583,396.00761,227.19501,136.70868,80.76086,100.39752,164.22989,246.17621,115.82378,184.29758,269.10528,151.84167,151.47358
01/01/1986,266.60808,376.01017,391.02595,262.78506,161.02311,132.80483,146.22773,245.24061,256.84847,155.87306,230.66732,378.2758,173.53004,234.76046
