Label,Notation,Parent Notation,Sort Priority
East Scotland,east-scotland,,1
North Scotland,north-scotland,,2
West Scotland,west-scotland,,3
Northern Ireland,northern-ireland,,4
East Midlands,east-midlands,,5
East of England,east-of-england,,6
London,london,,7
North East England,north-east-england,,8
North West England,north-west-england,,9
South East England,south-east-england,,10
South West England,south-west-england,,11
Wales,wales,,12
West Midlands,west-midlands,,13
Yorkshire and Humber,yorkshire-and-humber,,14
