Period-start,east scotland,north scotland,west scotland,northern ireland,east midlands,east of england,london,north east england,north west england,south east england,south west england,wales,west midlands,yorkshire and humber
1960-01-01,20.70969,18.58191,17.54812,14.73022,14.1549,14.10561,11.91332,18.00801,16.42819,14.48116,11.82624,13.27602,14.76011,15.22867
1960-02-01,21.4122,19.5334,19.82176,19.16804,15.92703,12.32855,7.35992,18.56539,17.51628,11.56896,11.931,15.81872,15.34238,16.1073
1960-03-01,9.48777,10.94917,6.27795,2.96731,4.07713,3.3588,0.95603,6.10209,4.61137,3.49791,1.4296,4.57214,3.38475,4.0815
1960-04-01,3.43042,3.28482,2.13386,1.37215,3.31894,2.38754,0.7858,2.99396,2.72674,3.72033,1.8122,2.35669,3.17592,2.35192
1960-05-01,1.62592,1.65754,0.6218,0.05834,0.09728,0.26602,0,0.95691,0.24422,0.01486,0.00013,0.42112,0.02253,0.32845
1960-06-01,0.00938,0.01203,0.00029,0,0,0,0,0.00023,0.00318,0,0,0,0,0
1960-07-01,0.02368,0.03949,0.00015,0,0,0.00334,0,0.0029,0.00735,0,0,0,0,0
1960-08-01,0.09799,0.06346,0.00083,7E-05,0,0.00146,0,0,0,0,0,0,0,0
1960-09-01,0.85044,1.27425,0.3144,0,0.00026,0.00469,0,0.00418,0.03575,0,0,0.00906,0,0
1960-10-01,0.51133,0.20064,1.18196,0.11782,0.69238,0.41434,0.13756,0.62822,1.05581,1.32869,0.89243,0.7128,0.80324,0.29298
1960-11-01,10.60399,8.9657,6.13743,3.25656,2.49002,1.53544,1.1853,6.81127,4.89841,3.79186,3.15515,4.04453,4.75127,3.16377
1960-12-01,20.88113,17.91756,16.39919,15.57871,12.56971,9.94086,4.19786,16.81394,15.67432,9.19904,10.58856,12.91928,12.59549,13.72206
1961-01-01,20.01582,19.41048,15.17829,11.46232,15.04547,10.30389,6.98304,17.38084,15.06916,10.92753,9.01312,12.9575,13.5416,15.96142
1961-02-01,8.69721,9.80031,4.37184,3.09534,1.28946,0.8231,0.0201,6.07596,3.77852,0.24414,0.06732,1.56954,1.15324,3.05913
1961-03-01,4.20748,4.45012,2.20334,0.73482,4.64953,4.96615,2.21043,3.78374,2.20219,7.3502,5.59929,4.46102,5.4082,2.73528
1961-04-01,5.09551,7.18566,3.4989,3.43495,0.52731,0.22905,0,3.27364,2.04528,0.00188,0.00017,0.67945,0.62064,1.96201
1961-05-01,2.295,3.20724,0.6581,0.11675,0.7603,0.25752,0.04523,0.9439,0.40523,1.09261,0.58587,1.03879,0.94387,0.24773
1961-06-01,0.38819,0.70193,0.07314,0.00244,0.0071,0.01403,0,0.00441,0.00516,0,0,0.00891,0,0
1961-07-01,0.06824,0.0303,0.00108,0,0,0.00339,0,0,0,0,0,0,0,0
1961-08-01,0.05894,0.02176,0.00044,0,0,0,0,0.00337,0.00756,0,0,0,0,0
1961-09-01,0.01692,0.00418,0,0,0.00339,0,0,0,0,0,0,0.02713,0,0
1961-10-01,0.97416,0.92923,0.07965,0.00769,0.93848,1.14107,0.23869,0.1547,0.03765,0.96149,0.66699,0.44102,1.43388,0.10685
1961-11-01,12.83087,12.46146,6.86619,5.0421,7.81798,7.09278,3.32789,7.71417,5.70074,6.7511,4.20252,3.80966,6.79279,6.81574
1961-12-01,21.95981,20.89347,20.27844,19.01731,21.29458,18.48172,16.67651,22.15029,20.40184,18.31033,15.24133,18.39138,19.49354,21.59537
1962-01-01,16.62861,13.94368,10.14957,11.74316,9.5951,9.74253,7.56156,12.42578,9.19498,8.91649,6.72614,7.05108,7.6547,9.2148
1962-02-01,15.59457,15.14065,10.75141,7.01839,10.11429,11.77184,8.48555,12.82358,9.77139,11.65059,9.37191,9.19222,10.29371,9.96415
1962-03-01,21.3974,20.78118,19.45105,18.45686,22.9897,20.33283,16.92651,22.36376,21.72201,19.93711,19.39476,22.15324,22.54198,21.85108
1962-04-01,11.32578,12.41493,7.77636,6.41411,2.72621,1.51306,0.08417,7.78037,4.71219,1.33952,1.20792,3.09956,2.49108,3.3857
1962-05-01,1.43869,1.90326,1.07965,0.26072,1.58589,1.23484,0.32915,0.64297,0.19894,1.62306,0.64536,0.5652,0.99039,0.30362
1962-06-01,0.54932,0.34264,0.45173,0.44155,0.84983,1.26821,0.0804,0.89803,0.44868,0.79767,0.13712,0.24561,0.46609,0.41701
1962-07-01,0.08915,0.06982,0.00269,0,0,5E-05,0,0.00836,0.00339,0,0,0,0,0
1962-08-01,0.13024,0.22957,0.00563,0.00108,0,5E-05,0,0.00581,0.01229,0,0,0,0,0
1962-09-01,0.29814,0.19118,0.02275,0,0,0.00647,0,0.04262,0.01604,0.01355,0.02079,0.11695,0.00108,0
1962-10-01,3.12156,2.35201,1.98385,0.4177,1.80794,0.9066,0.65641,2.17851,1.81554,0.96364,0.88049,0.91895,1.07666,1.92914
1962-11-01,13.01545,10.69166,10.10627,4.75458,9.85674,9.54232,6.9799,10.67108,9.03052,8.83586,7.41622,7.58891,8.8453,9.6239
1962-12-01,20.87575,13.73975,14.83121,9.76234,21.81894,21.70743,18.98869,23.31347,18.23963,21.09931,16.36068,16.39056,19.57504,22.47484
1963-01-01,27.02515,24.05376,26.46724,26.95998,28.34446,28.9103,27.8103,26.3338,27.47517,29.54442,29.01291,28.81231,29.26788,26.11398
1963-02-01,26.99564,24.29488,26.08141,22.61958,27.93624,27.11312,25.62312,27.73751,27.30208,26.36846,23.94622,26.29375,27.37921,27.97556
1963-03-01,11.312,9.70148,9.48212,8.59027,9.01682,7.50597,5.73932,10.07259,8.89721,7.50743,6.32895,7.22894,8.22789,8.92577
1963-04-01,6.46376,8.37654,3.92407,2.63977,1.73177,2.1988,1.24623,3.3101,1.85277,2.04662,0.77271,1.37592,0.74066,2.01362
1963-05-01,2.35227,2.69856,0.73164,0.17135,0.1989,0.13533,0,0.58688,0.1952,0.09716,0.01828,0.23357,0.13586,0.12591
1963-06-01,0.04309,0.01997,0,0,0,0,0,0,0,0,0,0,0,0
1963-07-01,0.0062,0.02612,5E-05,0,0,0,0,0,0,0,0,0,0,0
