period-start,east scotland,north scotland,west scotland,northern ireland,east midlands,east of england,london,north east england,north west england,south east england,south west england,wales,west midlands,yorkshire and humber
1884-01-01,1.11226,0.89928,2.43202,2.9105,3.22903,3.15668,3.7474,2.24752,2.79628,3.45864,4.35092,3.65865,3.53186,2.34747
1884-02-01,0.08201,0.34429,1.21914,1.44595,1.79696,2.01007,2.5939,0.78531,1.26918,2.46442,2.92507,1.94953,1.77492,1.16666
1884-03-01,0.64106,1.18259,1.8197,2.56993,1.93807,2.00988,2.6495,1.19176,1.69429,2.33493,2.84653,2.16549,1.85922,1.45325
1884-04-01,1.15509,1.89052,2.36097,2.72995,2.51048,2.36235,2.86297,1.69886,2.02013,2.46394,2.52259,2.27035,2.26557,2.18854
1884-05-01,3.68665,3.75799,4.5242,5.15414,5.73529,5.88277,6.65641,4.46966,5.27673,6.15137,6.16512,5.41803,5.36406,4.99063
1884-06-01,6.8829,7.18822,7.49437,8.18811,8.13954,8.34129,9.55584,7.25204,7.76408,8.87247,9.08282,7.96292,7.98246,7.33208
1884-07-01,8.74246,8.44693,9.6202,10.47876,11.14844,11.33427,11.86587,9.80439,10.50187,11.47718,11.75535,10.62241,10.88488,10.44781
1884-08-01,9.20275,9.79822,10.20979,10.62163,11.05061,11.5563,11.99744,9.70859,10.58082,11.43348,11.4254,10.75932,10.59713,10.57286
1884-09-01,7.23962,7.65926,8.42889,8.44956,9.69319,10.15465,10.81684,7.9385,8.89126,10.32684,10.61424,9.84412,9.64047,8.95795
1884-10-01,3.76889,4.60696,4.9872,5.21805,4.7495,4.82933,4.99125,4.13369,5.15088,4.67368,5.78844,5.83882,4.9268,4.31709
1884-11-01,0.58724,1.25549,1.41084,3.06354,1.90189,2.00786,2.34082,1.41711,1.49669,2.00078,3.02985,2.72671,1.81645,1.84145
1884-12-01,-1.27466,-0.03966,0.25782,1.00773,1.28196,1.64718,2.34719,0.13864,0.48704,1.99761,2.48048,1.89881,1.49769,0.41464
1885-01-01,-1.67914,-1.25446,-0.21691,1.05445,-0.16274,-0.29337,0.05398,-0.32463,-0.31014,-0.14577,1.07247,0.51534,0.00414,-0.54552
1885-02-01,-0.53987,-0.99195,0.6752,1.06314,1.95514,2.44224,3.32465,0.38787,1.22929,3.0427,3.48575,2.22397,2.14411,1.06397
1885-03-01,-1.02084,-0.50232,-0.31864,0.14217,0.29399,-0.21582,0.409,-0.58378,-0.27574,0.27447,1.10978,0.36856,0.39218,-0.2881
1885-04-01,1.58706,2.16998,2.42893,2.95293,2.98792,3.10031,3.70188,1.90459,2.2099,3.0805,2.75922,2.23132,2.54801,2.30297
1885-05-01,2.54064,2.59597,3.04044,3.50069,3.9038,4.25207,5.1577,2.77304,3.46406,4.68243,4.59165,3.74206,3.68662,3.44735
1885-06-01,6.54333,6.2203,6.9903,7.04139,8.66543,8.80984,9.7643,7.25851,7.56282,9.06985,9.34601,8.02559,8.47094,7.69781
1885-07-01,8.07511,7.87326,8.73615,9.40751,10.50077,10.66291,11.63579,9.40255,9.73502,10.7673,10.70948,9.67762,10.11533,9.71448
1885-08-01,6.40563,6.4685,7.28772,8.55008,9.14202,9.38353,9.82488,8.0729,8.07719,9.31599,9.41744,8.22795,8.65335,8.51232
1885-09-01,5.18847,5.55584,6.09466,6.7312,7.31838,7.88036,8.42607,5.9607,6.53245,8.11827,8.16228,7.32588,7.14712,6.42004
1885-10-01,1.58494,1.43739,2.6087,3.31362,3.77451,3.86297,4.31018,3.09534,3.21859,3.8117,4.62789,3.51817,3.42209,3.30537
1885-11-01,0.34821,1.18127,1.90771,2.69735,2.58553,2.8034,3.23085,1.7662,1.78142,2.99788,4.32241,2.93062,2.55459,2.31216
1885-12-01,-0.24978,0.53097,0.87186,1.60428,0.24375,0.12954,0.52819,-0.25634,-0.05149,0.28346,0.82858,0.19984,0.01908,-0.44506
1886-01-01,-2.63945,-2.20353,-1.74414,-0.85689,-0.8724,-1.08538,-0.87839,-1.91882,-1.64027,-1.13909,-0.50712,-1.26311,-1.12064,-1.89251
1886-02-01,-2.61533,-2.43571,-1.57306,-0.09507,-1.64021,-2.06088,-1.50373,-2.23719,-1.8336,-1.83322,-1.01278,-1.49404,-1.62398,-1.93291
1886-03-01,-1.36547,-0.70496,-0.43519,0.79015,0.33802,0.64736,0.84072,-0.70202,-0.4254,0.15086,0.99623,-0.33017,0.15407,-0.30405
1886-04-01,0.84476,0.46123,1.57652,1.93672,2.7319,3.09173,4.04257,1.72137,2.28129,3.26511,3.71794,2.63995,2.92545,1.99989
1886-05-01,3.41671,3.15111,3.97889,4.44731,5.46613,5.78328,6.47089,3.98377,4.56455,6.03756,6.20681,5.0835,5.3542,4.45386
1886-06-01,6.06855,5.95017,6.7698,7.73647,7.96969,7.91679,9.21287,6.91252,7.68778,8.4519,8.95445,8.07411,8.39383,7.23124
1886-07-01,7.85049,8.11176,9.1587,9.67064,10.77182,10.71922,11.5352,9.36923,10.04488,10.9471,11.37665,10.26055,10.80145,9.96173
1886-08-01,8.39849,8.20951,9.21064,9.60265,10.97475,10.93103,11.83092,9.79144,10.31818,11.06429,11.54997,10.34384,10.8531,10.24536
1886-09-01,5.8808,5.80074,7.26457,7.28627,9.22306,9.89346,10.41301,7.66619,8.03039,9.75538,9.91058,8.60127,8.89584,8.48219
1886-10-01,5.50845,5.07476,6.462,6.17356,7.654,7.86423,8.23294,6.58636,6.97817,7.7057,8.2233,7.58909,7.6493,7.05954
1886-11-01,1.98635,2.50234,3.2943,3.34358,2.89225,3.05368,3.21833,2.2473,3.24655,2.98789,3.91781,4.00901,3.46228,2.43304
1886-12-01,-3.6321,-3.35712,-1.8513,-0.27181,-1.26641,-1.44773,-0.84859,-2.11278,-1.71517,-1.06977,-0.22615,-0.59989,-1.03639,-1.80862
1887-01-01,-0.4913,0.28661,0.3812,0.5814,-1.78022,-1.67337,-1.17799,-0.97774,-0.95074,-1.65315,-0.28638,-0.38699,-1.39681,-1.67241
1887-02-01,0.00937,0.87433,0.95287,1.26168,-0.30869,-0.31568,0.30131,-0.30967,-0.18617,-0.17623,0.75871,-0.01077,-0.17131,-0.5722
1887-03-01,-0.55516,-0.33152,0.28678,1.12442,0.25588,0.10147,0.80721,-0.41974,-0.36486,-0.18616,-0.11084,-0.65094,-0.71036,0.18133
1887-04-01,0.34594,0.45835,0.94709,1.33365,1.42893,1.59605,1.92301,0.51573,0.84533,1.21233,1.11193,0.5759,0.96471,0.77911
1887-05-01,3.39288,3.799,4.67041,5.21714,4.89895,4.99167,5.79488,3.80289,4.43156,5.14488,5.90789,4.66655,4.99993,4.11753
1887-06-01,7.57178,7.74662,8.33818,9.99045,9.17609,9.09526,10.05774,8.45365,9.03354,9.13064,9.79092,8.90273,9.11374,8.62072
1887-07-01,9.21872,8.76625,10.10717,11.25195,11.54333,11.63463,12.31691,10.45096,10.96848,11.33572,11.70863,10.46701,11.05291,10.81965
1887-08-01,7.74457,8.3053,8.39237,9.67403,9.56431,10.0062,10.59027,8.58613,9.09088,9.98213,10.10077,8.83596,9.04385,9.00089
1887-09-01,5.72359,6.05274,6.37096,6.74851,7.17089,7.78672,8.2999,6.51962,6.96551,7.48799,7.86837,6.99612,7.01844,6.58778
1887-10-01,1.89647,2.94906,2.70773,4.2443,3.02621,3.3841,3.22296,2.59026,3.13907,2.63205,3.33633,2.96098,2.67152,2.65264
1887-11-01,0.24343,0.89295,1.10427,1.3287,1.51959,1.68196,2.222,1.09629,1.05153,1.64265,2.05348,1.12958,1.19768,1.13737
1887-12-01,-2.03237,-1.63356,-0.81332,0.22504,-0.37109,-0.40299,0.47756,-0.955,-0.68259,-0.20585,0.42046,-0.29361,-0.54509,-1.04991
1888-01-01,-0.26873,0.12627,0.99083,1.84719,-0.05536,-0.13433,0.43293,0.04674,0.16015,-0.36172,0.5303,0.0422,-0.20853,-0.38464
1888-02-01,-2.12171,-2.47959,-1.11437,-0.15908,-0.84081,-1.26599,-0.70919,-1.30245,-1.51742,-1.57695,-1.10723,-1.05276,-1.20438,-1.30501
1888-03-01,-2.39066,-2.13498,-1.14523,-0.40509,-0.26172,-0.13202,0.56138,-1.30077,-1.14316,-0.17818,0.20314,-0.74543,-0.37593,-1.02506
1888-04-01,0.61779,1.01282,1.72696,2.48083,2.01542,1.88167,2.46665,1.22836,1.78968,1.86808,2.53421,2.14102,2.2315,1.54782
