period-start,east scotland,north scotland,west scotland,northern ireland,east midlands,east of england,london,north east england,north west england,south east england,south west england,wales,west midlands,yorkshire and humber
01/01/1960,59.53739,69.10021,65.51902,47.9433,51.07823,28.30756,28.0615,47.36701,78.6775,45.7749,64.94273,98.43607,68.16566,59.85697
01/02/1960,68.3236,65.53726,91.03699,56.40234,39.91859,23.28104,20.86935,45.16492,68.66763,27.71715,42.00895,70.2476,33.39627,52.81834
01/03/1960,29.66956,28.09958,50.16083,33.85425,19.0671,22.69998,21.07816,20.51871,30.89568,22.81854,27.0343,43.14698,17.47167,21.30399
01/04/1960,46.14832,62.10453,62.44093,36.64246,21.22751,22.03227,17.61294,16.56599,38.67096,20.94712,43.70087,56.95752,26.35334,22.26761
01/05/1960,41.61775,19.03041,30.84177,25.72154,24.86985,15.98717,27.36491,43.06017,38.30899,25.71414,36.28592,34.37921,32.86102,26.39862
01/06/1960,29.52515,43.99036,40.47021,36.41873,23.51403,23.67809,18.95477,15.53407,27.3889,30.31893,29.74991,41.01328,35.94885,14.26717
01/07/1960,39.15902,36.35528,40.97758,51.52985,31.49684,27.60311,34.42535,53.14858,54.33025,33.29793,42.2405,44.66698,30.35402,48.39027
01/08/1960,60.87847,60.78925,52.79485,73.49364,36.17124,30.20403,44.20997,32.13676,49.60712,60.98973,53.30859,63.21489,40.22118,39.41972
01/09/1960,35.80366,34.14148,55.65122,37.22578,40.34975,45.91989,39.88475,27.39132,41.25248,37.84247,67.65733,51.98611,44.32156,39.16926
01/10/1960,60.17367,26.24627,44.55525,54.18285,42.79768,40.49352,50.97532,60.45669,34.00933,63.48816,94.17409,63.97852,48.42388,55.51977
01/11/1960,62.82717,42.81977,69.6313,40.09162,35.65843,45.86533,51.2596,36.18178,65.87193,67.22585,47.33652,75.34493,40.46203,55.23556
01/12/1960,50.28118,61.70989,92.18872,42.93501,43.60934,31.80401,27.79759,28.32957,61.65194,42.71972,62.37315,101.50244,45.59595,44.8379
01/01/1961,52.01195,58.3883,59.23613,41.93535,25.27496,22.47349,28.65825,44.26331,51.56011,46.46612,60.59635,62.62795,25.98739,36.55924
01/02/1961,39.65314,63.25781,67.70428,49.27336,21.72482,25.4513,33.99302,28.23027,47.53448,44.4852,53.08804,57.93126,29.74209,27.97224
01/03/1961,32.90692,51.32832,45.33106,29.15231,11.49467,19.67055,26.61549,23.14625,30.67756,27.95821,25.45705,26.48466,13.39799,15.10789
01/04/1961,36.10836,34.01742,54.16554,53.00808,29.91631,21.40726,19.17972,32.07294,42.46769,30.19786,45.11621,53.53636,38.19406,30.32652
01/05/1961,28.8876,39.30615,40.82995,37.88002,16.63754,20.96898,30.10717,29.59784,40.5727,25.05528,23.25263,50.52859,24.46454,33.67018
01/06/1961,20.42684,39.21072,29.06404,22.76216,17.26686,20.43979,26.50925,36.94004,32.81144,24.77812,20.55234,28.84586,19.94385,31.71456
01/07/1961,68.09523,54.19061,56.95965,50.46651,37.51801,28.68875,26.07485,61.91391,68.79997,32.94194,34.68985,62.35568,39.61025,52.3143
01/08/1961,63.20588,56.51627,73.91765,33.94023,29.97008,24.03106,22.65814,45.07136,57.02694,17.14421,47.99089,56.70106,26.04397,32.93704
01/09/1961,47.6699,62.22334,81.76876,46.18714,23.52747,27.75604,31.69346,24.60032,47.42174,29.92954,38.45574,52.38455,24.60865,34.03323
01/10/1961,69.63332,75.24909,85.71164,53.36993,24.97395,39.52461,36.86929,44.26821,62.33794,52.99608,56.1725,73.52644,30.32618,40.54517
01/11/1961,31.1089,54.05039,49.12711,30.92381,21.02947,27.32227,34.88287,17.79456,36.3189,35.5593,26.16043,47.15472,17.7759,21.35792
01/12/1961,49.96789,53.6526,65.38002,50.68569,37.32789,37.22893,43.71441,36.26384,58.92637,42.96013,48.90068,73.61124,38.17601,37.37274
01/01/1962,64.56378,70.52123,85.96393,40.14884,35.1334,37.09973,43.4488,30.76896,51.52156,45.15455,56.07154,61.52062,32.07399,34.04313
01/02/1962,42.03216,86.62603,67.79619,28.72593,14.81643,12.02561,8.87159,22.50713,44.59852,10.51026,16.0512,36.84651,12.99834,23.68746
01/03/1962,28.49158,34.25986,38.97215,26.53,14.30556,17.21515,20.60818,20.54597,27.94919,19.88435,28.20946,35.84021,17.01471,16.53787
01/04/1962,39.16914,49.76983,63.4479,33.45488,25.85702,22.01927,21.70541,36.79342,58.63762,23.04259,27.16933,61.65188,27.21513,34.55628
01/05/1962,26.20591,70.97271,33.28965,29.53782,22.75689,17.23556,14.22962,31.45322,39.08895,19.98215,27.40753,41.13192,23.62711,31.20232
01/06/1962,26.89551,59.36811,46.63561,23.61667,3.78804,3.51523,4.47062,11.79585,23.72251,5.01179,7.05022,26.27281,7.00413,9.73409
01/07/1962,47.92469,33.01816,46.39177,26.61447,23.58849,40.55601,38.96452,34.26808,30.37284,24.44071,22.21288,30.32856,27.58008,31.93835
01/08/1962,48.4788,73.28043,70.78344,39.70868,39.99545,21.44679,27.73106,33.25365,71.81266,42.54878,53.66111,58.89479,48.23961,47.22081
01/09/1962,68.60263,43.75123,91.59228,76.60608,30.80638,26.4336,36.11418,49.90992,57.95698,46.91665,50.49856,68.50561,34.87028,32.00547
01/10/1962,54.31716,60.59239,67.48513,52.08449,29.18016,28.27847,37.62077,27.33185,52.65213,51.37616,51.19463,65.04341,30.90787,29.72214
01/11/1962,48.72329,44.49229,54.57288,47.19582,23.60905,23.82307,19.47023,38.90509,53.74898,39.01811,42.63906,52.94846,24.4533,31.31269
01/12/1962,48.36031,81.15347,74.26074,58.42419,17.975,18.54978,28.03371,28.20903,50.67082,28.86393,38.50176,50.21038,20.75511,26.34925
01/01/1963,25.46024,17.5604,11.45633,21.6008,15.40447,15.32045,22.6284,30.44685,11.26148,25.08469,37.6439,16.88354,16.89039,19.67213
01/02/1963,32.64913,16.15512,23.58389,43.44508,7.61673,8.60111,7.44079,25.36956,13.55549,10.52264,32.42279,24.54327,12.65493,14.757
01/03/1963,52.33413,43.43186,76.55778,48.72116,27.94073,30.04618,30.44151,23.73486,46.9535,40.64131,51.24371,63.59486,26.93035,26.82743
01/04/1963,37.35843,33.81677,43.30745,32.60013,27.12336,21.696,17.83276,24.05362,43.04653,28.75315,42.21928,49.38039,23.96026,26.51465
01/05/1963,30.03221,47.26317,47.49498,34.0774,15.20212,22.6175,21.26006,19.57822,30.13212,21.34505,21.02982,33.22885,17.32708,15.99288
01/06/1963,42.74226,46.86699,43.25374,39.9671,27.89741,22.78999,23.63524,44.28583,44.60298,26.85802,35.80055,46.83855,28.6484,50.77853
01/07/1963,31.17026,36.12574,36.0294,28.23367,32.05968,35.43526,27.8945,38.77919,37.86375,27.60846,41.06957,37.1489,29.93363,53.15565
01/08/1963,50.83836,51.14657,44.95231,37.19446,36.43237,32.43548,23.62936,47.72431,42.24605,32.08156,35.77932,40.1004,19.61155,41.15934
01/09/1963,62.33241,61.71671,65.6655,36.1781,35.04107,26.10698,36.21957,37.31695,63.41456,44.09607,40.70935,48.15999,27.6425,32.76862
01/10/1963,33.51474,59.08449,58.01286,41.17885,18.01816,17.13269,15.21948,21.37746,46.46858,20.45383,26.56709,29.96498,20.55114,24.08759
01/11/1963,63.7251,52.07252,90.69803,61.69232,36.00592,38.10692,49.79275,51.89375,68.73152,62.91651,71.95583,81.49933,40.82789,48.74065
01/12/1963,31.02598,42.71483,36.3788,18.65013,12.7339,11.68259,13.7834,20.68039,26.35217,17.31333,20.99431,23.38962,11.43066,17.21063
01/01/1964,25.76454,53.57933,54.54983,29.98294,14.30228,12.39275,11.31716,16.24766,36.5542,11.84626,14.3437,26.16413,9.65444,17.66211
01/02/1964,29.76289,61.21344,42.60295,27.26086,10.86987,13.5037,11.34381,16.37211,26.8308,15.4656,25.44395,28.4232,13.46446,17.13342
01/03/1964,46.12175,20.1977,38.95963,43.2913,48.59586,42.8186,47.85093,38.34235,36.43494,56.3257,47.69008,42.91314,36.33695,47.19173
01/04/1964,38.18671,48.38323,35.99935,23.00046,24.8963,30.9176,37.2759,32.45487,31.34106,34.59657,27.91409,32.10503,24.08072,25.5898
01/05/1964,32.03974,59.74979,51.24375,31.21643,16.61327,17.46318,22.27638,16.26972,41.83063,26.19742,38.40884,35.52421,21.87552,18.92358
01/06/1964,34.57051,36.18197,50.13984,39.53255,29.48275,37.17065,53.10053,37.22889,41.04283,46.65751,38.67052,34.06881,36.75559,30.65258
01/07/1964,27.02539,68.6888,57.83606,25.28171,19.31869,17.08357,17.49746,26.1291,50.1884,17.59776,27.35785,60.28336,21.0845,32.9011
01/08/1964,58.81453,76.46078,74.52708,49.46494,27.71652,14.68148,22.68911,38.92308,43.49542,19.19349,22.1587,40.07812,21.19137,29.19433
01/09/1964,38.80646,64.67263,64.67427,31.65308,11.62775,9.4139,9.95759,22.99877,34.58185,14.90722,26.01036,32.48571,12.51409,15.6134
01/10/1964,35.68207,45.58838,75.30492,76.31383,15.59517,18.05801,15.41114,21.69554,64.16327,28.84695,54.70325,56.82025,23.8798,22.05819
