period-start,east scotland,north scotland,west scotland,northern ireland,east midlands,east of england,london,north east england,north west england,south east england,south west england,wales,west midlands,yorkshire and humber
01/01/1960,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/02/1960,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/03/1960,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/04/1960,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/05/1960,0,0.00057,0,0,0.00038,0.00073,0,0,0,0,0,0.00024,0,0.01245
01/06/1960,0.37168,1.12775,1.70199,0.01961,5.60354,3.64767,6.12249,0.92741,4.54815,4.49356,2.57267,2.60519,6.43449,3.08934
01/07/1960,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/08/1960,0.00318,0.00009,0.01326,0,0.00006,0.0545,0,0,0,0.00021,0.00134,0,0,0.00078
01/09/1960,0,0,0,0,0,0.00407,0.00063,0,0,0,0,0,0,0.00136
01/10/1960,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/11/1960,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/12/1960,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/1961,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/02/1961,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/03/1961,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/04/1961,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/05/1961,0,0,0,0,0.00032,0,0,0,0,0,0,0,0,0.00143
01/06/1961,0.00114,0,0,0,3.48599,4.60469,4.93781,0.38026,0.46026,2.81069,0.72739,0.35852,2.23389,1.4777
01/07/1961,0.00057,0,0,0,0.9645,2.7552,2.94221,0,0.06111,1.35836,0.72429,0.19381,0.77826,0.23561
01/08/1961,0.38489,0.3355,0.18382,0,1.34574,2.48104,3.38317,0.55528,0.89594,2.56436,1.04955,0.94666,1.35015,0.95209
01/09/1961,0.00232,0,0.00553,0,1.80519,2.50034,2.78832,0.18908,1.51692,1.77663,1.14236,1.81857,1.93426,0.37967
01/10/1961,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/11/1961,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/12/1961,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/1962,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/02/1962,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/03/1962,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/04/1962,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/05/1962,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/06/1962,0.01859,0.00107,0.00034,0.0005,0.04579,0.18717,0.58291,0.00151,0.00961,0.04866,0.00071,0.00072,0.01615,0.06924
