period-start,east scotland,north scotland,west scotland,northern ireland,east midlands,east of england,london,north east england,north west england,south east england,south west england,wales,west midlands,yorkshire and humber
01/01/1960,1.26928,1.54304,0.26929,0.00611,0.78888,0.55875,0.27198,0.65726,0.4455,0.96165,0.26724,0.30325,0.57281,0.57378
01/02/1960,4.63835,5.80246,1.66941,0.17437,0.18809,0,0,2.15552,1.0503,0.00026,0.07894,0.86305,0.18814,0.89951
01/03/1960,0.57896,0.24843,0.06654,0.00352,0.04547,0,0,0.27724,0.16524,0,0,0.03696,0.01907,0.16727
01/04/1960,0.00954,0.00675,0,0,0,0,0,0,0,0,0,0,0,0
01/05/1960,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/06/1960,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/07/1960,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/08/1960,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/1960,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/1960,0.0022,0.00143,0,0,0,0,0,0,0,0,0,0,0,0
01/11/1960,0.05161,0.07444,0.00039,0,0,0,0,0.00023,0,0,0,0.00005,0,0
01/12/1960,1.84066,1.98012,0.49229,0.05058,0.00013,0.00323,0,0.08281,0.07255,0,0,0.02593,0.00046,0.00648
01/01/1961,1.37066,1.55224,0.21855,0.00855,0.09433,0.00146,0.00126,0.46051,0.29742,0.02077,0.06569,0.49904,0.15762,0.28183
01/02/1961,0.36218,0.47809,0.0273,0.00022,0.00026,0,0,0.0115,0.01258,0,0,0.00053,0,0.00078
01/03/1961,0.02205,0.03868,0.00103,0,0,0,0,0,0,0,0,0.00014,0,0
01/04/1961,0.08585,0.10575,0.00656,0.00007,0,0,0,0.00012,0.00064,0,0,0.00005,0,0
01/05/1961,0.00179,0.00182,0,0,0,0,0,0,0,0,0,0,0,0
01/06/1961,0.0002,0.00015,0,0,0,0,0,0,0,0,0,0,0,0
01/07/1961,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/08/1961,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/1961,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/1961,0.00436,0.00418,0,0,0,0,0,0,0,0,0,0,0,0
01/11/1961,0.46882,0.60713,0.02613,0,0,0,0,0.00256,0.00155,0,0,0.00029,0,0
01/12/1961,7.36626,6.71106,4.78473,0.9995,3.90196,1.17199,0.2858,3.86655,4.12102,2.09183,2.59069,4.15271,5.80348,4.1947
01/01/1962,0.62204,0.51454,0.13342,0.00654,1.08397,1.12548,1.02198,0.58118,0.63179,1.49958,0.77543,0.67381,1.73212,0.33746
01/02/1962,1.34836,0.98051,0.38402,0.03736,0.59229,0.30941,0.20791,0.8043,0.70293,0.68182,0.86628,1.30339,0.90597,0.75707
01/03/1962,2.24588,2.77404,0.49308,0.0523,0.09977,0,0,1.28479,0.73868,0.00005,0.02763,0.3671,0.05951,0.52879
01/04/1962,0.22962,0.30401,0.03038,0,0,0,0,0.00918,0.02232,0,0,0.00578,0,0.00039
01/05/1962,0.0042,0.0077,0,0,0,0,0,0,0,0,0,0,0,0
01/06/1962,0.00024,0.00078,0,0,0,0,0,0,0,0,0,0,0,0
01/07/1962,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/08/1962,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/1962,0.00029,0.0003,0,0,0,0,0,0,0,0,0,0,0,0
01/10/1962,0.02906,0.02922,0.00049,0,0,0,0,0,0.00057,0,0,0.00014,0,0
01/11/1962,1.91505,1.75861,0.74319,0.01114,0.04752,0,0,1.16504,0.50774,0,0.00247,0.16663,0.03145,0.38096
01/12/1962,3.33683,3.00889,1.92881,0.26151,5.52616,2.52443,2.34422,3.70987,3.13939,4.32231,4.13653,4.9722,7.26703,4.18439
01/01/1963,10.78269,8.98355,5.77465,1.77161,12.63315,13.75379,12.78266,8.86957,9.20141,15.90911,15.54768,15.27935,15.86522,9.98716
01/02/1963,8.05907,4.86684,4.15886,0.63611,6.52264,5.67405,2.98178,7.26249,5.16446,5.34675,4.3712,7.10433,7.02391,7.54253
01/03/1963,0.14748,0.0523,0.01184,0.00014,0.00122,0,0,0.03879,0.02395,0,0,0.00096,0,0.01906
01/04/1963,0.15143,0.15056,0.01595,0.00007,0,0,0,0.01231,0.01823,0,0,0.00564,0,0
01/05/1963,0.0033,0.00707,0.00005,0,0,0,0,0,0,0,0,0,0,0
01/06/1963,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/07/1963,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/08/1963,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/1963,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/1963,0,0.00006,0,0,0,0,0,0,0,0,0,0,0,0
01/11/1963,0.25734,0.33204,0.02534,0,0,0,0,0.00012,0.00134,0,0,0.00005,0,0
01/12/1963,1.73973,2.01654,0.49733,0.0661,0.56485,0.00673,0.05214,1.12091,0.68916,0.27051,0.29021,0.53306,0.72259,0.63686
01/01/1964,0.47554,0.46994,0.06468,0.00007,0.07975,0.36329,0.04523,0.11684,0.10434,0.17089,0.37095,0.49118,0.18253,0.1049
01/02/1964,1.4519,0.94359,0.40119,0.05022,0.15963,0.00214,0.01068,1.08002,0.64027,0.02941,0.10732,1.1689,0.26718,0.69658
01/03/1964,1.36177,0.56991,0.26513,0.04964,0.13117,0,0,0.73995,0.6036,0.00434,0.04561,0.4295,0.0762,0.60276
01/04/1964,0.02776,0.02627,0.00064,0.00014,0,0,0,0.00244,0.00897,0,0.00025,0.00689,0,0
01/05/1964,0.00008,0.00054,0,0,0,0,0,0,0,0,0,0,0,0
01/06/1964,0.00004,0.00024,0,0,0,0,0,0,0,0,0,0,0,0
01/07/1964,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/08/1964,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/1964,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/1964,0.04101,0.05949,0.00152,0,0,0,0,0,0,0,0,0.0001,0,0
01/11/1964,0.31008,0.28007,0.02348,0,0.01087,0,0,0.06063,0.06775,0,0,0.00771,0.00454,0.04623
01/12/1964,2.81901,2.69041,0.91903,0.11114,0.92524,0.27359,0.02701,2.00697,0.97019,0.09104,0.05995,0.52737,0.68468,1.87902
01/01/1965,3.99878,4.22414,1.65776,0.19211,0.24565,0.00323,0,1.92474,1.11339,0.00821,0.2005,1.14688,0.29064,0.72744
01/02/1965,1.22827,1.58558,0.25843,0.00553,0.02763,0.00057,0.0044,0.28734,0.30307,0.01805,0.03328,0.28229,0.03568,0.12682
01/03/1965,3.17744,2.18787,1.49621,0.30613,0.61211,0.2122,0.09296,2.44065,1.47262,0.47797,0.47026,1.78161,1.20252,1.27918
01/04/1965,0.03465,0.07549,0.00152,0,0,0,0,0.00046,0.00155,0,0,0.00034,0,0
01/05/1965,0.00848,0.0069,0.00034,0,0,0,0,0,0,0,0,0.00005,0,0
01/06/1965,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/07/1965,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/08/1965,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/1965,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/1965,0.0002,0.00012,0,0,0,0,0,0,0,0,0,0,0,0
01/11/1965,3.19538,3.25079,0.85337,0.08794,0.34101,0.05179,0,1.50801,0.70618,0.12097,0.08703,0.52713,0.42342,0.44833
01/12/1965,2.72795,2.62892,0.77303,0.2118,0.4599,0.48297,0.04083,1.39593,0.54306,0.27538,0.23676,0.16379,0.71359,0.43361
01/01/1966,4.78188,4.49827,2.54939,0.38365,2.77002,2.58868,2.4755,3.68293,2.74956,3.85266,3.25433,5.14018,3.84361,2.73723
01/02/1966,6.3343,4.58898,2.93297,0.3483,0.75806,0.04375,0,4.17619,2.20586,0.00774,0.04884,1.52747,0.6926,2.60762
01/03/1966,0.40779,0.58752,0.05328,0.00654,0.00262,0,0,0.00581,0.02317,0,0,0.01258,0.00123,0.00214
01/04/1966,1.34335,0.64381,0.20867,0.05015,0.05973,0,0,0.48513,0.39272,0.00047,0.02201,0.30412,0.04352,0.29214
01/05/1966,0.00114,0.00149,0,0,0,0,0,0,0,0,0,0,0,0
01/06/1966,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/07/1966,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/08/1966,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/1966,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/1966,0.01353,0.01161,0.00005,0,0,0,0,0,0,0,0,0.00005,0,0
01/11/1966,0.79924,0.84093,0.09086,0.00251,0.00045,0,0,0.064,0.04189,0,0,0.00564,0,0.01725
01/12/1966,1.49152,1.67936,0.30774,0.00718,0.01516,0,0,0.25819,0.15019,0,0,0.01426,0.00523,0.11884
01/01/1967,1.42577,1.63614,0.56828,0.01559,0.40848,0.8218,0.74686,0.89292,0.64097,0.8975,0.65844,0.70673,0.49331,0.60866
01/02/1967,0.47244,0.39472,0.05671,0.00072,0.02398,0,0,0.09199,0.10074,0,0,0.03629,0.01661,0.08772
01/03/1967,0.39406,0.56224,0.0409,0.00036,0,0,0,0.01429,0.04281,0,0,0.00911,0,0
01/04/1967,0.06151,0.10241,0.00504,0,0,0,0,0.00383,0.00523,0,0,0.0079,0,0
01/05/1967,0.02633,0.02695,0.00044,0,0,0,0,0.00023,0.00148,0,0,0.00159,0,0
01/06/1967,0,0.00015,0,0,0,0,0,0,0,0,0,0,0,0
01/07/1967,0,0.00003,0,0,0,0,0,0,0,0,0,0,0,0
01/08/1967,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/1967,0,0,0,0,0,0,0,0,0,0,0,0,0,0
