period-start,east scotland,north scotland,west scotland,northern ireland,east midlands,east of england,london,north east england,north west england,south east england,south west england,wales,west midlands,yorkshire and humber
1862-01-01,153.13891,180.65813,219.32553,148.94566,42.02082,35.42503,48.36752,94.65429,118.27044,67.35781,87.84227,115.64021,53.03115,58.94035
1862-02-01,51.9433,64.10465,66.31298,38.63077,17.29661,10.4519,9.58674,48.60144,40.3263,13.56926,24.79223,20.235,9.01679,34.1738
1862-03-01,87.82945,88.89273,119.38431,97.48285,90.02105,91.60214,106.52037,91.97087,94.31765,129.7574,126.97543,113.67358,78.1667,95.70953
1862-04-01,72.09842,112.47354,133.34687,93.13464,44.22901,45.27856,63.94565,69.79869,115.58277,62.26094,76.82621,109.03809,54.72399,54.83264
1862-05-01,105.28182,107.98591,127.19532,103.97593,79.21622,73.654,89.00487,79.26026,102.76664,102.7346,72.79355,102.76524,89.04607,76.80752
1862-06-01,104.06905,134.44685,122.61271,85.40728,54.38742,55.88327,63.04754,91.9594,131.68734,66.62653,78.57689,109.62403,53.34923,75.84208
1862-07-01,100.95888,132.32142,182.00884,122.28858,58.13195,56.71115,62.68705,89.80381,133.50651,63.61533,69.44288,117.65824,62.59164,86.92778
1862-08-01,96.22729,112.11562,110.84096,71.484,54.82874,73.8504,69.13246,86.28163,104.23007,57.40727,55.01212,96.21267,63.37485,59.52871
1862-09-01,56.17947,66.26684,76.20551,55.09364,86.69205,53.15294,61.43565,69.1025,98.93741,58.52996,75.99725,95.71431,77.45185,94.58131
1862-10-01,164.12005,242.49836,276.96823,151.49819,72.80554,62.99344,89.29306,118.73143,227.19997,128.37763,146.79984,201.56441,85.39215,94.71741
1862-11-01,53.91158,127.37257,84.74418,64.49318,24.99909,30.93118,26.78181,37.16674,43.6021,26.92477,33.58609,50.92673,22.03457,31.81093
1862-12-01,143.57398,209.58485,246.67252,118.59803,40.16984,41.11658,45.07808,98.38303,169.61493,59.18618,74.27904,145.17638,48.48931,68.11821
1863-01-01,169.54214,263.28475,236.57543,107.3383,84.54995,65.16635,69.11211,114.81729,164.41207,92.32016,111.98131,171.84559,82.73728,114.31552
1863-02-01,62.60688,135.91816,117.75866,36.93452,12.98714,15.28593,18.77322,24.56004,45.8775,23.48155,30.04024,48.24224,16.93266,22.66351
1863-03-01,42.78206,72.87796,74.90664,54.14122,20.64301,24.08753,20.79036,43.63947,41.0332,24.3744,53.96324,68.66798,26.16403,31.63889
1863-04-01,87.68522,150.68339,122.04558,61.83749,29.34226,17.18604,9.05733,36.61384,58.42864,18.67925,49.55334,62.5821,29.82513,31.48834
1863-05-01,52.24937,64.17568,81.57978,66.22329,23.71583,26.13185,37.26022,44.95292,58.6799,42.59781,52.52494,59.37436,29.33027,34.89062
1863-06-01,83.33842,98.01177,126.66566,131.19603,81.72602,73.34339,117.46126,104.30477,119.6864,106.80123,114.66736,140.48042,100.39089,67.92343
1863-07-01,17.31621,15.0413,24.21727,11.61641,32.98725,22.43671,21.54396,25.02208,41.38399,17.99407,29.56931,29.89022,27.96133,49.96734
1863-08-01,126.08943,183.51817,136.47599,109.47692,68.09066,43.19423,37.65607,87.86655,124.21692,53.83676,96.42315,138.98254,73.096,99.76561
