Label,Notation,Parent Notation,Sort Priority,Description
http://business.data.gov.uk/companies/def/sic-2007/01,http-//business-data-gov-uk/companies/def/sic-2007/01,,0,
http://business.data.gov.uk/companies/def/sic-2007/02,http-//business-data-gov-uk/companies/def/sic-2007/02,,1,
http://business.data.gov.uk/companies/def/sic-2007/03,http-//business-data-gov-uk/companies/def/sic-2007/03,,2,
http://business.data.gov.uk/companies/def/sic-2007/05,http-//business-data-gov-uk/companies/def/sic-2007/05,,3,
http://business.data.gov.uk/companies/def/sic-2007/06,http-//business-data-gov-uk/companies/def/sic-2007/06,,4,
http://business.data.gov.uk/companies/def/sic-2007/07,http-//business-data-gov-uk/companies/def/sic-2007/07,,5,
http://business.data.gov.uk/companies/def/sic-2007/08,http-//business-data-gov-uk/companies/def/sic-2007/08,,6,
http://business.data.gov.uk/companies/def/sic-2007/09,http-//business-data-gov-uk/companies/def/sic-2007/09,,7,
http://business.data.gov.uk/companies/def/sic-2007/100,http-//business-data-gov-uk/companies/def/sic-2007/100,,8,
http://business.data.gov.uk/companies/def/sic-2007/101,http-//business-data-gov-uk/companies/def/sic-2007/101,,9,
http://business.data.gov.uk/companies/def/sic-2007/12,http-//business-data-gov-uk/companies/def/sic-2007/12,,10,
http://business.data.gov.uk/companies/def/sic-2007/13,http-//business-data-gov-uk/companies/def/sic-2007/13,,11,
http://business.data.gov.uk/companies/def/sic-2007/14,http-//business-data-gov-uk/companies/def/sic-2007/14,,12,
http://business.data.gov.uk/companies/def/sic-2007/15,http-//business-data-gov-uk/companies/def/sic-2007/15,,13,
http://business.data.gov.uk/companies/def/sic-2007/16,http-//business-data-gov-uk/companies/def/sic-2007/16,,14,
http://business.data.gov.uk/companies/def/sic-2007/17,http-//business-data-gov-uk/companies/def/sic-2007/17,,15,
http://business.data.gov.uk/companies/def/sic-2007/18,http-//business-data-gov-uk/companies/def/sic-2007/18,,16,
http://business.data.gov.uk/companies/def/sic-2007/21,http-//business-data-gov-uk/companies/def/sic-2007/21,,17,
http://business.data.gov.uk/companies/def/sic-2007/26,http-//business-data-gov-uk/companies/def/sic-2007/26,,18,
http://business.data.gov.uk/companies/def/sic-2007/27,http-//business-data-gov-uk/companies/def/sic-2007/27,,19,
http://business.data.gov.uk/companies/def/sic-2007/28,http-//business-data-gov-uk/companies/def/sic-2007/28,,20,
http://business.data.gov.uk/companies/def/sic-2007/29,http-//business-data-gov-uk/companies/def/sic-2007/29,,21,
http://business.data.gov.uk/companies/def/sic-2007/31,http-//business-data-gov-uk/companies/def/sic-2007/31,,22,
http://business.data.gov.uk/companies/def/sic-2007/32,http-//business-data-gov-uk/companies/def/sic-2007/32,,23,
http://business.data.gov.uk/companies/def/sic-2007/36,http-//business-data-gov-uk/companies/def/sic-2007/36,,24,
http://business.data.gov.uk/companies/def/sic-2007/37,http-//business-data-gov-uk/companies/def/sic-2007/37,,25,
http://business.data.gov.uk/companies/def/sic-2007/38,http-//business-data-gov-uk/companies/def/sic-2007/38,,26,
http://business.data.gov.uk/companies/def/sic-2007/39,http-//business-data-gov-uk/companies/def/sic-2007/39,,27,
http://business.data.gov.uk/companies/def/sic-2007/41,http-//business-data-gov-uk/companies/def/sic-2007/41,,28,
http://business.data.gov.uk/companies/def/sic-2007/42,http-//business-data-gov-uk/companies/def/sic-2007/42,,29,
http://business.data.gov.uk/companies/def/sic-2007/43,http-//business-data-gov-uk/companies/def/sic-2007/43,,30,
http://business.data.gov.uk/companies/def/sic-2007/45,http-//business-data-gov-uk/companies/def/sic-2007/45,,31,
http://business.data.gov.uk/companies/def/sic-2007/46,http-//business-data-gov-uk/companies/def/sic-2007/46,,32,
http://business.data.gov.uk/companies/def/sic-2007/47,http-//business-data-gov-uk/companies/def/sic-2007/47,,33,
http://business.data.gov.uk/companies/def/sic-2007/50,http-//business-data-gov-uk/companies/def/sic-2007/50,,34,
http://business.data.gov.uk/companies/def/sic-2007/51,http-//business-data-gov-uk/companies/def/sic-2007/51,,35,
http://business.data.gov.uk/companies/def/sic-2007/52,http-//business-data-gov-uk/companies/def/sic-2007/52,,36,
http://business.data.gov.uk/companies/def/sic-2007/53,http-//business-data-gov-uk/companies/def/sic-2007/53,,37,
http://business.data.gov.uk/companies/def/sic-2007/55,http-//business-data-gov-uk/companies/def/sic-2007/55,,38,
http://business.data.gov.uk/companies/def/sic-2007/56,http-//business-data-gov-uk/companies/def/sic-2007/56,,39,
http://business.data.gov.uk/companies/def/sic-2007/58,http-//business-data-gov-uk/companies/def/sic-2007/58,,40,
http://business.data.gov.uk/companies/def/sic-2007/59,http-//business-data-gov-uk/companies/def/sic-2007/59,,41,
http://business.data.gov.uk/companies/def/sic-2007/60,http-//business-data-gov-uk/companies/def/sic-2007/60,,42,
http://business.data.gov.uk/companies/def/sic-2007/61,http-//business-data-gov-uk/companies/def/sic-2007/61,,43,
http://business.data.gov.uk/companies/def/sic-2007/62,http-//business-data-gov-uk/companies/def/sic-2007/62,,44,
http://business.data.gov.uk/companies/def/sic-2007/63,http-//business-data-gov-uk/companies/def/sic-2007/63,,45,
http://business.data.gov.uk/companies/def/sic-2007/64,http-//business-data-gov-uk/companies/def/sic-2007/64,,46,
http://business.data.gov.uk/companies/def/sic-2007/66,http-//business-data-gov-uk/companies/def/sic-2007/66,,47,
http://business.data.gov.uk/companies/def/sic-2007/70,http-//business-data-gov-uk/companies/def/sic-2007/70,,48,
http://business.data.gov.uk/companies/def/sic-2007/71,http-//business-data-gov-uk/companies/def/sic-2007/71,,49,
http://business.data.gov.uk/companies/def/sic-2007/72,http-//business-data-gov-uk/companies/def/sic-2007/72,,50,
http://business.data.gov.uk/companies/def/sic-2007/73,http-//business-data-gov-uk/companies/def/sic-2007/73,,51,
http://business.data.gov.uk/companies/def/sic-2007/74,http-//business-data-gov-uk/companies/def/sic-2007/74,,52,
http://business.data.gov.uk/companies/def/sic-2007/75,http-//business-data-gov-uk/companies/def/sic-2007/75,,53,
http://business.data.gov.uk/companies/def/sic-2007/77,http-//business-data-gov-uk/companies/def/sic-2007/77,,54,
http://business.data.gov.uk/companies/def/sic-2007/78,http-//business-data-gov-uk/companies/def/sic-2007/78,,55,
http://business.data.gov.uk/companies/def/sic-2007/79,http-//business-data-gov-uk/companies/def/sic-2007/79,,56,
http://business.data.gov.uk/companies/def/sic-2007/80,http-//business-data-gov-uk/companies/def/sic-2007/80,,57,
http://business.data.gov.uk/companies/def/sic-2007/81,http-//business-data-gov-uk/companies/def/sic-2007/81,,58,
http://business.data.gov.uk/companies/def/sic-2007/82,http-//business-data-gov-uk/companies/def/sic-2007/82,,59,
http://business.data.gov.uk/companies/def/sic-2007/85,http-//business-data-gov-uk/companies/def/sic-2007/85,,60,
http://business.data.gov.uk/companies/def/sic-2007/86,http-//business-data-gov-uk/companies/def/sic-2007/86,,61,
