Label,URI,Parent URI,Sort Priority,Description,Local Notation
"Products of agriculture, hunting and related services",http-//business-data-gov-uk/companies/def/sic-2007/01,http://business.data.gov.uk/companies/def/sic-2007/A,,,1
"Products of forestry, logging and related services",http-//business-data-gov-uk/companies/def/sic-2007/02,http://business.data.gov.uk/companies/def/sic-2007/A,,,2
Fish and other fishing products; aquaculture products; support services to fishing,http-//business-data-gov-uk/companies/def/sic-2007/03,http://business.data.gov.uk/companies/def/sic-2007/A,,,3
Mining of coal and lignite,http-//business-data-gov-uk/companies/def/sic-2007/05,http://business.data.gov.uk/companies/def/sic-2007/B,,,5
Crude petroleum and natural gas,http-//business-data-gov-uk/companies/def/sic-2007/06,http://business.data.gov.uk/companies/def/sic-2007/B,,,6
Mining of metal ores,http-//business-data-gov-uk/companies/def/sic-2007/07,http://business.data.gov.uk/companies/def/sic-2007/B,,,7
Other mining and quarrying products,http-//business-data-gov-uk/companies/def/sic-2007/08,http://business.data.gov.uk/companies/def/sic-2007/B,,,8
Mining support services,http-//business-data-gov-uk/companies/def/sic-2007/09,http://business.data.gov.uk/companies/def/sic-2007/B,,,9
Processing and preserving of meat and production of meat products,http-//gss-data-org-uk/data/gss_data/climate-change/ons-atmospheric-emissions-other-pollutants-by-industry-and-gas-concept/sic-2007/10-1,http://business.data.gov.uk/companies/def/sic-2007/C,,,10-1
"Processing and preserving of fish, crustaceans, molluscs, fruit and vegetables",http-//gss-data-org-uk/data/gss_data/climate-change/ons-atmospheric-emissions-other-pollutants-by-industry-and-gas-concept/sic-2007/10-2-3,http://business.data.gov.uk/companies/def/sic-2007/C,,,10-2-3
Manufacture of vegetable and animal oils and fats,http-//gss-data-org-uk/data/gss_data/climate-change/ons-atmospheric-emissions-other-pollutants-by-industry-and-gas-concept/sic-2007/10-4,http://business.data.gov.uk/companies/def/sic-2007/C,,,10-4
Manufacture of dairy products,http-//gss-data-org-uk/data/gss_data/climate-change/ons-atmospheric-emissions-other-pollutants-by-industry-and-gas-concept/sic-2007/10-5,http://business.data.gov.uk/companies/def/sic-2007/C,,,10-5
"Manufacture of grain mill products, starches and starch products",http-//gss-data-org-uk/data/gss_data/climate-change/ons-atmospheric-emissions-other-pollutants-by-industry-and-gas-concept/sic-2007/10-6,http://business.data.gov.uk/companies/def/sic-2007/C,,,10-6
Manufacture of bakery and farinaceous products,http-//gss-data-org-uk/data/gss_data/climate-change/ons-atmospheric-emissions-other-pollutants-by-industry-and-gas-concept/sic-2007/10-7,http://business.data.gov.uk/companies/def/sic-2007/C,,,10-7
Manufacture of other food products,http-//gss-data-org-uk/data/gss_data/climate-change/ons-atmospheric-emissions-other-pollutants-by-industry-and-gas-concept/sic-2007/10-8,http://business.data.gov.uk/companies/def/sic-2007/C,,,10-8
Manufacture of prepared animal feeds,http-//gss-data-org-uk/data/gss_data/climate-change/ons-atmospheric-emissions-other-pollutants-by-industry-and-gas-concept/sic-2007/10-9,http://business.data.gov.uk/companies/def/sic-2007/C,,,10-9
"Manufacture of alcoholic beverages, including spirits, wine, cider, beer and malt",http-//gss-data-org-uk/data/gss_data/climate-change/ons-atmospheric-emissions-other-pollutants-by-industry-and-gas-concept/sic-2007/11-01-06,http://business.data.gov.uk/companies/def/sic-2007/C,,,11-01-06
Manufacture of soft drinks: production of mineral waters and other bottled waters,http-//gss-data-org-uk/data/gss_data/climate-change/ons-atmospheric-emissions-other-pollutants-by-industry-and-gas-concept/sic-2007/11-07,http://business.data.gov.uk/companies/def/sic-2007/C,,,11-07
Tobacco products,http-//business-data-gov-uk/companies/def/sic-2007/12,http://business.data.gov.uk/companies/def/sic-2007/C,,,12
Textiles,http-//business-data-gov-uk/companies/def/sic-2007/13,http://business.data.gov.uk/companies/def/sic-2007/C,,,13
Wearing apparel,http-//business-data-gov-uk/companies/def/sic-2007/14,http://business.data.gov.uk/companies/def/sic-2007/C,,,14
Leather and related products,http-//business-data-gov-uk/companies/def/sic-2007/15,http://business.data.gov.uk/companies/def/sic-2007/C,,,15
"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",http-//business-data-gov-uk/companies/def/sic-2007/16,http://business.data.gov.uk/companies/def/sic-2007/C,,,16
Paper and paper products,http-//business-data-gov-uk/companies/def/sic-2007/17,http://business.data.gov.uk/companies/def/sic-2007/C,,,17
Printing and recording services,http-//business-data-gov-uk/companies/def/sic-2007/18,http://business.data.gov.uk/companies/def/sic-2007/C,,,18
Manufacture of coke oven products,http-//gss-data-org-uk/data/gss_data/climate-change/ons-atmospheric-emissions-other-pollutants-by-industry-and-gas-concept/sic-2007/19-1,http://business.data.gov.uk/companies/def/sic-2007/C,,,19-1
Manufacture of refined petroleum products,http-//gss-data-org-uk/data/gss_data/climate-change/ons-atmospheric-emissions-other-pollutants-by-industry-and-gas-concept/sic-2007/19-2,http://business.data.gov.uk/companies/def/sic-2007/C,,,19-2
Manufacture of industrial gases and non nitrogen based inorganic chemicals,http-//gss-data-org-uk/data/gss_data/climate-change/ons-atmospheric-emissions-other-pollutants-by-industry-and-gas-concept/sic-2007/20-11-20-13,http://business.data.gov.uk/companies/def/sic-2007/C,,,20-11-20-13
Fertilisers,http-//gss-data-org-uk/data/gss_data/climate-change/ons-atmospheric-emissions-other-pollutants-by-industry-and-gas-concept/sic-2007/20-15-/1,http://business.data.gov.uk/companies/def/sic-2007/C,,,20-15-/1
Other nitrogen compounds,http-//gss-data-org-uk/data/gss_data/climate-change/ons-atmospheric-emissions-other-pollutants-by-industry-and-gas-concept/sic-2007/20-15-/2,http://business.data.gov.uk/companies/def/sic-2007/C,,,20-15-/2
Manufacture of petrochemicals,http-//gss-data-org-uk/data/gss_data/climate-change/ons-atmospheric-emissions-other-pollutants-by-industry-and-gas-concept/sic-2007/20-14-20-16-20-17-20-6,http://business.data.gov.uk/companies/def/sic-2007/C,,,20-14-20-16-20-17-20-6
"Manufacture of dyestuffs, agro chemicals",http-//gss-data-org-uk/data/gss_data/climate-change/ons-atmospheric-emissions-other-pollutants-by-industry-and-gas-concept/sic-2007/20-12-20-2,http://business.data.gov.uk/companies/def/sic-2007/C,,,20-12-20-2
"Manufacture of paints, varnishes & ink",http-//gss-data-org-uk/data/gss_data/climate-change/ons-atmospheric-emissions-other-pollutants-by-industry-and-gas-concept/sic-2007/20-3,http://business.data.gov.uk/companies/def/sic-2007/C,,,20-3
Manufacture of cleaning & toilet preparations,http-//gss-data-org-uk/data/gss_data/climate-change/ons-atmospheric-emissions-other-pollutants-by-industry-and-gas-concept/sic-2007/20-4,http://business.data.gov.uk/companies/def/sic-2007/C,,,20-4
Manufacture of other chemical products & man made fibres,http-//gss-data-org-uk/data/gss_data/climate-change/ons-atmospheric-emissions-other-pollutants-by-industry-and-gas-concept/sic-2007/20-5,http://business.data.gov.uk/companies/def/sic-2007/C,,,20-5
Basic pharmaceutical products and pharmaceutical preparations,http-//business-data-gov-uk/companies/def/sic-2007/21,http://business.data.gov.uk/companies/def/sic-2007/C,,,21
Rubber products,http-//gss-data-org-uk/data/gss_data/climate-change/ons-atmospheric-emissions-other-pollutants-by-industry-and-gas-concept/sic-2007/22-1,http://business.data.gov.uk/companies/def/sic-2007/C,,,22-1
Plastics products,http-//gss-data-org-uk/data/gss_data/climate-change/ons-atmospheric-emissions-other-pollutants-by-industry-and-gas-concept/sic-2007/22-2,http://business.data.gov.uk/companies/def/sic-2007/C,,,22-2
