Label,Notation,Parent Notation,Sort Priority
1A4ci,1a4ci,,1
2A1,2a1,,2
1A3d,1a3d,,3
1A1ci,1a1ci,,4
1B1b,1b1b,,5
1A1ciii,1a1ciii,,6
1B1a1i,1b1a1i,,7
1A4bi,1a4bi,,8
1A4ciii,1a4ciii,,9
1B2b5,1b2b5,,10
1B2b4,1b2b4,,11
1A2a,1a2a,,12
2C1d,2c1d,,13
5C1.2a,5c1.2a,,14
5A1a,5a1a,,15
1A2f,1a2f,,16
1A4ai,1a4ai,,17
1A1ai,1a1ai,,18
1B2c2i,1b2c2i,,19
1B2a2,1b2a2,,20
1A1cii,1a1cii,,21
1B1a2i,1b1a2i,,
1A2gviii,1a2gviii,,
1A1b,1a1b,,
5D1,5d1,,
2B10,2b10,,
1A4cii,1a4cii,,
1A5b,1a5b,,
1A3eii,1a3eii,,
1A2b,1a2b,,
1A4bii,1a4bii,,
2A3,2a3,,
1A2gvii,1a2gvii,,
2A4d,2a4d,,
2B3,2b3,,
2C3a,2c3a,,
2B1,2b1,,
2C1a,2c1a,,
3F5,3f5,,
3F12,3f12,,
3F11,3f11,,
3F14,3f14,,
2C1b,2c1b,,
2G2e,2g2e,,
2C4,2c4,,
1B2a3,1b2a3,,
2G1,2g1,,
2B9a1,2b9a1,,
2B9b3,2b9b3,,
2B2,2b2,,
1B1a1ii,1b1a1ii,,
1A3c,1a3c,,
1B2a4,1b2a4,,
1A3a,1a3a,,
2A2,2a2,,
2D2,2d2,,
2C3b,2c3b,,
5C1.1b,5c1.1b,,
5C1.2b,5c1.2b,,
2A4a,2a4a,,
1B2a1,1b2a1,,
1B2c1i,1b2c1i,,
5C2.2b,5c2.2b,,
2B6,2b6,,
2B8f,2b8f,,
2B8b,2b8b,,
2B8a,2b8a,,
2B7,2b7,,
2D1,2d1,,
2A4b,2a4b,,
1A3bi,1a3bi,,
1A3bii,1a3bii,,
1A3biii,1a3biii,,
1A3biv,1a3biv,,
1B1a1iii,1b1a1iii,,
4A1,4a1,,
4A2,4a2,,
4B1,4b1,,
4B2,4b2,,
4C1,4c1,,
4C2,4c2,,
4D1,4d1,,
4D2,4d2,,
4.00E+01,40,,
4.00E+02,400,,
4A,4a,,
2B8c,2b8c,,
1B2c2ii,1b2c2ii,,
1B2b3,1b2b3,,
1B2b1,1b2b1,,
1B2c1ii,1b2c1ii,,
4D,4d,,
1A2c,1a2c,,
2B8g,2b8g,,
1A2d,1a2d,,
1A2e,1a2e,,
5D2,5d2,,
2G3a,2g3a,,
2G2a,2g2a,,
2.00E+01,20,,
2G2b,2g2b,,
5B1a,5b1a,,
2B8d,2b8d,,
2B8e,2b8e,,
3G1,3g1,,
3G2,3g2,,
4C,4c,,
2C6,2c6,,
2G4,2g4,,
2G3b,2g3b,,
4G,4g,,
4,4,,
3D16,3d16,,
2F6b,2f6b,,
2F1e,2f1e,,
1A1aiii,1a1aiii,,
4E,4e,,
3D11,3d11,,
3D14,3d14,,
3D21,3d21,,
3D22,3d22,,
3A3,3a3,,
3A1a,3a1a,,
3A2,3a2,,
3A4,3a4,,
3A1b,3a1b,,
3B13,3b13,,
3B11a,3b11a,,
3B12,3b12,,
3B14,3b14,,
3B11b,3b11b,,
3D13,3d13,,
3B23,3b23,,
3D12a,3d12a,,
3B25,3b25,,
3B24,3b24,,
3B21a,3b21a,,
3B22,3b22,,
3H,3h,,
3B21b,3b21b,,
3D15,3d15,,
3D12b,3d12b,,
5B2a,5b2a,,
2F1f,2f1f,,
3D12c,3d12c,,
2D3,2d3,,
2F1d,2f1d,,
2F4b,2f4b,,
2F2b,2f2b,,
2F4a,2f4a,,
2F1a,2f1a,,
2F1b,2f1b,,
2F3,2f3,,
2F1c,2f1c,,
1A3bv,1a3bv,,
2F2a,2f2a,,
2F5,2f5,,
