Label,Notation,Parent Notation,Sort Priority,Description,Same As
Total Greenhouse Gases,total-greenhouse-gases,,1,"A greenhouse gas (GHG or GhG) is a gas that absorbs and emits radiant energy within the thermal infrared range, causing the greenhouse effect. The primary greenhouse gases in Earth's atmosphere are water vapor (H2O), carbon dioxide (CO2), methane (CH4), nitrous oxide (N2O), and ozone (O3). Without greenhouse gases, the average temperature of Earth's surface would be about −18 °C (0 °F), rather than the present average of 15 °C (59 °F). The atmospheres of Venus, Mars and Titan also contain greenhouse gases.",http://dbpedia.org/resource/Greenhouse_gas
Carbon dioxide (CO2),CO2,total-greenhouse-gases,2,"A naturally occurring gas, CO2 is also a by-product of burning fossil fuels (such as oil, gas and coal), of burning biomass, of land-use changes (LUC) and of industrial processes (e.g., cement production). It is the principal anthropogenic greenhouse gas (GHG) that affects the Earth’s radiative balance. It is the reference gas against which other GHGs are measured and therefore has a global warming potential (GWP) of 1.",http://dbpedia.org/resource/Carbon_dioxide
Other Greenhouse Gases,other-greenhouse-gases,total-greenhouse-gases,3,,
Methane (CH4),CH4,other-greenhouse-gases,4,"One of the six greenhouse gases (GHGs) to be mitigated under the Kyoto Protocol and is the major component of natural gas and associated with all hydrocarbon fuels. Significant emissions occur as a result of animal husbandry and agriculture, and their management represents a major mitigation option.",https://dbpedia.org/page/Methane
Nitrous oxide (N2O),N2O,other-greenhouse-gases,5,"One of the six greenhouse gases (GHGs) to be mitigated under the Kyoto Protocol. The main anthropogenic source of N2O is agriculture (soil and animal manure management), but important contributions also come from sewage treatment, fossil fuel combustion, and chemical industrial processes. N2O is also produced naturally from a wide variety of biological sources in soil and water, particularly microbial action in wet tropical forests.",https://dbpedia.org/page/Nitrous_oxide
Fluorinated gases (F gases),F,other-greenhouse-gases,6,"Fluorinated gases (F-gases) are chemical compounds containing fluorine that are gases near room temperature.",http://dbpedia.org/resource/Fluorinated_gases
Hydrofluorocarbons (HFC),HFC,F,7,"Hydrofluorocarbons (HFC) are organic compounds that contain fluorine and hydrogen atoms, and are the most common type of organofluorine compounds. Most are gases at room temperature and pressure. They are frequently used in air conditioning and as refrigerants; R-134a is one of the most commonly used HFC refrigerants. In order to aid the recovery of the stratospheric ozone layer, HFCs were adopted to replace the more potent chlorofluorocarbons (CFCs) which were phased out from use by the Montreal protocol and hydrochlorofluorocarbons (HCFCs) that are presently being phased out.",https://dbpedia.org/page/Hydrofluorocarbon
Perfluorocarbons (PFC),PFC,F,8,"Perfluorocarbons are a group of human-made chemicals composed of carbon and fluorine only. Perfluorocarbons are powerful greenhouse gases that were introduced as alternatives to ozone depleting substances. PFCs replace chlorofluorocarbons (CFCs) in manufacturing semiconductors.",http://dbpedia.org/resource/Perfluorocarbon
Sulphur hexafluoride (SF6),SF6,F,9,"Sulphur hexafluoride is an extremely potent and persistent greenhouse gas that is primarily utilized as an electrical insulator and arc suppressant. SF6 is the most potent greenhouse gas that has been evaluated, with a global warming potential of 23,900 times that of CO2 when compared over a 100-year period.",http://dbpedia.org/resource/Sulfur_hexafluoride
Nitrogen Trifluoride (NF3),NF3,F,10,"Nitrogen trifluoride is an inorganic nitrogen-fluorine compound that acts as a replacement for PFCs, specifically hexafluoroethane (C2F6). It is used most frequently in the electronics industry during various processes including plasma etching, cleaning chambers in which silicon chips are made, and semi-conductor and LCD panel manufacture. Additionally, it has several important applications within the photovoltaic and chemical laser industries. Its 100-year global warming potential of 17,200 is second only to sulphur hexafluoride among the gases covered by the Kyoto Protocol, meaning that it is highly effective at trapping atmospheric heat, and it has a lifetime of 740 years.",http://dbpedia.org/resource/Nitrogen_trifluoride
Pentafluoroethane (HFC-125),HFC-125,HFC,11,"Pentafluoroethane is a fluorocarbon with the formula CF3CHF2. Pentafluoroethane is currently used as a refrigerant (known as R-125) and also used as a fire suppression agent in fire suppression systems. Pentafluoroethane does not deplete ozone so it has replaced earlier fluorinated chemicals that did. However while it has zero ozone depletion potential, it has high global warming potential, reported by the United States Environmental Protection Agency (EPA) as 3450 times that of carbon dioxide.",https://dbpedia.org/page/Pentafluoroethane
"1,1,1,2-Tetrafluoroethane (HFC-134a)",HFC-134a,HFC,12,"1,1,1,2-Tetrafluoroethane (also known as norflurane (INN), R-134a, Freon 134a, Forane 134a, Genetron 134a, Green Gas, Florasol 134a, Suva 134a, or HFC-134a) is a hydrofluorocarbon (HFC) and haloalkane refrigerant with thermodynamic properties similar to R-12 (dichlorodifluoromethane) but with insignificant ozone depletion potential and a lower 100-year global warming potential (1,430, compared to R-12's GWP of 10,900). It has the formula CF3CH2F and a boiling point of −26.3 °C (−15.34 °F) at atmospheric pressure. R-134a cylinders are colored light blue. A phaseout and transition to HFO-1234yf and other refrigerants, with GWPs similar to CO2, began in 2012 within the automotive market.","http://dbpedia.org/resource/1,1,1,2-Tetrafluoroethane"
