Label,Notation,Parent Notation,Sort Priority
1A4ci,1A4ci,,1
2A1,2A1,,2
1A3d,1A3d,,3
1A1ci,1A1ci,,4
1B1b,1B1b,,5
1A1ciii,1A1ciii,,6
1B1a1i,1B1a1i,,7
1A4bi,1A4bi,,8
1A4ciii,1A4ciii,,9
1B2b5,1B2b5,,10
1B2b4,1B2b4,,11
1A2a,1A2a,,12
2C1d,2C1d,,13
5C1.2a,5C1.2a,,14
5A1a,5A1a,,15
1A2f,1A2f,,16
1A4ai,1A4ai,,17
1A1ai,1A1ai,,18
1B2c2i,1B2c2i,,19
1B2a2,1B2a2,,20
1A1cii,1A1cii,,21
1B1a2i,1B1a2i,,22
1A2gviii,1A2gviii,,23
1A1b,1A1b,,24
5D1,5D1,,25
2B10,2B10,,26
1A4cii,1A4cii,,27
1A5b,1A5b,,28
1A3eii,1A3eii,,29
1A2b,1A2b,,30
1A4bii,1A4bii,,31
2A3,2A3,,32
1A2gvii,1A2gvii,,33
2A4d,2A4d,,34
2B3,2B3,,35
2C3a,2C3a,,36
2B1,2B1,,37
2C1a,2C1a,,38
3F5,3F5,,39
3F12,3F12,,40
3F11,3F11,,41
3F14,3F14,,42
2C1b,2C1b,,43
2G2e,2G2e,,44
2C4,2C4,,45
1B2a3,1B2a3,,46
2G1,2G1,,47
2B9a1,2B9a1,,48
2B9b3,2B9b3,,49
2B2,2B2,,50
1B1a1ii,1B1a1ii,,51
1A3c,1A3c,,52
1B2a4,1B2a4,,53
1A3a,1A3a,,54
2A2,2A2,,55
2D2,2D2,,56
2C3b,2C3b,,57
5C1.1b,5C1.1b,,58
5C1.2b,5C1.2b,,59
2A4a,2A4a,,60
1B2a1,1B2a1,,61
1B2c1i,1B2c1i,,62
5C2.2b,5C2.2b,,63
2B6,2B6,,64
2B8f,2B8f,,65
2B8b,2B8b,,66
2B8a,2B8a,,67
2B7,2B7,,68
2D1,2D1,,69
2A4b,2A4b,,70
1A3bi,1A3bi,,71
1A3bii,1A3bii,,72
1A3biii,1A3biii,,73
1A3biv,1A3biv,,74
1B1a1iii,1B1a1iii,,75
4A1,4A1,,76
4A2,4A2,,77
4B1,4B1,,78
4B2,4B2,,79
4C1,4C1,,80
4C2,4C2,,81
4D1,4D1,,82
4D2,4D2,,83
4E1,4E1,,84
4E2,4E2,,85
4A,4A,,86
2B8c,2B8c,,87
1B2c2ii,1B2c2ii,,88
1B2b3,1B2b3,,89
1B2b1,1B2b1,,90
1B2c1ii,1B2c1ii,,91
4D,4D,,92
1A2c,1A2c,,93
2B8g,2B8g,,94
1A2d,1A2d,,95
1A2e,1A2e,,96
5D2,5D2,,97
2G3a,2G3a,,98
2G2a,2G2a,,99
2E1,2E1,,100
2G2b,2G2b,,101
5B1a,5B1a,,102
2B8d,2B8d,,103
2B8e,2B8e,,104
3G1,3G1,,105
3G2,3G2,,106
4C,4C,,107
2C6,2C6,,108
2G4,2G4,,109
2G3b,2G3b,,110
4G,4G,,111
4,4,,112
3D16,3D16,,113
2F6b,2F6b,,114
2F1e,2F1e,,115
1A1aiii,1A1aiii,,116
4E,4E,,117
3D11,3D11,,118
3D14,3D14,,119
3D21,3D21,,120
3D22,3D22,,121
3A3,3A3,,122
3A1a,3A1a,,123
3A2,3A2,,124
3A4,3A4,,125
3A1b,3A1b,,126
3B13,3B13,,127
3B11a,3B11a,,128
3B12,3B12,,129
3B14,3B14,,130
3B11b,3B11b,,131
3D13,3D13,,132
3B23,3B23,,133
3D12a,3D12a,,134
3B25,3B25,,135
3B24,3B24,,136
3B21a,3B21a,,137
3B22,3B22,,138
3H,3H,,139
3B21b,3B21b,,140
3D15,3D15,,141
3D12b,3D12b,,142
5B2a,5B2a,,143
2F1f,2F1f,,144
3D12c,3D12c,,145
2D3,2D3,,146
2F1d,2F1d,,147
2F4b,2F4b,,148
2F2b,2F2b,,149
2F4a,2F4a,,150
2F1a,2F1a,,151
2F1b,2F1b,,152
2F3,2F3,,153
2F1c,2F1c,,154
1A3bv,1A3bv,,155
2F2a,2F2a,,156
2F5,2F5,,157
1B2a6,1B2a6,,158
1B2b2,1B2b2,,159
1B2d,1B2d,,160
20,20,,161
40,40,,162
400,400,,163
