Label,Notation,Parent Notation,Sort Priority
Commercial Electricity,commercial-electricity,,1
Commercial Gas,commercial-gas,,2
Commercial 'Other Fuels',commercial-other-fuels,,3
Domestic Electricity,domestic-electricity,,4
Domestic Gas,domestic-gas,,5
Domestic 'Other Fuels',domestic-other-fuels,,6
Industry Electricity,industry-electricity,,7
Industry Gas,industry-gas,,8
Large Industrial Installations,large-industrial-installations,,9
Industry 'Other Fuels',industry-other-fuels,,10
Agriculture,agriculture,,11
LULUCF Net Emissions: Forest land,lulucf-net-emissions-forest-land,,12
LULUCF Net Emissions: Cropland,lulucf-net-emissions-cropland,,13
LULUCF Net Emissions: Grassland,lulucf-net-emissions-grassland,,14
LULUCF Net Emissions: Wetlands,lulucf-net-emissions-wetlands,,15
LULUCF Net Emissions: Settlements,lulucf-net-emissions-settlements,,16
Public Sector Electricity,public-sector-electricity,,17
Public Sector Gas,public-sector-gas,,18
Public Sector 'Other Fuels',public-sector-other-fuels,,19
Road Transport (A roads),road-transport-a-roads,,20
Road Transport (Minor roads),road-transport-minor-roads,,21
Diesel Railways,diesel-railways,,22
Transport Other,transport-other,,23
Road Transport (Motorways),road-transport-motorways,,24
LULUCF Net Emissions: Harvested Wood Products,lulucf-net-emissions-harvested-wood-products,,25
