Label,Notation,Parent Notation,Sort Priority
E06000001,e06000001,,1
E06000002,e06000002,,2
E06000003,e06000003,,3
E06000004,e06000004,,4
E06000005,e06000005,,5
E06000006,e06000006,,6
E06000007,e06000007,,7
E06000008,e06000008,,8
E06000009,e06000009,,9
E06000010,e06000010,,10
E06000011,e06000011,,11
E06000012,e06000012,,12
E06000013,e06000013,,13
E06000014,e06000014,,14
E06000015,e06000015,,15
E06000016,e06000016,,16
E06000017,e06000017,,17
E06000018,e06000018,,18
E06000019,e06000019,,19
E06000020,e06000020,,20
E06000021,e06000021,,21
E06000022,e06000022,,22
E06000023,e06000023,,23
E06000024,e06000024,,24
E06000025,e06000025,,25
E06000026,e06000026,,26
E06000027,e06000027,,27
E06000030,e06000030,,28
E06000031,e06000031,,29
E06000032,e06000032,,30
E06000033,e06000033,,31
E06000034,e06000034,,32
E06000035,e06000035,,33
E06000036,e06000036,,34
E06000037,e06000037,,35
E06000038,e06000038,,36
E06000039,e06000039,,37
E06000040,e06000040,,38
E06000041,e06000041,,39
E06000042,e06000042,,40
E06000043,e06000043,,41
E06000044,e06000044,,42
E06000045,e06000045,,43
E06000046,e06000046,,44
E06000047,e06000047,,45
E06000049,e06000049,,46
E06000050,e06000050,,47
E06000051,e06000051,,48
E06000052,e06000052,,49
E06000053,e06000053,,50
E06000054,e06000054,,51
E06000055,e06000055,,52
E06000056,e06000056,,53
E06000057,e06000057,,54
E06000058,e06000058,,55
E06000059,e06000059,,56
E06000060,e06000060,,57
E07000008,e07000008,,58
E07000009,e07000009,,59
E07000010,e07000010,,60
E07000011,e07000011,,61
E07000012,e07000012,,62
E07000026,e07000026,,63
E07000027,e07000027,,64
E07000028,e07000028,,65
E07000029,e07000029,,66
E07000030,e07000030,,67
E07000031,e07000031,,68
E07000032,e07000032,,69
E07000033,e07000033,,70
E07000034,e07000034,,71
E07000035,e07000035,,72
E07000036,e07000036,,73
E07000037,e07000037,,74
E07000038,e07000038,,75
E07000039,e07000039,,76
E07000040,e07000040,,77
E07000041,e07000041,,78
E07000042,e07000042,,79
E07000043,e07000043,,80
E07000044,e07000044,,81
E07000045,e07000045,,82
E07000046,e07000046,,83
E07000047,e07000047,,84
E07000061,e07000061,,85
E07000062,e07000062,,86
E07000063,e07000063,,87
E07000064,e07000064,,88
E07000065,e07000065,,89
E07000066,e07000066,,90
E07000067,e07000067,,91
E07000068,e07000068,,92
E07000069,e07000069,,93
E07000070,e07000070,,94
E07000071,e07000071,,95
E07000072,e07000072,,96
E07000073,e07000073,,97
E07000074,e07000074,,98
E07000075,e07000075,,99
E07000076,e07000076,,100
E07000077,e07000077,,101
E07000078,e07000078,,102
E07000079,e07000079,,103
E07000080,e07000080,,104
E07000081,e07000081,,105
E07000082,e07000082,,106
E07000083,e07000083,,107
E07000084,e07000084,,108
E07000085,e07000085,,109
E07000086,e07000086,,110
E07000087,e07000087,,111
E07000088,e07000088,,112
E07000089,e07000089,,113
E07000090,e07000090,,114
E07000091,e07000091,,115
E07000092,e07000092,,116
E07000093,e07000093,,117
E07000094,e07000094,,118
E07000095,e07000095,,119
E07000096,e07000096,,120
E07000098,e07000098,,121
E07000099,e07000099,,122
E07000102,e07000102,,123
E07000103,e07000103,,124
E07000105,e07000105,,125
E07000106,e07000106,,126
E07000107,e07000107,,127
E07000108,e07000108,,128
E07000109,e07000109,,129
E07000110,e07000110,,130
E07000111,e07000111,,131
E07000112,e07000112,,132
E07000113,e07000113,,133
E07000114,e07000114,,134
E07000115,e07000115,,135
E07000116,e07000116,,136
E07000117,e07000117,,137
E07000118,e07000118,,138
E07000119,e07000119,,139
E07000120,e07000120,,140
E07000121,e07000121,,141
E07000122,e07000122,,142
E07000123,e07000123,,143
E07000124,e07000124,,144
E07000125,e07000125,,145
E07000126,e07000126,,146
E07000127,e07000127,,147
E07000128,e07000128,,148
E07000129,e07000129,,149
E07000130,e07000130,,150
E07000131,e07000131,,151
E07000132,e07000132,,152
E07000133,e07000133,,153
E07000134,e07000134,,154
E07000135,e07000135,,155
E07000136,e07000136,,156
E07000137,e07000137,,157
E07000138,e07000138,,158
E07000139,e07000139,,159
E07000140,e07000140,,160
E07000141,e07000141,,161
E07000142,e07000142,,162
E07000143,e07000143,,163
E07000144,e07000144,,164
