Label,Notation,Parent Notation,Sort Priority
Agriculture,agriculture,,1
Enteric fermentation,enteric-fermentation,agriculture,2
Other agriculture,other-agriculture,agriculture,3
Wastes,wastes,agriculture,4
Business,business,,5
Exports,exports,,6
Industrial processes,industrial-processes,,7
Cropland,cropland,land-use-land-use-change-and-forestry,8
Forest land,forest-land,land-use-land-use-change-and-forestry,9
Grassland,grassland,land-use-land-use-change-and-forestry,10
Land use land use change and forestry,land-use-land-use-change-and-forestry,,11
Other LULUCF,other-lulucf,land-use-land-use-change-and-forestry,12
Settlements,settlements,land-use-land-use-change-and-forestry,13
Wetlands,wetlands,land-use-land-use-change-and-forestry,14
Not applicable,not-applicable,,15
Public,public,,16
Residential,residential,,17
Aviation,aviation,transport,18
Other mobile,other-mobile,transport,19
Railways,railways,transport,20
Road,road,transport,21
Shipping,shipping,transport,22
Transport,transport,,23
Waste management,waste-management,,24
