Label,Notation,Parent Notation,Sort Priority
"Agriculture, forestry and fishing",http://business.data.gov.uk/companies/def/sic-2007/A,http://business.data.gov.uk/companies/def/sic-2007/A,1
Mining and quarrying,http://business.data.gov.uk/companies/def/sic-2007/B,http://business.data.gov.uk/companies/def/sic-2007/B,2
Manufacturing,http://business.data.gov.uk/companies/def/sic-2007/C,http://business.data.gov.uk/companies/def/sic-2007/C,3
"Electricity, gas, steam and air conditioning supply",http://business.data.gov.uk/companies/def/sic-2007/D,http://business.data.gov.uk/companies/def/sic-2007/D,4
"Water supply; sewerage, waste management and remediation activities",http://business.data.gov.uk/companies/def/sic-2007/E,http://business.data.gov.uk/companies/def/sic-2007/E,5
Construction,http://business.data.gov.uk/companies/def/sic-2007/F,http://business.data.gov.uk/companies/def/sic-2007/F,6
Wholesale and retail trade; repair of motor vehicles and motorcycles,http://business.data.gov.uk/companies/def/sic-2007/G,http://business.data.gov.uk/companies/def/sic-2007/G,7
Transport and storage,http://business.data.gov.uk/companies/def/sic-2007/H,http://business.data.gov.uk/companies/def/sic-2007/H,8
Accommodation and food services,http://business.data.gov.uk/companies/def/sic-2007/I,http://business.data.gov.uk/companies/def/sic-2007/I,9
Information and communication,http://business.data.gov.uk/companies/def/sic-2007/J,http://business.data.gov.uk/companies/def/sic-2007/J,10
Financial and insurance activities,http://business.data.gov.uk/companies/def/sic-2007/K,http://business.data.gov.uk/companies/def/sic-2007/K,11
Real estate activities,http://business.data.gov.uk/companies/def/sic-2007/L,http://business.data.gov.uk/companies/def/sic-2007/L,12
"Professional, scientific and technical activities",http://business.data.gov.uk/companies/def/sic-2007/M,http://business.data.gov.uk/companies/def/sic-2007/M,13
Administrative and support service activities,http://business.data.gov.uk/companies/def/sic-2007/N,http://business.data.gov.uk/companies/def/sic-2007/N,14
Public administration and defence; compulsory social security,http://business.data.gov.uk/companies/def/sic-2007/O,http://business.data.gov.uk/companies/def/sic-2007/O,15
Education,http://business.data.gov.uk/companies/def/sic-2007/P,http://business.data.gov.uk/companies/def/sic-2007/P,16
Human health and social work activities,http://business.data.gov.uk/companies/def/sic-2007/Q,http://business.data.gov.uk/companies/def/sic-2007/Q,17
"Arts, entertainment and recreation",http://business.data.gov.uk/companies/def/sic-2007/R,http://business.data.gov.uk/companies/def/sic-2007/R,18
Other service activities,http://business.data.gov.uk/companies/def/sic-2007/S,http://business.data.gov.uk/companies/def/sic-2007/S,19
Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,http://business.data.gov.uk/companies/def/sic-2007/T,http://business.data.gov.uk/companies/def/sic-2007/T,20
Consumer expenditure,http://gss-data.org.uk/data/gss_data/climate-change/beis-supplementary-tables-2019-uk-greenhouse-gas-emissions-by-standard-industrial-classification#concept/sic-2007/consumer-expenditure,,21
"Land use, land use change and forestry (LULUCF)",http://gss-data.org.uk/data/gss_data/climate-change/beis-supplementary-tables-2019-uk-greenhouse-gas-emissions-by-standard-industrial-classification#concept/sic-2007/land-use-land-use-change-and-forestry-lulucf,,22
"Products of agriculture, hunting and related services",http-//business-data-gov-uk/companies/def/sic-2007/01,http://business.data.gov.uk/companies/def/sic-2007/A,23
"Products of forestry, logging and related services",http-//business-data-gov-uk/companies/def/sic-2007/02,http://business.data.gov.uk/companies/def/sic-2007/A,24
Fish and other fishing products; aquaculture products; support services to fishing,http-//business-data-gov-uk/companies/def/sic-2007/03,http://business.data.gov.uk/companies/def/sic-2007/A,25
Mining of coal and lignite,http-//business-data-gov-uk/companies/def/sic-2007/05,http://business.data.gov.uk/companies/def/sic-2007/B,26
Crude petroleum and natural gas,http-//business-data-gov-uk/companies/def/sic-2007/06,http://business.data.gov.uk/companies/def/sic-2007/B,27
Mining of metal ores,http-//business-data-gov-uk/companies/def/sic-2007/07,http://business.data.gov.uk/companies/def/sic-2007/B,28
Other mining and quarrying products,http-//business-data-gov-uk/companies/def/sic-2007/08,http://business.data.gov.uk/companies/def/sic-2007/B,29
Mining support services,http-//business-data-gov-uk/companies/def/sic-2007/09,http://business.data.gov.uk/companies/def/sic-2007/B,30
Processing and preserving of meat and production of meat products,http-//gss-data-org-uk/data/gss_data/climate-change/beis-supplementary-tables-2019-uk-greenhouse-gas-emissions-by-standard-industrial-classification-concept/sic-2007/10-1,http://business.data.gov.uk/companies/def/sic-2007/C,31
"Processing and preserving of fish, crustaceans, molluscs, fruit and vegetables",http-//gss-data-org-uk/data/gss_data/climate-change/beis-supplementary-tables-2019-uk-greenhouse-gas-emissions-by-standard-industrial-classification-concept/sic-2007/10-2-3,http://business.data.gov.uk/companies/def/sic-2007/C,32
Manufacture of vegetable and animal oils and fats,http-//gss-data-org-uk/data/gss_data/climate-change/beis-supplementary-tables-2019-uk-greenhouse-gas-emissions-by-standard-industrial-classification-concept/sic-2007/10-4,http://business.data.gov.uk/companies/def/sic-2007/C,33
Manufacture of dairy products,http-//gss-data-org-uk/data/gss_data/climate-change/beis-supplementary-tables-2019-uk-greenhouse-gas-emissions-by-standard-industrial-classification-concept/sic-2007/10-5,http://business.data.gov.uk/companies/def/sic-2007/C,34
"Manufacture of grain mill products, starches and starch products",http-//gss-data-org-uk/data/gss_data/climate-change/beis-supplementary-tables-2019-uk-greenhouse-gas-emissions-by-standard-industrial-classification-concept/sic-2007/10-6,http://business.data.gov.uk/companies/def/sic-2007/C,35
Manufacture of bakery and farinaceous products,http-//gss-data-org-uk/data/gss_data/climate-change/beis-supplementary-tables-2019-uk-greenhouse-gas-emissions-by-standard-industrial-classification-concept/sic-2007/10-7,http://business.data.gov.uk/companies/def/sic-2007/C,36
Manufacture of other food products,http-//gss-data-org-uk/data/gss_data/climate-change/beis-supplementary-tables-2019-uk-greenhouse-gas-emissions-by-standard-industrial-classification-concept/sic-2007/10-8,http://business.data.gov.uk/companies/def/sic-2007/C,37
Manufacture of prepared animal feeds,http-//gss-data-org-uk/data/gss_data/climate-change/beis-supplementary-tables-2019-uk-greenhouse-gas-emissions-by-standard-industrial-classification-concept/sic-2007/10-9,http://business.data.gov.uk/companies/def/sic-2007/C,38
"Manufacture of alcoholic beverages, including spirits, wine, cider, beer and malt",http-//gss-data-org-uk/data/gss_data/climate-change/beis-supplementary-tables-2019-uk-greenhouse-gas-emissions-by-standard-industrial-classification-concept/sic-2007/11-01-06,http://business.data.gov.uk/companies/def/sic-2007/C,39
Manufacture of soft drinks: production of mineral waters and other bottled waters,http-//gss-data-org-uk/data/gss_data/climate-change/beis-supplementary-tables-2019-uk-greenhouse-gas-emissions-by-standard-industrial-classification-concept/sic-2007/11-07,http://business.data.gov.uk/companies/def/sic-2007/C,40
Tobacco products,http-//business-data-gov-uk/companies/def/sic-2007/12,http://business.data.gov.uk/companies/def/sic-2007/C,41
Textiles,http-//business-data-gov-uk/companies/def/sic-2007/13,http://business.data.gov.uk/companies/def/sic-2007/C,42
Wearing apparel,http-//business-data-gov-uk/companies/def/sic-2007/14,http://business.data.gov.uk/companies/def/sic-2007/C,43
Leather and related products,http-//business-data-gov-uk/companies/def/sic-2007/15,http://business.data.gov.uk/companies/def/sic-2007/C,44
"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",http-//business-data-gov-uk/companies/def/sic-2007/16,http://business.data.gov.uk/companies/def/sic-2007/C,45
Paper and paper products,http-//business-data-gov-uk/companies/def/sic-2007/17,http://business.data.gov.uk/companies/def/sic-2007/C,46
Printing and recording services,http-//business-data-gov-uk/companies/def/sic-2007/18,http://business.data.gov.uk/companies/def/sic-2007/C,47
Manufacture of coke oven products,http-//gss-data-org-uk/data/gss_data/climate-change/beis-supplementary-tables-2019-uk-greenhouse-gas-emissions-by-standard-industrial-classification-concept/sic-2007/19-1,http://business.data.gov.uk/companies/def/sic-2007/C,48
Manufacture of refined petroleum products,http-//gss-data-org-uk/data/gss_data/climate-change/beis-supplementary-tables-2019-uk-greenhouse-gas-emissions-by-standard-industrial-classification-concept/sic-2007/19-2,http://business.data.gov.uk/companies/def/sic-2007/C,49
Manufacture of industrial gases and non-nitrogen-based inorganic chemicals,http-//gss-data-org-uk/data/gss_data/climate-change/beis-supplementary-tables-2019-uk-greenhouse-gas-emissions-by-standard-industrial-classification-concept/sic-2007/20-11-20-13,http://business.data.gov.uk/companies/def/sic-2007/C,50
Fertilisers,http-//gss-data-org-uk/data/gss_data/climate-change/beis-supplementary-tables-2019-uk-greenhouse-gas-emissions-by-standard-industrial-classification-concept/sic-2007/20-15-/1,http://business.data.gov.uk/companies/def/sic-2007/C,51
Other nitrogen compounds,http-//gss-data-org-uk/data/gss_data/climate-change/beis-supplementary-tables-2019-uk-greenhouse-gas-emissions-by-standard-industrial-classification-concept/sic-2007/20-15-/2,http://business.data.gov.uk/companies/def/sic-2007/C,52
Manufacture of petrochemicals,http-//gss-data-org-uk/data/gss_data/climate-change/beis-supplementary-tables-2019-uk-greenhouse-gas-emissions-by-standard-industrial-classification-concept/sic-2007/20-14-20-16-20-17-20-6,http://business.data.gov.uk/companies/def/sic-2007/C,53
"Manufacture of dyestuffs, agro-chemicals",http-//gss-data-org-uk/data/gss_data/climate-change/beis-supplementary-tables-2019-uk-greenhouse-gas-emissions-by-standard-industrial-classification-concept/sic-2007/20-12-20-2,http://business.data.gov.uk/companies/def/sic-2007/C,54
"Manufacture of paints, varnishes & ink",http-//gss-data-org-uk/data/gss_data/climate-change/beis-supplementary-tables-2019-uk-greenhouse-gas-emissions-by-standard-industrial-classification-concept/sic-2007/20-3,http://business.data.gov.uk/companies/def/sic-2007/C,55
Manufacture of cleaning & toilet preparations,http-//gss-data-org-uk/data/gss_data/climate-change/beis-supplementary-tables-2019-uk-greenhouse-gas-emissions-by-standard-industrial-classification-concept/sic-2007/20-4,http://business.data.gov.uk/companies/def/sic-2007/C,56
Manufacture of other chemical products & man-made fibres,http-//gss-data-org-uk/data/gss_data/climate-change/beis-supplementary-tables-2019-uk-greenhouse-gas-emissions-by-standard-industrial-classification-concept/sic-2007/20-5,http://business.data.gov.uk/companies/def/sic-2007/C,57
Basic pharmaceutical products and pharmaceutical preparations,http-//business-data-gov-uk/companies/def/sic-2007/21,http://business.data.gov.uk/companies/def/sic-2007/C,58
Rubber products,http-//gss-data-org-uk/data/gss_data/climate-change/beis-supplementary-tables-2019-uk-greenhouse-gas-emissions-by-standard-industrial-classification-concept/sic-2007/22-1,http://business.data.gov.uk/companies/def/sic-2007/C,59
Plastics products,http-//gss-data-org-uk/data/gss_data/climate-change/beis-supplementary-tables-2019-uk-greenhouse-gas-emissions-by-standard-industrial-classification-concept/sic-2007/22-2,http://business.data.gov.uk/companies/def/sic-2007/C,60
"Manufacture of glass, refractory, clay, other porcelain and ceramic products, Stone, & abrasive products",http-//gss-data-org-uk/data/gss_data/climate-change/beis-supplementary-tables-2019-uk-greenhouse-gas-emissions-by-standard-industrial-classification-concept/sic-2007/23-1-4-23-7-9,http://business.data.gov.uk/companies/def/sic-2007/C,61
