Label,Notation,Parent Notation,Sort Priority
Agriculture - stationary combustion,agriculture-stationary-combustion,,1
Cement - decarbonising,cement-decarbonising,,2
Shipping - coastal,shipping-coastal,,3
Coke production,coke-production,,4
Collieries - combustion,collieries-combustion,,5
Deep-mined coal,deep-mined-coal,,6
Domestic combustion,domestic-combustion,,7
Fishing vessels,fishing-vessels,,8
Gas leakage,gas-leakage,,9
Gas production,gas-production,,10
Blast furnaces,blast-furnaces,,11
Sinter production,sinter-production,,12
Incineration,incineration,,13
Iron and steel - combustion plant,iron-and-steel-combustion-plant,,14
Landfill,landfill,,15
Lime production - non decarbonising,lime-production-non-decarbonising,,16
Miscellaneous industrial/commercial combustion,miscellaneous-industrial/commercial-combustion,,17
Nuclear fuel production,nuclear-fuel-production,,18
Upstream Oil Production - flaring,upstream-oil-production-flaring,,19
Upstream Oil Production - process emissions,upstream-oil-production-process-emissions,,20
Upstream Oil Production - fuel combustion,upstream-oil-production-fuel-combustion,,21
Open-cast coal,open-cast-coal,,22
Other industrial combustion,other-industrial-combustion,,23
Power stations,power-stations,,24
Public sector combustion,public-sector-combustion,,25
Railways - stationary combustion,railways-stationary-combustion,,26
Refineries - combustion,refineries-combustion,,27
Sewage sludge decomposition,sewage-sludge-decomposition,,28
Solid smokeless fuel production,solid-smokeless-fuel-production,,29
Chemical industry - general,chemical-industry-general,,30
Agriculture - mobile machinery,agriculture-mobile-machinery,,31
Aircraft -  military,aircraft-military,,32
Aircraft - support vehicles,aircraft-support-vehicles,,33
Autogenerators,autogenerators,,34
House and garden machinery,house-and-garden-machinery,,35
Glass - general,glass-general,,36
Industrial off-road mobile machinery,industrial-off-road-mobile-machinery,,37
Shipping - naval,shipping-naval,,38
Cement production - combustion,cement-production-combustion,,39
Bread baking,bread-baking,,40
Adipic acid production,adipic-acid-production,,41
Primary aluminium production - general,primary-aluminium-production-general,,42
Ammonia production - feedstock use of gas,ammonia-production-feedstock-use-of-gas,,43
Ammonia production - combustion,ammonia-production-combustion,,44
Electric arc furnaces,electric-arc-furnaces,,45
Field burning,field-burning,,46
Iron and steel - flaring,iron-and-steel-flaring,,47
Electronics and shoes,electronics-and-shoes,,48
Magnesium cover gas,magnesium-cover-gas,,49
Upstream Oil Production - Onshore Oil Loading,upstream-oil-production-onshore-oil-loading,,50
Basic oxygen furnaces,basic-oxygen-furnaces,,51
Electrical insulation,electrical-insulation,,52
Halocarbons production - by-product,halocarbons-production-by-product,,53
Halocarbons production - fugitive,halocarbons-production-fugitive,,54
Nitric acid production,nitric-acid-production,,55
Coal storage and transport,coal-storage-and-transport,,56
Railways - intercity,railways-intercity,,57
Railways - regional,railways-regional,,58
Railways - freight,railways-freight,,59
Upstream Oil Production - Offshore Oil Loading,upstream-oil-production-offshore-oil-loading,,60
Upstream Oil Production - Oil terminal storage,upstream-oil-production-oil-terminal-storage,,61
Aircraft - domestic take off and landing,aircraft-domestic-take-off-and-landing,,62
Lime production - decarbonising,lime-production-decarbonising,,63
Non-aerosol products - household products,non-aerosol-products-household-products,,64
Primary aluminium production - PFC emissions,primary-aluminium-production-pfc-emissions,,65
Incineration - sewage sludge,incineration-sewage-sludge,,66
Incineration - clinical waste,incineration-clinical-waste,,67
Incineration - chemical waste,incineration-chemical-waste,,68
Petroleum processes,petroleum-processes,,69
Brick manufacture - Fletton,brick-manufacture-fletton,,70
Upstream oil and gas production - combustion at gas separation plant,upstream-oil-and-gas-production-combustion-at-gas-separation-plant,,71
Upstream Oil Production - Offshore Well Testing,upstream-oil-production-offshore-well-testing,,72
Upstream Oil Production - venting,upstream-oil-production-venting,,73
Accidental fires - vehicles,accidental-fires-vehicles,,74
Chemical industry - titanium dioxide,chemical-industry-titanium-dioxide,,75
Chemical industry - carbon black,chemical-industry-carbon-black,,76
Chemical industry - ethylene,chemical-industry-ethylene,,77
Chemical industry - methanol,chemical-industry-methanol,,78
Chemical industry - soda ash,chemical-industry-soda-ash,,79
Accidental fires - dwellings,accidental-fires-dwellings,,80
Accidental fires - other buildings,accidental-fires-other-buildings,,81
Agricultural engines,agricultural-engines,,82
Industrial engines,industrial-engines,,83
Marine engines,marine-engines,,84
Ladle arc furnaces,ladle-arc-furnaces,,85
Other emissive applications of Soda Ash,other-emissive-applications-of-soda-ash,,86
Unknown applications of Sodium Bicarbonate,unknown-applications-of-sodium-bicarbonate,,87
Other emissive applications of  Sodium Bicarbonate,other-emissive-applications-of-sodium-bicarbonate,,88
Aircraft - domestic cruise,aircraft-domestic-cruise,,89
Road transport - cars - rural driving,road-transport-cars-rural-driving,,90
Road transport - LGVs - rural driving,road-transport-lgvs-rural-driving,,91
Road transport - buses and coaches - rural driving,road-transport-buses-and-coaches-rural-driving,,92
Road transport - HGV articulated - rural driving,road-transport-hgv-articulated-rural-driving,,93
Road transport - HGV rigid - rural driving,road-transport-hgv-rigid-rural-driving,,94
Road transport - motorcycle (>50cc  4st) - rural driving,road-transport-motorcycle-50cc-4st-rural-driving,,95
Road transport - cars - urban driving,road-transport-cars-urban-driving,,96
Road transport - LGVs - urban driving,road-transport-lgvs-urban-driving,,97
Road transport - buses and coaches - urban driving,road-transport-buses-and-coaches-urban-driving,,98
Road transport - HGV articulated - urban driving,road-transport-hgv-articulated-urban-driving,,99
Road transport - HGV rigid - urban driving,road-transport-hgv-rigid-urban-driving,,100
Road transport - mopeds (<50cc 2st) - urban driving,road-transport-mopeds-50cc-2st-urban-driving,,101
Road transport - motorcycle (>50cc  2st) - urban driving,road-transport-motorcycle-50cc-2st-urban-driving,,102
Road transport - motorcycle (>50cc  4st) - urban driving,road-transport-motorcycle-50cc-4st-urban-driving,,103
Road transport - cars - motorway driving,road-transport-cars-motorway-driving,,104
Road transport - LGVs - motorway driving,road-transport-lgvs-motorway-driving,,105
Road transport - buses and coaches - motorway driving,road-transport-buses-and-coaches-motorway-driving,,106
Road transport - HGV articulated - motorway driving,road-transport-hgv-articulated-motorway-driving,,107
Road transport - HGV rigid - motorway driving,road-transport-hgv-rigid-motorway-driving,,108
Road transport - motorcycle (>50cc  4st) - motorway driving,road-transport-motorcycle-50cc-4st-motorway-driving,,109
Road transport - cars - cold start,road-transport-cars-cold-start,,110
Road transport - LGVs - cold start,road-transport-lgvs-cold-start,,111
Road vehicle engines,road-vehicle-engines,,112
Closed Coal Mines,closed-coal-mines,,113
Forest Land remaining Forest Land - Carbon stock change,forest-land-remaining-forest-land-carbon-stock-change,,114
Cropland converted to Forest Land - Carbon stock change,cropland-converted-to-forest-land-carbon-stock-change,,115
Forest Land remaining Forest Land - Biomass Burning - Wildfires,forest-land-remaining-forest-land-biomass-burning-wildfires,,116
Cropland remaining Cropland - Living biomass carbon stock change,cropland-remaining-cropland-living-biomass-carbon-stock-change,,117
Forest Land converted to Cropland - Carbon stock change,forest-land-converted-to-cropland-carbon-stock-change,,118
Forest Land converted to Cropland - Biomass Burning - Controlled Burning,forest-land-converted-to-cropland-biomass-burning-controlled-burning,,119
Grassland remaining Grassland - Carbon stock change,grassland-remaining-grassland-carbon-stock-change,,120
Forest Land converted to Grassland - Carbon stock change,forest-land-converted-to-grassland-carbon-stock-change,,121
Forest Land converted to Grassland - Biomass Burning - Controlled Burning,forest-land-converted-to-grassland-biomass-burning-controlled-burning,,122
Peat Extraction Remaining Peat Extraction - Carbon stock change,peat-extraction-remaining-peat-extraction-carbon-stock-change,,123
Land converted for Peat Extraction - Carbon stock change,land-converted-for-peat-extraction-carbon-stock-change,,124
Settlements remaining Settlements - Carbon stock change,settlements-remaining-settlements-carbon-stock-change,,125
Forest Land converted to Settlements - Direct N2O emissions from N Mineralization/Immobilization,forest-land-converted-to-settlements-direct-n2o-emissions-from-n-mineralization/immobilization,,126
Forest Land converted to Settlements - Biomass Burning - Controlled Burning,forest-land-converted-to-settlements-biomass-burning-controlled-burning,,127
Forest Land - Drainage and rewetting and other management of organic and mineral soils,forest-land-drainage-and-rewetting-and-other-management-of-organic-and-mineral-soils,,128
Direct N2O emission from N fertilisation of forest land,direct-n2o-emission-from-n-fertilisation-of-forest-land,,129
Chemical Industry - ethylene dichloride,chemical-industry-ethylene-dichloride,,130
Upstream Gas Production - flaring,upstream-gas-production-flaring,,131
Upstream Gas Production - process emissions,upstream-gas-production-process-emissions,,132
Upstream Gas Production - fuel combustion,upstream-gas-production-fuel-combustion,,133
Upstream Gas Production - Gas terminal storage,upstream-gas-production-gas-terminal-storage,,134
Upstream Gas Production - Offshore Well Testing,upstream-gas-production-offshore-well-testing,,135
Upstream Gas Production - venting,upstream-gas-production-venting,,136
Forest Land converted to Cropland - Direct N2O emissions from N Mineralization/Immobilization,forest-land-converted-to-cropland-direct-n2o-emissions-from-n-mineralization/immobilization,,137
Wetlands - Drainage and rewetting and other management of organic and mineral soils,wetlands-drainage-and-rewetting-and-other-management-of-organic-and-mineral-soils,,138
Autogeneration - exported to grid,autogeneration-exported-to-grid,,139
Non-Ferrous Metal (combustion),non-ferrous-metal-combustion,,140
Chemicals (combustion),chemicals-combustion,,141
"Pulp, Paper and Print (combustion)",pulp-paper-and-print-combustion,,142
"Food & drink, tobacco (combustion)",food-drink-tobacco-combustion,,143
Sailing boats with auxiliary engines,sailing-boats-with-auxiliary-engines,,144
